ticker,date,sector,sectoralIndex,absoluteReturn,relativeToSPReturn,relativeToSectoralIndexReturn,nextPeriodRelativeToSectoralIndexReturn,closePrice,dilutedEarningsPerShare,freeCashFlowPerShare,bookValuePerShare,equityRatio,marketCap,priceToEarningsRatio,priceToSalesRatio,priceToFreeCashFlow,priceToBookRatio,enterpriseValueToSalesRatio,currentRatio,roic,netCurrentAssetValuePerShare,ebitdaMargin,netIncomeMargin,returnOnAssets,returnOnEquity
LHX,2002-09-30,Industrials,SP500-20,,,,-0.2640721126870854,15.85,0.1493993993993994,0.1201,8.6441,0.5838,2105197000,24.651,1.1425,11.6502,1.8283,1.1449,3.0227,0.0564,3.3428700496913115,0.0701,0.0442,0.0445,0.0742
LHX,2002-12-31,Industrials,SP500-20,-0.2145110410094637,-0.2936739981629772,-0.2640721126870854,0.11027881692150104,12.45,0.1229260935143288,0.1349,8.7692,0.5789,1651666800,19.363,0.8624,7.2219,1.4204,0.858,2.9306,0.0542,3.430470964240487,0.0744,0.0311,0.0428,0.0737
LHX,2003-03-31,Industrials,SP500-20,0.055421686746988,0.0913836043949666,0.11027881692150104,-0.07066079247377596,13.14,0.1701807228915662,0.1453,8.9111,0.5791,1746831600,20.4547,0.8864,12.8632,1.4761,0.8766,2.8955,0.0537,3.503084098089364,0.0946,0.0419,0.0421,0.0727
LHX,2003-06-30,Industrials,SP500-20,0.0821917808219178,-0.0667388806119989,-0.07066079247377596,0.15056478242338311,14.22,0.0053155540705753,0.2019,8.9848,0.5701,1888160040,31.7337,0.9163,23.6611,1.5958,0.8852,2.727,0.0369,3.3551234354054014,0.0695,0.0012,0.0288,0.0502
LHX,2003-09-30,Industrials,SP500-20,0.1912798874824191,0.16924810636069,0.15056478242338311,-0.08386194203953884,16.94,0.1859799713876967,0.4806,8.6187,0.566,2256831500,34.4029,1.0456,17.2277,1.873,0.9867,2.6943,0.0403,3.625445674610621,0.1022,0.0474,0.0312,0.0549
LHX,2003-12-31,Industrials,SP500-20,0.0602125147579692,-0.0562067314571854,-0.08386194203953884,0.2899473874815331,17.96,0.2360912981455064,0.2232,8.7275,0.5764,2381118840,28.897,1.0685,16.4897,1.9459,1.0173,2.8158,0.0503,3.7864216806583246,0.1114,0.0557,0.0387,0.0678
LHX,2004-03-31,Industrials,SP500-20,0.2756124721603563,0.2627609033177945,0.2899473874815331,-0.03125377805673346,22.91,0.2645305514157973,0.3383,9.3442,0.5711,3043158210,31.9324,1.2986,17.8484,2.4267,1.2337,2.7217,0.0578,3.980245575204583,0.1085,0.0542,0.0441,0.0769
LHX,2004-06-30,Industrials,SP500-20,0.0484504583151462,0.0354599810593475,-0.03125377805673346,0.0873225247883214,24.02,0.2857142857142857,0.51,9.5646,0.5745,3187189780,23.9999,1.2654,15.0268,2.4923,1.1756,2.8329,0.0792,4.451763145400146,0.1054,0.0528,0.06,0.1048
LHX,2004-09-30,Industrials,SP500-20,0.0824313072439633,0.1054494434877642,0.0873225247883214,0.03013462153785372,26.0,0.2848011363636363,-0.0937,9.4218,0.5963,3469648000,23.6191,1.3142,26.345,2.6154,1.253,3.0109,0.0857,4.3814819255440325,0.118,0.0599,0.066,0.1127
LHX,2004-12-31,Industrials,SP500-20,0.125,0.0376665724052829,0.03013462153785372,0.07716172169748714,29.25,0.3182780522230063,0.4904,9.5737,0.5833,3893818500,24.5048,1.3989,22.9182,2.8702,1.4603,2.1642,0.0908,1.7089586995387689,0.1323,0.0611,0.0698,0.1184
