ticker,date,sector,sectoralIndex,absoluteReturn,relativeToSPReturn,relativeToSectoralIndexReturn,nextPeriodRelativeToSectoralIndexReturn,closePrice,dilutedEarningsPerShare,freeCashFlowPerShare,bookValuePerShare,equityRatio,marketCap,priceToEarningsRatio,priceToSalesRatio,priceToFreeCashFlow,priceToBookRatio,enterpriseValueToSalesRatio,currentRatio,roic,netCurrentAssetValuePerShare,ebitdaMargin,netIncomeMargin,returnOnAssets,returnOnEquity
MRO,2003-03-31,Energy,GSPE,,,,0.03495043168011275,7.28,0.495000016123779,0.3885,11.788,0.3901,4511568880,5.9676,0.1455,3.6266,0.617,0.2568,1.1787,0.0552,-9.756003104622886,0.0942,0.0337,0.0413,0.1052
MRO,2003-06-30,Energy,GSPE,0.0989010989010988,-0.0500295625328178,0.03495043168011275,0.07698972620335455,8.0,0.4,0.4903,12.2096,0.4012,4962232000,5.9356,0.1523,3.4316,0.6555,0.2628,1.2133,0.0598,-10.011623801547367,0.0971,0.0287,0.0444,0.1123
MRO,2003-09-30,Energy,GSPE,0.08125,0.0592182188782709,0.07698972620335455,0.01507643547517512,8.65,0.4500003202849255,0.5284,12.5551,0.4114,5365655550,5.2093,0.1558,3.9453,0.6843,0.2621,1.2702,0.0721,-9.754847196630056,0.098,0.0304,0.0543,0.1336
MRO,2003-12-31,Energy,GSPE,0.1606936416184969,0.0442743954033423,0.01507643547517512,-0.028069739321536724,10.04,0.7872520358986929,1.0145,13.1251,0.415,6233263720,4.7185,0.1686,4.1555,0.7708,0.2414,1.4366,0.0916,-8.620536915129913,0.0629,0.0483,0.0685,0.1658
MRO,2004-03-31,Energy,GSPE,0.0179282868525897,0.005076718010028,-0.028069739321536724,0.0466153210223082,10.22,0.4149998311047199,-0.082,14.9609,0.4539,7060262160,5.5505,0.1882,5.8445,0.759,0.2422,1.7427,0.0848,-6.154932921074421,0.0809,0.0267,0.0636,0.1463
MRO,2004-06-30,Energy,GSPE,0.1164383561643835,0.1034478789085848,0.0466153210223082,-0.006018802414593197,11.41,0.510000057954552,0.5462,14.3162,0.46,7894966940,5.7376,0.1956,6.1631,0.799,0.2411,1.7497,0.0864,-5.75199368725919,0.0983,0.0307,0.0655,0.1434
MRO,2004-09-30,Energy,GSPE,0.0981595092024539,0.1211776454462547,-0.006018802414593197,-0.13076103951762386,12.53,0.32,0.4627,14.6796,0.4614,8681874110,6.5921,0.1998,6.8253,0.8525,0.2361,1.7307,0.0796,-5.586769559827216,0.068,0.018,0.0604,0.1312
MRO,2004-12-31,Energy,GSPE,-0.0885873902633678,-0.1759208178580849,-0.13076103951762386,0.0761975859569975,11.42,1.0643284130978734,1.3296,15.5769,0.4611,7918570900,5.0436,0.183,5.0468,0.7331,0.1989,1.6877,0.0914,-5.416825907311129,0.116,0.0749,0.069,0.1496
MRO,2005-03-31,Energy,GSPE,0.2469352014010508,0.2727868062833394,0.0761975859569975,0.12237010051041759,14.24,2.024611685805574,-0.2343,16.0761,0.4714,9903094080,3.6408,0.2127,6.7969,0.8857,0.2308,1.7239,0.1528,-5.107543116464062,0.157,0.1088,0.1154,0.2474
MRO,2005-06-30,Energy,GSPE,0.1376404494382021,0.1285433111045619,0.12237010051041759,0.1138724304076375,16.2,0.9599995435366212,0.8087,14.5397,0.3761,11858805000,3.8996,0.238,7.2002,1.1634,0.2436,1.0676,0.1736,-9.51743451384857,0.1126,0.0456,0.1197,0.2845
MRO,2005-09-30,Energy,GSPE,0.2913580246913582,0.2598973010282138,0.1138724304076375,-0.03789117691521081,20.92,1.0450001492857357,-0.3854,15.0086,0.4255,15333502280,4.2723,0.2873,14.7154,1.3865,0.3376,1.1746,0.2188,-8.735822876859416,0.098,0.0485,0.1352,0.3377
MRO,2005-12-30,Energy,GSPE,-0.1152007648183556,-0.1310534837414436,-0.03789117691521081,0.16306742468118218,18.51,1.70776554066642,2.5096,16.3891,0.4259,13576936920,3.2985,0.2117,6.8605,1.1183,0.2285,1.1507,0.2541,-9.509306168301768,0.1184,0.0614,0.151,0.3548
MRO,2006-03-31,Energy,GSPE,0.2490545650999459,0.2117395544877725,0.16306742468118218,0.05496024812941106,23.12,1.0650003396047,-0.436,17.1649,0.4544,16823175520,4.8176,0.2488,9.2384,1.3313,0.2845,1.1963,0.2091,-9.046981636674976,0.1151,0.0477,0.124,0.2818
MRO,2006-06-30,Energy,GSPE,0.0934256055363321,0.1124777451629669,0.05496024812941106,-0.05540114367785195,25.28,2.400001098398672,1.8686,19.178,0.4587,18205467840,3.9863,0.2609,6.9619,1.3033,0.2637,1.2881,0.2614,-7.188750168367,0.1838,0.1034,0.1567,0.3433
MRO,2006-09-29,Energy,GSPE,-0.0767405063291139,-0.1284253015879189,-0.05540114367785195,0.09576315131498506,23.34,2.2599987189163144,0.5277,20.819,0.4849,16515827460,3.0472,0.2345,5.0383,1.1046,0.2407,1.3363,0.2908,-6.969852420582263,0.2004,0.0984,0.1768,0.3748
MRO,2006-12-29,Energy,GSPE,0.2030848329048842,0.1413637753392524,0.09576315131498506,0.051165354792111734,28.08,1.5415651100526049,1.1,21.609,0.4905,19530819360,3.7315,0.3043,8.9222,1.2912,0.3117,1.2524,0.2732,-8.065652397698486,0.1543,0.0751,0.1697,0.348
MRO,2007-03-30,Energy,GSPE,0.0683760683760684,0.0665711354032798,0.051165354792111734,0.07016474763608463,30.0,1.034999437029595,0.4633,22.1406,0.4885,20578710000,3.9827,0.3394,7.269,1.3416,0.3445,1.1681,0.2678,-8.340172926291299,0.1329,0.0557,0.166,0.3392
MRO,2007-06-29,Energy,GSPE,0.2133333333333333,0.1552769512233363,0.07016474763608463,-0.14311391608724616,36.4,2.1708683473389354,0.5518,22.1498,0.4706,24792112800,4.9893,0.41,13.3004,1.5676,0.4416,1.3274,0.2491,-8.94286024707019,0.1883,0.0926,0.1528,0.319
MRO,2007-09-28,Energy,GSPE,-0.0491758241758241,-0.0647410783043195,-0.14311391608724616,0.026935402835561215,34.61,1.4899997810969958,-0.6391,24.3449,0.4639,24582790800,5.6292,0.414,23.4792,1.4736,0.4545,1.5262,0.2019,-8.185504308160162,0.1323,0.0662,0.1255,0.2687
MRO,2007-12-31,Energy,GSPE,0.0676105171915632,0.1058551640875432,0.026935402835561215,-0.17561100226509052,36.95,0.9408450704225352,2.6971,27.0746,0.4497,26234500000,6.6315,0.3874,11.9682,1.3647,0.4595,0.9402,0.1607,-18.219718309859157,0.0602,0.0294,0.1005,0.2203
MRO,2008-03-31,Energy,GSPE,-0.2508795669824087,-0.1516804362291876,-0.17561100226509052,-0.031547585752991214,27.68,1.026685393258427,-1.0351,27.6235,0.4393,19625120000,4.9433,0.269,17.3061,0.9978,0.35,0.9809,0.1462,-19.29901269393512,0.0961,0.0403,0.0907,0.2041
MRO,2008-06-30,Energy,GSPE,0.1376445086705202,0.169926925505906,-0.031547585752991214,0.01796111667548045,31.49,1.084033613445378,0.542,28.1638,0.413,22263430000,6.9703,0.2839,19.7545,1.1071,0.3577,0.9478,0.1138,-20.547383309759542,0.093,0.0348,0.0683,0.1605
MRO,2008-09-30,Energy,GSPE,-0.2315020641473483,-0.1427208027032565,0.01796111667548045,-0.1031530720959285,24.2,2.9029535864978904,0.2292,30.8396,0.4483,17085200000,4.0323,0.1979,9.8872,0.7791,0.2628,1.0078,0.1445,-20.688385269121813,0.181,0.0885,0.0868,0.2015
