ticker,date,sector,sectoralIndex,absoluteReturn,relativeToSPReturn,relativeToSectoralIndexReturn,nextPeriodRelativeToSectoralIndexReturn,closePrice,dilutedEarningsPerShare,freeCashFlowPerShare,bookValuePerShare,equityRatio,marketCap,priceToEarningsRatio,priceToSalesRatio,priceToFreeCashFlow,priceToBookRatio,enterpriseValueToSalesRatio,currentRatio,roic,netCurrentAssetValuePerShare,ebitdaMargin,netIncomeMargin,returnOnAssets,returnOnEquity
NDSN,2003-01-31,Industrials,SP500-20,,,,0.04408412317134533,11.05,0.0737581312832643,0.0861,4.0483,0.3647,745167800,34.8632,1.1497,7.4605,2.7212,1.4054,1.1534,0.0379,-3.129485734622457,0.1249,0.0343,0.0282,0.0787
NDSN,2003-04-30,Industrials,SP500-20,0.1429864253393665,0.0714426952589779,0.04408412317134533,-0.11565721053654324,12.63,0.1196816379667436,0.3541,4.1288,0.367,852045060,39.2937,1.3082,9.671,3.0528,1.5753,1.2109,0.0385,-3.092066644926033,0.1451,0.0485,0.0286,0.0784
NDSN,2003-07-31,Industrials,SP500-20,-0.0435471100554236,-0.1235868256427199,-0.11565721053654324,0.07893208985019395,12.08,0.1291079812206572,0.1649,4.3132,0.385,818854880,35.2498,1.2457,10.5662,2.8028,1.5097,1.3259,0.0411,-2.8263800784822823,0.1517,0.0525,0.0305,0.0813
NDSN,2003-10-31,Industrials,SP500-20,0.1473509933774834,0.0863600273892474,0.07893208985019395,0.21144935308350338,13.86,0.1951476484532763,0.5713,4.3915,0.3913,943450200,26.833,1.4137,11.7954,3.1436,1.6619,1.3104,0.0633,-2.7813574261789333,0.1578,0.0705,0.046,0.1187
NDSN,2004-01-30,Industrials,SP500-20,0.3066378066378066,0.2300990405319277,0.21144935308350338,-0.01920984588576706,18.11,0.1356084418500224,0.2976,4.7681,0.4406,1253302550,31.4623,1.8093,13.1421,3.6883,2.0342,1.6408,0.0729,-2.126826096380319,0.1476,0.0566,0.0518,0.1245
NDSN,2004-04-30,Industrials,SP500-20,-0.0458310325786857,-0.0247636433733606,-0.01920984588576706,0.1529150522527553,17.28,0.2285538039753255,0.3712,4.9486,0.4524,1232323200,25.4517,1.7054,12.5097,3.4135,1.8983,1.7416,0.0875,-1.6973567973077193,0.1773,0.0848,0.0617,0.1381
NDSN,2004-07-30,Industrials,SP500-20,0.2118055555555555,0.2168449106345203,0.1529150522527553,-0.19120546154275814,20.94,0.2331237010445626,0.1005,5.2247,0.4796,1519113240,26.6759,2.014,16.0265,3.9238,2.1844,1.8251,0.1009,-1.2992721859234142,0.1778,0.0872,0.0709,0.1522
NDSN,2004-10-29,Industrials,SP500-20,-0.1638013371537726,-0.1896518084405678,-0.19120546154275814,0.020944375585177158,17.51,0.266318291069162,0.6228,5.4461,0.4798,1270455560,20.0596,1.6468,12.4713,3.1498,1.7602,1.8499,0.1101,-1.0053338111252,0.2325,0.0956,0.0768,0.1602
NDSN,2005-01-31,Industrials,SP500-20,0.0748143917761278,0.0296276367188286,0.020944375585177158,-0.12003493771334706,18.82,0.1930913978494623,0.0613,5.7221,0.5033,1371940360,20.1649,1.7344,16.098,3.2225,1.8419,2.1651,0.115,-0.7132980328678428,0.1584,0.0755,0.0806,0.1641
NDSN,2005-04-29,Industrials,SP500-20,-0.1439957492029756,-0.1233230464834036,-0.12003493771334706,0.01799302323788161,16.11,0.2352608625424002,0.5891,5.8162,0.4972,1175208390,17.0713,1.4653,11.5319,2.7197,1.5305,2.0978,0.1136,-0.6240935448052749,0.1665,0.0841,0.0802,0.1605
