ticker,date,sector,sectoralIndex,absoluteReturn,relativeToSPReturn,relativeToSectoralIndexReturn,nextPeriodRelativeToSectoralIndexReturn,closePrice,dilutedEarningsPerShare,freeCashFlowPerShare,bookValuePerShare,equityRatio,marketCap,priceToEarningsRatio,priceToSalesRatio,priceToFreeCashFlow,priceToBookRatio,enterpriseValueToSalesRatio,currentRatio,roic,netCurrentAssetValuePerShare,ebitdaMargin,netIncomeMargin,returnOnAssets,returnOnEquity
NFG,2003-12-31,Energy,GSPE,,,,-0.03945138132960933,24.44,0.5979248675705885,0.6607,14.7712,0.3166,1995599320,10.4967,1.0107,9.4339,1.6414,1.5515,0.7944,0.0696,-25.964888001665585,0.2671,0.0924,0.0502,0.1593
NFG,2004-03-31,Energy,GSPE,0.0065466448445171,-0.0063049239980445,-0.03945138132960933,-0.05356287254044934,24.6,0.662300415737784,1.7288,15.2009,0.3279,2015527200,10.7994,1.0246,10.3221,1.5977,1.5638,0.8146,0.0689,-25.1079675828736,0.2451,0.0961,0.0485,0.1506
NFG,2004-06-30,Energy,GSPE,0.0162601626016259,0.0032696853458272,-0.05356287254044934,0.029021688382952812,25.0,0.1146187995524489,1.0597,15.3408,0.341,2059400000,9.4913,1.0757,8.5974,1.615,1.6294,0.7722,0.0823,-25.02693745751189,0.3049,0.082,0.0572,0.171
NFG,2004-09-30,Energy,GSPE,0.1331999999999999,0.1562181362438007,0.029021688382952812,-0.04182066655040842,28.33,-0.1868539719767399,-0.2554,15.6043,0.3471,2351106700,14.1134,1.1763,8.8785,1.8215,1.7146,0.8883,0.0636,-24.36740571153151,0.322,0.0289,0.0446,0.1298
NFG,2004-12-31,Energy,GSPE,0.0003529827038475,-0.0869804448908695,-0.04182066655040842,-0.16191616166847111,28.34,0.5959261797301448,0.2257,16.3376,0.3558,2358313100,14.0534,1.1993,10.2747,1.7054,1.7341,0.9623,0.0623,-23.898708165595146,0.2772,0.1008,0.0441,0.1255
NFG,2005-03-31,Energy,GSPE,0.0088214537755822,0.0346730586578707,-0.16191616166847111,-0.004077624198858371,28.59,0.5582045534976997,1.4539,16.2119,0.3413,2387522310,14.789,1.2206,11.4068,1.7372,1.7335,0.8799,0.0595,-24.19367972314361,0.2371,0.0893,0.0408,0.1171
NFG,2005-06-30,Energy,GSPE,0.0111927247289262,0.0020955863952859,-0.004077624198858371,0.005496072959447873,28.91,-0.0607324169287489,0.408,15.9449,0.3543,2425491180,16.385,1.2378,15.5614,1.7917,1.779,0.8219,0.0569,-24.138692221507068,0.2811,0.0478,0.0377,0.1085
NFG,2005-09-30,Energy,GSPE,0.1829816672431685,0.1515209435800241,0.005496072959447873,-0.010702108003287955,34.2,0.2921635936818015,-0.934,14.5047,0.3302,2885009400,15.2252,1.5055,29.4942,2.3463,2.0594,1.2452,0.0775,-22.76388444349609,0.2493,0.2194,0.0502,0.1467
NFG,2005-12-30,Energy,GSPE,-0.0880116959064327,-0.1038644148295207,-0.010702108003287955,-0.03693295638541981,31.19,0.665673510555665,-0.5773,15.318,0.3396,2635523810,13.4143,1.2392,91.1567,1.9946,1.734,1.4034,0.0805,-21.95933679688517,0.2155,0.0807,0.0516,0.154
NFG,2006-03-31,Energy,GSPE,0.0490541840333439,0.0117391734211705,-0.03693295638541981,0.03549552278867795,32.72,0.629153430565539,1.8321,16.03,0.3532,2745862400,13.435,1.2333,43.1122,1.9859,1.6897,1.4814,0.0812,-21.80617254528122,0.2056,0.0882,0.0523,0.1511
NFG,2006-06-30,Energy,GSPE,0.073960880195599,0.0930130198222338,0.03549552278867795,0.055773056447505645,35.14,-0.2892717633928571,0.9652,15.5986,0.3563,2927478260,15.7955,1.306,26.1207,2.1818,1.7477,1.4757,0.0745,-22.41244043260632,0.1335,0.0002,0.0482,0.136
NFG,2006-09-29,Energy,GSPE,0.0344336937962436,-0.0172511014625614,0.055773056447505645,-0.04707408874258151,36.35,-0.2691189689590362,-0.1636,16.852,0.3835,3031699050,21.9541,1.3536,17.1049,2.1001,1.8117,1.5159,0.0549,-22.006894236418358,0.6442,0.0088,0.0366,0.0991
NFG,2006-12-29,Energy,GSPE,0.0602475928473176,-0.0014734647183141,-0.04707408874258151,0.10525944728786475,38.54,0.6434480886570441,-0.2375,17.1701,0.3829,3184367500,23.5542,1.5767,15.3901,2.1887,2.0956,1.6794,0.0521,-21.472919818456884,0.2842,0.1111,0.0357,0.0932
NFG,2007-03-30,Energy,GSPE,0.1224701608718214,0.1206652278990329,0.10525944728786475,-0.14201278357057265,43.26,0.922547716768784,1.9383,17.7057,0.38,3611171760,26.7403,1.8742,16.8981,2.3985,2.3295,1.3396,0.0517,-20.97744261823758,0.2311,0.0982,0.0348,0.0912
