ticker,date,sector,sectoralIndex,absoluteReturn,relativeToSPReturn,relativeToSectoralIndexReturn,nextPeriodRelativeToSectoralIndexReturn,closePrice,dilutedEarningsPerShare,freeCashFlowPerShare,bookValuePerShare,equityRatio,marketCap,priceToEarningsRatio,priceToSalesRatio,priceToFreeCashFlow,priceToBookRatio,enterpriseValueToSalesRatio,currentRatio,roic,netCurrentAssetValuePerShare,ebitdaMargin,netIncomeMargin,returnOnAssets,returnOnEquity
NOC,2003-03-31,Industrials,SP500-20,,,,-0.16345595627978873,39.61,0.6865299033973733,-3.2589,39.7698,0.4265,14489536050,27.972,0.7491,46.8917,0.9886,1.08,1.0102,0.0224,-37.62933803529203,0.0854,0.0431,0.0135,0.0355
NOC,2003-06-30,Industrials,SP500-20,-0.0106033829840949,-0.1595340444180117,-0.16345595627978873,-0.04275644213482065,39.19,0.5396756522210772,1.619,39.8519,0.4323,14339385860,26.5053,0.6596,22.7971,0.9758,0.9423,0.986,0.025,-37.07631171869448,0.0787,0.0309,0.0158,0.0368
NOC,2003-09-30,Industrials,SP500-20,-0.0020413370757845,-0.0240731181975136,-0.04275644213482065,-0.03489521875097261,39.11,0.5027322404371585,0.6202,40.4098,0.4393,14317075920,18.2615,0.5919,48.8637,0.968,0.8361,0.9818,0.0368,-36.65672326755392,0.085,0.0276,0.0231,0.0531
NOC,2003-12-31,Industrials,SP500-20,0.1091792380465355,-0.0072400081686191,-0.03489521875097261,0.043380558474703755,43.38,0.423290821581029,1.0166,29.8287,0.478,15712930080,18.1442,0.5973,97.5958,0.9954,0.7899,0.902,0.0403,-31.746250855842923,0.0727,0.0313,0.0259,0.0566
NOC,2004-03-31,Industrials,SP500-20,0.0290456431535269,0.0161940743109651,0.043380558474703755,0.011469598753568372,44.64,0.6462212486308871,0.5257,43.472,0.4761,16093389600,18.9557,0.583,10.3561,1.0136,0.761,0.9443,0.039,-31.174847093740897,0.0852,0.0329,0.0255,0.0536
NOC,2004-06-30,Industrials,SP500-20,0.091173835125448,0.0781833578696493,0.011469598753568372,-0.0018835720265719383,48.71,0.8198074277854195,1.3314,44.0825,0.4808,17548556860,18.629,0.6176,12.178,1.0951,0.7868,0.9937,0.0431,-30.33036700660068,0.0897,0.04,0.0282,0.059
NOC,2004-09-30,Industrials,SP500-20,-0.0067747895709299,0.0162433466728708,-0.0018835720265719383,-0.07564255911530875,48.38,0.7637362637362637,1.6126,44.1428,0.4792,17194832560,16.5973,0.5897,9.5473,1.0701,0.7363,0.9475,0.0474,-30.62080064826173,0.0975,0.0375,0.0309,0.0645
NOC,2004-12-31,Industrials,SP500-20,0.0192228193468375,-0.0681106082478795,-0.07564255911530875,0.013514431832391482,49.31,0.7403375068045727,0.4191,45.4545,0.5014,17970043300,16.5775,0.6196,12.6817,1.076,0.7536,1.1109,0.0496,-26.765085201547624,0.1002,0.0388,0.0324,0.0661
NOC,2005-03-31,Industrials,SP500-20,-0.0068951531129589,0.0189564517693296,0.013514431832391482,0.06145171619696179,48.97,1.1144414168937329,0.3433,45.4305,0.5022,17603931480,14.0047,0.601,13.0302,1.0558,0.7335,1.016,0.0575,-27.66743443379956,0.103,0.0548,0.0378,0.0753
NOC,2005-06-30,Industrials,SP500-20,0.0234837655707575,0.0143866272371173,0.06145171619696179,-0.035709184147581556,50.12,1.0049288061336257,1.8209,46.161,0.504,17919303360,13.5138,0.6041,11.6966,1.0629,0.7176,1.0555,0.0604,-27.035644760690072,0.1028,0.047,0.0397,0.079
NOC,2005-09-30,Industrials,SP500-20,-0.0163607342378292,-0.0478214579009736,-0.035709184147581556,0.06140031627053155,49.3,0.8089453340695748,1.836,46.7945,0.5006,17486660700,13.04,0.5918,10.8612,1.0317,0.6885,1.0719,0.0607,-26.890405667904336,0.0858,0.0401,0.0398,0.0793
NOC,2005-12-30,Industrials,SP500-20,0.1060851926977688,0.0902324737746808,0.06140031627053155,0.07093082620124015,54.53,0.9227766936158348,1.1569,46.9138,0.4918,18941377210,13.5295,0.6286,10.1236,1.1255,0.7042,0.9469,0.0635,-28.313809711622337,0.0998,0.0436,0.0411,0.0828
NOC,2006-03-31,Industrials,SP500-20,0.1360718870346598,0.0987568764224864,0.07093082620124015,-0.05736558819728352,61.95,1.0205245153933866,-0.7297,47.3745,0.4958,21268921800,15.7664,0.7144,14.284,1.2797,0.832,0.9333,0.0623,-29.281378522911304,0.1095,0.0504,0.0398,0.0806
NOC,2006-06-30,Industrials,SP500-20,-0.0619854721549637,-0.0429333325283289,-0.05736558819728352,0.06851452898993114,58.11,1.228220508426164,1.3281,48.6889,0.5061,20013723210,14.174,0.6769,15.5265,1.1741,0.7808,0.9869,0.0656,-27.83012156986856,0.112,0.0565,0.042,0.0838
NOC,2006-09-29,Industrials,SP500-20,0.0626398210290827,0.0109550257702777,0.06851452898993114,-0.05885419355109166,61.75,0.8603988603988604,2.2592,49.3732,0.5088,21312148000,14.9979,0.7175,15.0403,1.2297,0.7961,1.0279,0.065,-26.90533586760002,0.0961,0.0406,0.0419,0.0826
NOC,2006-12-29,Industrials,SP500-20,-0.0055060728744939,-0.0672271304401257,-0.05885419355109166,0.09057411408483557,61.41,1.198095741867231,0.1005,43.9434,0.519,21243070020,13.7673,0.7049,20.426,1.2785,0.8036,0.9958,0.0721,-25.06056278583033,0.1005,0.0565,0.0467,0.0909
