ticker,date,sector,sectoralIndex,absoluteReturn,relativeToSPReturn,relativeToSectoralIndexReturn,nextPeriodRelativeToSectoralIndexReturn,closePrice,dilutedEarningsPerShare,freeCashFlowPerShare,bookValuePerShare,equityRatio,marketCap,priceToEarningsRatio,priceToSalesRatio,priceToFreeCashFlow,priceToBookRatio,enterpriseValueToSalesRatio,currentRatio,roic,netCurrentAssetValuePerShare,ebitdaMargin,netIncomeMargin,returnOnAssets,returnOnEquity
NOV,2003-03-31,Energy,GSPE,,,,-0.08179011221603069,10.09,0.1134405038117335,-0.0982,6.0531,0.4905,1699781580,23.9234,1.0405,21.4502,1.662,1.3697,3.1126,0.0446,0.5176538329118733,0.104,0.0382,0.035,0.0722
NOV,2003-06-30,Energy,GSPE,-0.0178394449950445,-0.1667701064289612,-0.08179011221603069,-0.17984049579462735,9.91,0.1074655841863748,-0.0821,6.2574,0.503,1683659450,23.2687,0.9695,38.9339,1.5829,1.2753,3.1341,0.0435,0.6851996821566262,0.1008,0.0384,0.0344,0.0693
NOV,2003-09-30,Energy,GSPE,-0.1755802219979818,-0.1976120031197109,-0.17984049579462735,0.08816492359964023,8.17,0.1273738820160097,0.1142,6.3926,0.5054,1389782360,18.2135,0.7439,31.8333,1.2758,1.0098,2.9546,0.0452,0.8550685446892562,0.1044,0.0435,0.0357,0.0708
NOV,2003-12-31,Energy,GSPE,0.233782129742962,0.1173628835278074,0.08816492359964023,0.21789086271476238,10.08,0.1301264763321863,0.0791,6.4294,0.4932,1716120000,21.0502,0.8559,680.4599,1.5513,1.1152,2.7562,0.0476,0.6451747430249632,0.1016,0.0422,0.037,0.0742
NOV,2004-03-31,Energy,GSPE,0.2638888888888889,0.2510373200463271,0.21789086271476238,0.04399172152982417,12.74,0.0637924012334904,0.0293,6.56,0.5036,2185215760,29.8025,1.0923,90.4214,1.9381,1.3512,2.8818,0.0423,0.7953522539119889,0.0716,0.022,0.0327,0.0656
NOV,2004-06-30,Energy,GSPE,0.1138147566718994,0.1008242794161008,0.04399172152982417,-0.06048557024988707,14.19,0.1237831205361793,-0.0019,6.6572,0.5098,2435699310,31.8629,1.1831,64.4381,2.1175,1.434,2.9671,0.0439,0.9347447407208898,0.0921,0.04,0.034,0.0671
NOV,2004-09-30,Energy,GSPE,0.04369274136716,0.0667108776109608,-0.06048557024988707,0.03142527039462989,14.81,0.1604901960784313,0.2971,6.9096,0.5102,2544432050,30.8162,1.1677,36.4291,2.1236,1.2946,2.0211,0.0473,0.9646052210354764,0.0989,0.0449,0.0358,0.0703
NOV,2004-12-31,Energy,GSPE,0.0735989196488858,-0.0137345079458312,0.03142527039462989,0.15253282480751892,15.9,0.3158438576349024,0.4074,7.3938,0.4999,2734656900,23.7383,1.1796,21.4988,2.1231,1.2691,1.8841,0.0649,1.3180922257559988,2.4767,0.0821,0.0467,0.0926
NOV,2005-03-31,Energy,GSPE,0.3232704402515722,0.3491220451338608,0.15253282480751892,0.0027904875741166842,21.04,0.1669793621013133,-0.2462,18.5262,0.6332,7216025680,51.6034,2.7366,103.5892,1.8269,2.9426,2.5742,0.0412,0.7554662693495292,0.1008,0.0436,0.0317,0.0533
NOV,2005-06-30,Energy,GSPE,0.0180608365019012,0.008963698168261,0.0027904875741166842,0.20673476052486922,21.42,0.1756601607347876,-0.0192,11.4718,0.6261,7415882460,41.2798,2.2344,117.1619,1.8554,2.3889,2.477,0.036,1.0227807736855634,0.1127,0.0503,0.0284,0.0452
