ticker,date,sector,sectoralIndex,absoluteReturn,relativeToSPReturn,relativeToSectoralIndexReturn,nextPeriodRelativeToSectoralIndexReturn,closePrice,dilutedEarningsPerShare,freeCashFlowPerShare,bookValuePerShare,equityRatio,marketCap,priceToEarningsRatio,priceToSalesRatio,priceToFreeCashFlow,priceToBookRatio,enterpriseValueToSalesRatio,currentRatio,roic,netCurrentAssetValuePerShare,ebitdaMargin,netIncomeMargin,returnOnAssets,returnOnEquity
NUE,2003-03-31,Materials,SP500-15,,,,0.14985471184579058,9.54,0.0568496435308034,0.2733,7.9891,0.5702,2983520520,18.6937,0.5735,12.8975,1.1939,0.7075,2.2506,0.0443,-1.4627419757112985,0.0845,0.012,0.0364,0.0633
NUE,2003-06-30,Materials,SP500-15,0.2798742138364782,0.1309435524025614,0.14985471184579058,-0.11735302561373798,12.21,0.0268940772378745,0.0868,7.9394,0.5717,3819593250,35.2761,0.6914,27.4484,1.5357,0.8175,2.3657,0.0305,-1.393987053464397,0.0736,0.0055,0.0247,0.0434
NUE,2003-09-30,Materials,SP500-15,-0.0606060606060606,-0.0826378417277897,-0.11735302561373798,-0.004074634502924723,11.47,0.0511079992216732,0.3435,7.9603,0.5619,3591968140,42.1988,0.6088,17.6453,1.4393,0.7137,2.3197,0.0239,-1.2753143740300548,0.0732,0.0099,0.0193,0.0341
NUE,2003-12-31,Materials,SP500-15,0.2205754141238011,0.1041561679086464,-0.004074634502924723,0.1206585768548035,14.0,0.0648048885077186,0.1854,7.9436,0.5608,4401054000,70.1005,0.7023,15.7624,1.7468,0.7906,2.5739,0.0175,-1.1211218948915418,0.0682,0.0123,0.014,0.025
NUE,2004-03-31,Materials,SP500-15,0.0978571428571428,0.085005574014581,0.1206585768548035,0.22885428389301218,15.37,0.3575063773899427,0.4322,8.187,0.5369,4852723990,30.6672,0.6861,14.6774,1.8713,0.7576,2.1795,0.0437,-0.91069816645393,0.1263,0.0495,0.0339,0.0619
NUE,2004-06-30,Materials,SP500-15,0.2485361093038388,0.2355456320480401,0.22885428389301218,0.16040047720989,19.19,0.791335162898434,0.3963,8.9763,0.558,6084592490,15.1639,0.7319,14.1713,2.1333,0.7802,2.4338,0.1064,0.0632382021692302,0.1865,0.091,0.0807,0.1473
NUE,2004-09-30,Materials,SP500-15,0.1902032308494006,0.2132213670932014,0.16040047720989,0.06628494180527932,22.84,1.2962291470333085,1.3645,10.2368,0.5573,7267276880,9.077,0.7304,9.5755,2.2153,0.747,2.2915,0.1935,1.0373434072323386,0.2384,0.1282,0.1456,0.2611
NUE,2004-12-31,Materials,SP500-15,0.1457968476357268,0.0584634200410097,0.06628494180527932,0.08673767806250228,26.17,1.0485327764384318,0.1283,11.1459,0.5917,8362309460,7.4564,0.735,11.271,2.3041,0.7477,2.9789,0.2465,2.100028791567826,0.2069,0.1105,0.1866,0.3246
NUE,2005-03-31,Materials,SP500-15,0.099732518150554,0.1255841230328426,0.08673767806250228,-0.1080447713556984,28.78,1.099766815921015,1.603,12.3659,0.603,9192792480,6.7449,0.7405,8.1933,2.3051,0.718,3.0004,0.277,3.087243594560072,0.201,0.1067,0.2138,0.3578
NUE,2005-06-30,Materials,SP500-15,-0.2074357192494788,-0.2165328575831191,-0.1080447713556984,0.28078420815194394,22.81,1.0127826911126874,0.8973,12.6804,0.6252,7308141520,5.0957,0.5711,5.7006,1.8087,0.5602,3.324,0.2792,2.9741285675048066,0.1959,0.1026,0.2193,0.3572
NUE,2005-09-30,Materials,SP500-15,0.2932924156071899,0.2618316919440455,0.28078420815194394,0.024806535425480378,29.5,0.9281523574510844,2.2339,13.5434,0.612,9181521000,7.0052,0.7297,5.9342,2.1557,0.6752,3.0208,0.2493,3.5508003521420908,0.1879,0.0964,0.1953,0.3158
NUE,2005-12-30,Materials,SP500-15,0.1308474576271186,0.1149947387040306,0.024806535425480378,0.5026587225822734,33.36,1.1091884414582682,0.9577,14.2597,0.6267,10369055280,7.8717,0.8163,5.7417,2.3176,0.7443,3.2424,0.2407,4.525546693777487,0.2041,0.1084,0.1868,0.3016
