ticker,date,sector,sectoralIndex,absoluteReturn,relativeToSPReturn,relativeToSectoralIndexReturn,nextPeriodRelativeToSectoralIndexReturn,closePrice,dilutedEarningsPerShare,freeCashFlowPerShare,bookValuePerShare,equityRatio,marketCap,priceToEarningsRatio,priceToSalesRatio,priceToFreeCashFlow,priceToBookRatio,enterpriseValueToSalesRatio,currentRatio,roic,netCurrentAssetValuePerShare,ebitdaMargin,netIncomeMargin,returnOnAssets,returnOnEquity
OKE,2003-03-31,Energy,GSPE,,,,0.0057878134763987565,8.03,0.0368830826075481,2.9864,6.2496,0.2056,1201617230,10.3179,0.3631,1.2905,0.9758,0.851,1.0672,0.0358,-19.004176662813,0.251,0.0206,0.0197,0.0896
OKE,2003-06-30,Energy,GSPE,0.0697384806973848,-0.0791921807365318,0.0057878134763987565,0.023679190696951728,8.59,0.0901984024735892,-1.9029,6.3611,0.2197,1287142780,12.4212,0.489,2.7393,1.0427,1.1559,1.0687,0.0318,-19.53122622495696,0.2054,0.0455,0.0178,0.084
OKE,2003-09-30,Energy,GSPE,0.0279394644935972,0.0059076833718681,0.023679190696951728,-0.05048696831772731,8.83,0.0037801298585786,-1.4921,7.6278,0.2163,1433682950,16.3849,0.521,9.8241,1.1941,1.2051,1.0289,0.0263,-18.070489329596896,0.1265,0.008,0.0156,0.0718
OKE,2003-12-31,Energy,GSPE,0.0951302378255945,-0.0212890083895601,-0.05048696831772731,-0.025315502906287913,9.67,0.328210264917937,-1.0191,6.4763,0.1998,1841061630,16.3667,0.6413,-8.7226,1.483,1.2914,0.9005,0.0312,-16.530151426815625,0.1973,0.0873,0.0191,0.0921
OKE,2004-03-31,Energy,GSPE,0.0206825232678386,0.0078309544252768,-0.025315502906287913,-0.09413914456456754,9.87,0.5190280163478055,2.0432,7.3235,0.249,2024396220,10.3704,0.7193,-5.2508,1.3644,1.2696,0.8516,0.0533,-14.481419363646117,0.2346,0.102,0.032,0.1432
OKE,2004-06-30,Energy,GSPE,-0.0243161094224922,-0.0373065866782909,-0.09413914456456754,0.0785838898367431,9.63,0.0855478931625164,-0.1719,7.0038,0.2399,1983327390,10.4139,0.6719,-38.1152,1.3618,1.1825,0.8464,0.0548,-14.686612965093978,0.1579,0.0281,0.0316,0.1295
OKE,2004-09-30,Energy,GSPE,0.1827622014537902,0.205780337697591,0.0785838898367431,0.05001247892836025,11.39,0.0974313179106431,-1.2449,6.5427,0.2178,2354472460,11.3911,0.5816,-28.2168,1.6825,0.96,0.8369,0.0579,-14.911263871822904,0.0441,0.0125,0.033,0.1447
OKE,2004-12-31,Energy,GSPE,0.0921861281826162,0.0048527005878991,0.05001247892836025,-0.08633247074951951,12.44,0.4488750410568957,-0.68,7.325,0.223,2590169720,10.6953,0.4411,-69.6937,1.6131,0.7024,0.8634,0.0619,-14.883777669982182,0.0823,0.0386,0.0355,0.1611
OKE,2005-03-31,Energy,GSPE,0.0844051446945338,0.1102567495768223,-0.08633247074951951,0.044032838618545955,13.49,0.4849686038864514,2.0778,7.0816,0.2295,2758394730,11.273,0.3654,271.3353,1.7545,0.5633,0.827,0.061,-15.143708094308897,0.0848,0.0397,0.0348,0.1539
OKE,2005-06-30,Energy,GSPE,0.0593031875463305,0.0502060492126902,0.044032838618545955,-0.13549819050485423,14.29,0.1139351928260989,-0.7351,6.8693,0.2237,2882007200,11.4478,0.3203,-25.1857,1.9234,0.5784,1.1396,0.0636,-15.75625247917493,0.0541,0.0119,0.0371,0.1639
