ticker,date,sector,sectoralIndex,absoluteReturn,relativeToSPReturn,relativeToSectoralIndexReturn,nextPeriodRelativeToSectoralIndexReturn,closePrice,dilutedEarningsPerShare,freeCashFlowPerShare,bookValuePerShare,equityRatio,marketCap,priceToEarningsRatio,priceToSalesRatio,priceToFreeCashFlow,priceToBookRatio,enterpriseValueToSalesRatio,currentRatio,roic,netCurrentAssetValuePerShare,ebitdaMargin,netIncomeMargin,returnOnAssets,returnOnEquity
OXY,2003-03-31,Energy,GSPE,,,,0.05574313932041963,14.37,0.4240605427974948,0.4919,9.1375,0.4134,10899946770,8.4561,1.322,8.346,1.5564,1.7891,0.9555,0.1143,-10.403139794415711,0.4893,0.1351,0.0769,0.1888
OXY,2003-06-30,Energy,GSPE,0.1196938065414057,-0.0292368548925109,0.05574313932041963,0.04608155342523136,16.09,0.4835790018101887,0.4189,9.5422,0.4295,12317458150,8.6559,1.4226,10.1629,1.669,1.8788,0.9169,0.1229,-10.463270784484054,0.449,0.1622,0.0834,0.1978
OXY,2003-09-30,Energy,GSPE,0.0503418272218768,0.0283100461001477,0.04608155342523136,0.05319936190401561,16.9,0.5701866530299157,0.6098,9.9948,0.4415,13017225000,8.8733,1.4393,8.9773,1.665,1.8287,1.1591,0.1221,-9.88640051931191,0.4729,0.1898,0.0841,0.193
OXY,2003-12-31,Energy,GSPE,0.1988165680473374,0.0823973218321827,0.05319936190401561,0.04432773888016757,20.26,0.5007550652292462,0.4797,10.8029,0.4535,15683184960,10.2705,1.6753,10.1575,1.903,2.0289,0.9794,0.1231,-9.62800479527087,0.4721,0.1659,0.0851,0.1901
OXY,2004-03-31,Energy,GSPE,0.090325765054294,0.0774741962117323,0.04432773888016757,-0.018668666649544786,22.09,0.6130412890231621,0.7854,11.0636,0.4708,17282663750,10.2324,1.8123,9.6497,1.9663,2.1844,0.9821,0.1313,-9.464770730148588,0.4825,0.1887,0.0917,0.1983
OXY,2004-06-30,Energy,GSPE,0.0511543684925305,0.0381638912367318,-0.018668666649544786,0.05129111129423623,23.22,0.7282526949110053,-0.0902,11.7159,0.4831,18190455120,9.5941,1.8237,13.0397,1.9461,2.1651,1.0866,0.1414,-8.983962134093103,0.4925,0.2118,0.0997,0.209
OXY,2004-09-30,Energy,GSPE,0.1554694229112833,0.1784875591550841,0.05129111129423623,0.0010615352407123413,26.83,0.9397470865360774,0.8467,12.5477,0.4967,21180755690,9.5927,1.9861,13.2297,2.0927,2.2497,1.3276,0.1579,-8.170317553008893,0.5452,0.2494,0.1111,0.2268
OXY,2004-12-31,Energy,GSPE,0.0432351844949683,-0.0440982430997487,0.0010615352407123413,0.04862644314830125,27.99,0.9155972359328728,1.15,13.4217,0.5084,22208805450,8.6482,2.0145,10.2486,2.0418,2.1865,1.2944,0.1752,-7.666471318474268,0.3955,0.2787,0.1229,0.2445
OXY,2005-03-31,Energy,GSPE,0.2193640585923545,0.2452156634746431,0.04862644314830125,0.06588992062978928,34.13,1.041102633522028,0.8638,14.2603,0.5201,27184647390,9.2875,2.3069,12.1089,2.3459,2.4768,1.3934,0.1931,-7.576870394712889,0.5449,0.2532,0.134,0.2605
OXY,2005-06-30,Energy,GSPE,0.0811602695575738,0.0720631312239336,0.06588992062978928,-0.06718749130269086,36.9,1.885588018659465,0.8666,16.0471,0.5455,29505166200,7.6005,2.3413,9.7602,2.2571,2.5124,1.1815,0.2418,-7.976508195368172,0.5279,0.4313,0.1679,0.3148
OXY,2005-09-30,Energy,GSPE,0.1102981029810298,0.0788373793178854,-0.06718749130269086,0.012384032618790508,40.97,2.124270428015564,1.0031,17.3139,0.5673,32939757090,6.7624,2.3201,10.4075,2.3133,2.4033,1.2895,0.2841,-6.1766399625869255,0.5681,0.3769,0.1985,0.3567
OXY,2005-12-30,Energy,GSPE,-0.0649255552843543,-0.0807782742074423,0.012384032618790508,0.07402330071932019,38.31,1.4138224219604032,-1.5352,18.6712,0.5887,30817713300,5.8223,2.0097,31.8036,2.0047,2.038,1.6238,0.2931,-4.722598610196039,0.5061,0.3063,0.2067,0.3575
OXY,2006-03-31,Energy,GSPE,0.1600104411380839,0.1226954305259105,0.07402330071932019,0.06842033116193577,44.44,1.4298989429666629,1.6552,21.2603,0.5684,38064548720,6.7038,2.3143,22.4967,2.0796,2.3898,1.4291,0.2782,-6.788957407610638,0.5746,0.2764,0.1947,0.3372
OXY,2006-06-30,Energy,GSPE,0.1068856885688568,0.1259378281954916,0.06842033116193577,-0.04046181645018134,49.19,0.991125965195344,0.5128,21.1132,0.5878,41582225410,8.3131,2.3958,29.0581,2.2697,2.4668,1.3568,0.2286,-7.446716642672348,0.5442,0.1923,0.1578,0.2731
