ticker,date,sector,sectoralIndex,absoluteReturn,relativeToSPReturn,relativeToSectoralIndexReturn,nextPeriodRelativeToSectoralIndexReturn,closePrice,dilutedEarningsPerShare,freeCashFlowPerShare,bookValuePerShare,equityRatio,marketCap,priceToEarningsRatio,priceToSalesRatio,priceToFreeCashFlow,priceToBookRatio,enterpriseValueToSalesRatio,currentRatio,roic,netCurrentAssetValuePerShare,ebitdaMargin,netIncomeMargin,returnOnAssets,returnOnEquity
PSX,2010-09-30,Energy,GSPE,,,,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PSX,2010-12-31,Energy,GSPE,,,,,0.0,0.4484375,3.414,40.6656,0.5789,0,0.0,0.0,0.0,0.0,0.0023,1.176,0.0867,-6.6015625,-0.0037,0.007,0.051,0.0882
PSX,2011-03-31,Energy,GSPE,,,,,0.0,1.05625,-2.6015,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2043,0.0,0.013,0.015,0.1202,0.2077
PSX,2011-06-30,Energy,GSPE,,,,,0.0,1.6234375,4.3906,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0198,0.0197,0.0,0.0
PSX,2011-09-30,Energy,GSPE,,,,,0.0,1.6390625,0.7453,41.2062,0.5502,0,0.0,0.0,0.0,0.0,0.0019,1.2449,0.2277,-5.7921875,0.0282,0.0208,0.1273,0.2313
PSX,2011-12-30,Energy,GSPE,,,,,0.0,3.1421875,3.7,36.3953,0.539,0,0.0,0.0,0.0,0.0,0.0018,1.1262,0.189,-9.328125,0.0074,0.0418,0.1047,0.1922
PSX,2012-03-30,Energy,GSPE,,,,inf,0.0,0.99375,-0.9046,38.9734,0.4706,0,0.0,0.0,0.0,0.0,0.0303,1.572,0.1726,-7.6984375,0.0129,0.0138,0.0984,0.1963
PSX,2012-06-29,Energy,GSPE,inf,inf,inf,0.29398906099793803,33.24,1.8593827982687745,1.8326,29.8808,0.3907,20838920520,4.2728,0.109,6.0754,1.0979,0.1315,1.2891,0.1677,-17.657670878241827,0.0301,0.0252,0.096,0.222
PSX,2012-09-28,Energy,GSPE,0.3950060168471719,0.3373696101140196,0.29398906099793803,0.18745462760774012,46.37,2.506611403122369,2.4752,32.3022,0.3945,29018624220,5.347,0.158,6.403,1.4082,0.1742,1.3348,0.1951,-15.581506089746664,0.0472,0.0372,0.1076,0.2741
PSX,2012-12-31,Energy,GSPE,0.1451369419883546,0.1551878919611939,0.18745462760774012,0.20425859199645094,53.1,1.1109350212850757,0.6762,32.647,0.4328,33110292600,8.0286,0.1846,12.7592,1.5913,0.2041,1.439,0.1461,-14.922716206983928,0.0311,0.0161,0.0822,0.1991
PSX,2013-03-29,Energy,GSPE,0.3177024482109227,0.2174352987602687,0.20425859199645094,-0.1462233165963801,69.97,2.228776723143795,2.9004,33.8641,0.4179,43327663040,8.8514,0.2479,8.6568,2.0267,0.2606,1.4159,0.1742,-13.893015864813188,0.0324,0.0341,0.0986,0.232
PSX,2013-06-28,Energy,GSPE,-0.1580677433185651,-0.1817041986079651,-0.1462233165963801,-0.06017953653916143,58.91,1.53302811458345,0.9633,34.7091,0.4344,35995836210,7.7045,0.2103,8.1016,1.6595,0.2233,1.4658,0.1651,-12.618017743780594,0.0238,0.0221,0.0924,0.2169
PSX,2013-09-30,Energy,GSPE,-0.0185028008827023,-0.065362637373478,-0.06017953653916143,0.2565776782492531,57.82,0.8705996071724389,2.5076,35.7905,0.4313,34665171520,9.6078,0.2011,7.8695,1.5761,0.2022,1.4363,0.127,-13.183528595447148,0.0103,0.0121,0.0715,0.1651
PSX,2013-12-31,Energy,GSPE,0.3339674852992043,0.2347673832031129,0.2565776782492531,-0.0027950807813897777,77.13,1.3666039065679711,0.4533,37.0472,0.4496,45520583400,12.217,0.2652,10.7157,2.0328,0.2695,1.4876,0.1294,-13.84153986919245,0.0165,0.0191,0.0739,0.1678
PSX,2014-03-31,Energy,GSPE,-0.0009075586671851,-0.0138812113424182,-0.0027950807813897777,-0.07072637850377969,77.06,2.666327439257092,1.401,37.0249,0.4293,43604092760,11.2063,0.2554,13.4456,1.9975,0.2604,1.3887,0.1353,-14.065664509424826,0.0191,0.039,0.0773,0.1759
PSX,2014-06-30,Energy,GSPE,0.0437321567609655,-0.0032091125880177,-0.07072637850377969,0.1024437633434324,80.43,1.5106295456733505,0.4708,38.4309,0.4319,44951442270,11.8417,0.2597,15.4472,2.0474,0.2668,1.3627,0.1329,-14.78289964554679,0.02,0.0189,0.0746,0.1733
PSX,2014-09-30,Energy,GSPE,0.010941191097849,0.0047888218789749,0.1024437633434324,-0.005550718146312278,81.31,2.0886508377613917,-1.9204,39.2843,0.447,45006142030,10.1342,0.2658,158.4723,2.0278,0.2839,1.3213,0.1545,-16.733120992641545,0.0355,0.0291,0.0884,0.2011
PSX,2014-12-31,Energy,GSPE,-0.1181896445701635,-0.1621029948208289,-0.005550718146312278,0.13174465950357994,71.7,2.050964775976354,-0.4541,39.4046,0.4525,39175589400,8.2267,0.243,-160.5556,1.7777,0.259,1.5045,0.1588,-18.234495279859143,0.0344,0.0328,0.0968,0.2153
PSX,2015-03-31,Energy,GSPE,0.0962343096234308,0.0918679049117975,0.13174465950357994,0.05083080164611224,78.6,1.7869525307918896,0.4906,40.9079,0.4603,42572275200,10.192,0.2962,-53.2819,1.8841,0.3207,1.6366,0.1315,-19.08676001417937,0.0497,0.0433,0.0854,0.1871
PSX,2015-06-30,Energy,GSPE,0.0249363867684479,0.0272478179396167,0.05083080164611224,0.1348760243166146,80.56,1.8436000480939143,0.3898,42.3062,0.4656,43313889600,10.0124,0.3419,-50.7188,1.8651,0.3722,1.641,0.1322,-18.81672432392218,0.0442,0.0354,0.0874,0.1888
PSX,2015-09-30,Energy,GSPE,-0.0461767626613703,0.0231748815433091,0.1348760243166146,0.07095297564288447,76.84,2.8970288013864613,0.8169,44.12,0.4863,40989529600,8.6768,0.3658,60.6353,1.7056,0.4022,1.6956,0.1413,-19.37237552489502,0.0807,0.0611,0.0951,0.1999
PSX,2015-12-31,Energy,GSPE,0.0645497136907859,1.431048422702308e-05,0.07095297564288447,0.027405015091923498,81.8,1.2019097421256422,-1.8139,44.2635,0.4927,43305738000,10.245,0.4375,-849.1321,1.809,0.4958,1.6274,0.1252,-23.395855763963656,0.0483,0.0296,0.0862,0.1762
PSX,2016-03-31,Energy,GSPE,0.058557457212714,0.0508272648973495,0.027405015091923498,-0.1918138338531192,86.59,0.7200178040766099,-0.9201,44.2165,0.49,45510058790,12.5544,0.4861,-55.9091,1.9248,0.5618,1.5117,0.1082,-25.470859867460963,0.0349,0.0221,0.0748,0.1523
PSX,2016-06-30,Energy,GSPE,-0.0837279131539438,-0.1027206585358736,-0.1918138338531192,-0.00028414572859848664,79.34,0.9339810944149436,1.0074,45.3169,0.4778,41482839660,13.3428,0.4771,-84.1436,1.7237,0.5357,1.2156,0.0921,-26.110789157098896,0.0293,0.0227,0.063,0.1303
PSX,2016-09-30,Energy,GSPE,0.0152508192588857,-0.017819470592225,-0.00028414572859848664,0.0071208911965670585,80.55,0.9663425353348538,0.4198,45.974,0.4837,41954467500,20.5457,0.5068,-58.5956,1.7257,0.5665,1.1845,0.0594,-26.838821157722958,0.0354,0.0236,0.0405,0.0844
PSX,2016-12-30,Energy,GSPE,0.0727498448168839,0.0402077453743965,0.0071208911965670585,-0.010187240248148127,86.41,0.3102906071416333,-0.2779,45.1634,0.4593,44846790000,28.8403,0.5321,376.8637,1.8902,0.6137,1.3399,0.0445,-29.37957610789981,0.0082,0.0069,0.0305,0.0647
PSX,2017-03-31,Energy,GSPE,-0.0832079620414303,-0.1385448515126856,-0.010187240248148127,0.11403417737609316,79.22,1.0199801723480515,-1.9427,45.2318,0.4615,40885283560,23.9796,0.4554,-100.209,1.7232,0.5455,1.394,0.0483,-30.052431902468136,0.0176,0.0233,0.033,0.0718
PSX,2017-06-30,Energy,GSPE,0.0438020701842968,0.0181155977462664,0.11403417737609316,0.04758946647288541,82.69,1.0573669640110734,2.7049,45.7666,0.4593,42296844590,24.0459,0.4597,91.1569,1.7767,0.5392,1.4036,0.0498,-30.43140812221047,0.0332,0.0228,0.034,0.074
PSX,2017-09-29,Energy,GSPE,0.1078727778449631,0.0682797255787935,0.04758946647288541,0.05146507132219273,91.61,1.5950848903015735,0.0658,46.4357,0.4545,46422451400,22.4154,0.4835,168.1972,1.9375,0.5663,1.3059,0.0584,-31.215218849903305,0.0444,0.0321,0.0396,0.0867
PSX,2017-12-29,Energy,GSPE,0.1041371029363607,0.0429112386601148,0.05146507132219273,0.014135084334127544,101.15,6.240194815838153,2.72,53.5197,0.5044,50804610500,9.9499,0.4963,27.9761,1.8522,0.5642,1.4237,0.1352,-24.99253389611165,0.0249,0.1075,0.0953,0.1987
PSX,2018-03-30,Energy,GSPE,-0.051705388037568,-0.0394597767034809,0.014135084334127544,0.04393750838218902,95.92,1.0701128111291731,0.3267,49.6254,0.4661,44683085040,8.7699,0.4335,14.9192,1.8388,0.5377,1.3127,0.1303,-33.71780257901369,0.0303,0.0222,0.0956,0.1969
PSX,2018-06-29,Energy,GSPE,0.1708715596330275,0.1415251712985127,0.04393750838218902,0.004772533392750173,112.31,2.839041807487946,3.8716,52.9219,0.4552,52141265220,8.8615,0.483,15.2727,2.0889,0.5676,1.2426,0.1527,-32.927527990660444,0.0534,0.0462,0.11,0.2388
PSX,2018-09-28,Energy,GSPE,0.0036506099189742,-0.0683079000883507,0.004772533392750173,0.008243837013021615,112.72,3.178254942058623,-0.4196,54.9484,0.4615,51978010000,7.9319,0.4636,16.3298,2.015,0.5537,1.2789,0.1672,-32.04120357820548,0.0553,0.05,0.1183,0.2582
PSX,2018-12-31,Energy,GSPE,-0.2357168204400283,-0.0960007326352631,0.008243837013021615,-0.04947156629763923,86.15,4.8220989908035685,6.7703,58.4528,0.5,39298614750,7.0238,0.3525,7.9648,1.4473,0.425,1.4783,0.1391,-30.559117863053935,0.0906,0.0769,0.1015,0.2113
PSX,2019-03-29,Energy,GSPE,0.1047011027278003,-0.0259608004285706,-0.04947156629763923,0.019996082192724297,95.17,0.4441647851352852,-3.4292,58.2313,0.4622,43164448670,8.1828,0.3889,13.4931,1.6139,0.4792,1.3078,0.1296,-35.927602408549426,0.0106,0.0088,0.094,0.1957
PSX,2019-06-28,Energy,GSPE,-0.0171272459808762,-0.0550047901245588,0.019996082192724297,0.16718105461912758,93.54,3.125651634711415,2.8512,59.9361,0.4725,41956618680,7.8277,0.3819,15.7023,1.5365,0.4635,1.2796,0.1309,-36.07243022949913,0.0582,0.0511,0.0927,0.1983
PSX,2019-09-30,Energy,GSPE,0.0947188368612358,0.0828280026828431,0.16718105461912758,0.0437680576177931,102.4,1.5787104684912008,1.7627,60.0708,0.4612,45502259200,9.9349,0.4242,12.4187,1.6795,0.5063,1.2924,0.1109,-36.07901736887825,0.0619,0.0261,0.0786,0.1683
PSX,2019-12-31,Energy,GSPE,0.0879882812499999,0.002646585335706,0.0437680576177931,-0.007863946700544688,111.41,1.6424098794524706,0.9283,60.6285,0.4626,49134706660,15.9735,0.4579,52.5504,1.8084,0.545,1.236,0.0746,-38.90020089518532,0.0358,0.0252,0.0523,0.1133
PSX,2020-03-31,Energy,GSPE,-0.5184453819226281,-0.3184348780979891,-0.007863946700544688,0.053417533241170156,53.65,-5.655439622064371,-1.5996,53.5612,0.4421,23427613750,62.3074,0.2229,12.9864,0.991,0.3133,1.1116,0.0093,-41.4862311787943,0.0297,-0.1195,0.0067,0.0148
PSX,2020-06-30,Energy,GSPE,0.3401677539608576,0.1406390342663717,0.053417533241170156,-0.07037832202795796,71.9,-0.3213631266580969,-0.3988,53.0932,0.4272,31398514300,-26.4074,0.3562,95.147,1.3478,0.4784,1.247,-0.03,-42.87641087527508,-0.0223,-0.0129,-0.022,-0.0506
PSX,2020-09-30,Energy,GSPE,-0.2789986091794159,-0.3637358297708613,-0.07037832202795796,0.09133767028348772,51.84,-1.820393879466686,-0.1389,50.8183,0.4109,22643712000,-8.3865,0.2946,-43.0488,1.0151,0.4404,1.2196,-0.0677,-43.8507326007326,-0.0053,-0.0501,-0.0496,-0.1184
PSX,2020-12-31,Energy,GSPE,0.3491512345679011,0.2322704530159013,0.09133767028348772,-0.1268324301805871,69.94,-1.2274828630639247,0.3028,49.015,0.3933,30554757740,-7.6867,0.4764,-37.7685,1.4196,0.6658,1.3948,-0.1001,-45.60156201716296,-0.0268,-0.0328,-0.0729,-0.1813
PSX,2021-03-31,Energy,GSPE,0.1658564483843295,0.1081312674711163,-0.1268324301805871,-0.04883778918187589,81.54,-1.4880410644726785,-0.1365,46.5456,0.3686,35703675180,-16.7387,0.5503,-219.0409,1.7453,0.7592,1.2613,-0.0544,-47.09420897213081,-0.0168,-0.0302,-0.0387,-0.1016
PSX,2021-06-30,Energy,GSPE,0.0524895756683834,-0.0292167177852279,-0.04883778918187589,-0.15578445258060075,85.82,0.6675809952860607,3.0949,46.7806,0.3615,37588215980,-22.1367,0.4642,27.3368,1.8244,0.5966,1.0844,-0.0442,-47.02172885620415,0.0021,0.0108,-0.0301,-0.0827
PSX,2021-09-30,Energy,GSPE,-0.1839897459799579,-0.1863259970707084,-0.15578445258060075,-0.03314939070806706,70.03,0.9128728699633034,3.7491,46.7722,0.3651,30680143000,-61.7306,0.3219,9.9384,1.4895,0.4324,1.1507,-0.013,-45.17461766719927,0.0343,0.0132,-0.0087,-0.0241
