ticker,date,sector,sectoralIndex,absoluteReturn,relativeToSPReturn,relativeToSectoralIndexReturn,nextPeriodRelativeToSectoralIndexReturn,closePrice,dilutedEarningsPerShare,freeCashFlowPerShare,bookValuePerShare,equityRatio,marketCap,priceToEarningsRatio,priceToSalesRatio,priceToFreeCashFlow,priceToBookRatio,enterpriseValueToSalesRatio,currentRatio,roic,netCurrentAssetValuePerShare,ebitdaMargin,netIncomeMargin,returnOnAssets,returnOnEquity
PXD,2003-03-31,Energy,GSPE,,,,-0.02411002977078692,25.1,0.7096692647988203,-0.8653,11.8976,0.3793,2952287100,26.1514,3.6227,-28.7489,2.0909,5.7834,0.5177,0.0362,-18.074212938165804,0.5103,0.2912,0.0314,0.081
PXD,2003-06-30,Energy,GSPE,0.0398406374501992,-0.1090900239837175,-0.02411002977078692,-0.028781346593580386,26.1,0.6487824559338987,0.4972,11.8853,0.382,3075258600,17.1864,3.1258,-70.6485,2.1748,4.8523,0.5156,0.0567,-17.835401354539744,0.6569,0.2261,0.0482,0.1266
PXD,2003-09-30,Energy,GSPE,-0.0245210727969348,-0.0465528539186639,-0.028781346593580386,0.10850691011747937,25.46,1.6192626860379715,0.8024,14.4854,0.4466,3004229080,8.0837,2.6399,58.3039,1.7508,4.0536,0.6063,0.115,-16.35592976152138,0.6925,0.5761,0.0985,0.2374
PXD,2003-12-31,Energy,GSPE,0.2541241162608012,0.1377048700456465,0.10850691011747937,-0.03441017775571131,31.93,0.4788189344371745,0.416,14.6863,0.4453,3808865840,9.2765,3.1067,37.5705,2.1644,4.3596,0.4772,0.1234,-16.65452518275099,0.7825,0.2184,0.1053,0.2362
PXD,2004-03-31,Energy,GSPE,0.0115878484184152,-0.0012637204241465,-0.03441017775571131,0.016245076313033097,32.3,0.5004656422537085,0.6762,14.6164,0.4474,3877647300,10.0311,2.8219,13.5867,2.2059,3.8754,0.4804,0.1183,-16.224304670515032,0.5805,0.1376,0.0981,0.2197
PXD,2004-06-30,Energy,GSPE,0.0860681114551084,0.0730776341993097,0.016245076313033097,-0.12128207444486928,35.08,0.578910649324762,0.6019,14.8246,0.4525,4211143520,11.1089,2.8864,14.0978,2.3592,3.8296,0.5393,0.1186,-15.926560261237546,0.6283,0.1635,0.0963,0.214
PXD,2004-09-30,Energy,GSPE,-0.0171037628278221,0.0059143734159786,-0.12128207444486928,-0.024192210739174644,34.48,0.6726352278111674,1.1385,21.9532,0.4003,5007495920,18.6721,3.2243,14.701,1.8961,4.8095,0.407,0.0647,-25.450123597904,0.7669,0.1894,0.0508,0.1211
PXD,2004-12-31,Energy,GSPE,0.0179814385150813,-0.0693519890796357,-0.024192210739174644,0.046356401649963686,35.1,0.6907129271775989,1.1007,19.1669,0.4205,5083603200,16.2491,4.912,11.2124,1.7951,7.2105,0.7225,0.0606,-24.22311367653557,-0.2336,-0.3994,0.0469,0.1143
PXD,2005-03-31,Energy,GSPE,0.217094017094017,0.2429456219763055,0.046356401649963686,-0.030251622336024294,42.72,0.5745495266211952,4.7354,17.014,0.3642,6147493440,18.2243,6.6763,5.7463,2.4521,8.6484,0.5285,0.0705,-27.015163097107752,0.4618,0.262,0.0495,0.1263
PXD,2005-06-30,Energy,GSPE,-0.0149812734082397,-0.0240784117418799,-0.030251622336024294,0.12764748556418815,42.08,1.2775498120430169,3.9657,18.2148,0.3826,5971025760,13.1758,7.2189,3.795,2.2569,8.8345,0.6156,0.1081,-26.244867756189347,0.5061,0.5581,0.0656,0.1759
PXD,2005-09-30,Energy,GSPE,0.3051330798479088,0.2736723561847644,0.12764748556418815,0.01084928200365469,54.92,0.8715458507892175,-0.0925,14.982,0.2939,7326987040,14.777,7.5663,5.148,3.4492,9.5024,0.5737,0.1223,-33.38325637873655,0.8916,0.2174,0.0701,0.2079
PXD,2005-12-30,Energy,GSPE,-0.0664603058994901,-0.0823130248225781,0.01084928200365469,-0.222909317130291,51.27,1.0337461424391807,0.4551,9.8731,0.3025,6592706760,10.5327,3.8553,4.8374,2.9735,5.048,0.6036,0.1501,-34.904718947335674,0.0253,0.4774,0.0859,0.2883
PXD,2006-03-31,Energy,GSPE,-0.1369221767115272,-0.1742371873237006,-0.222909317130291,0.010348201915112702,44.25,4.279107322914041,7.4047,23.2843,0.4157,5620812000,5.1829,3.1587,3.5018,1.9016,3.7864,1.2186,0.2584,-23.15153041944829,0.2559,1.3839,0.1502,0.4192
PXD,2006-06-30,Energy,GSPE,0.0488135593220338,0.0678656989486685,0.010348201915112702,-0.1357388532504833,46.41,0.6819647596124174,3.8741,22.4875,0.4124,5710982550,5.7843,3.0795,3.7295,1.9592,3.5146,1.0158,0.238,-26.471333956360976,0.4817,0.2168,0.1392,0.3363
PXD,2006-09-29,Energy,GSPE,-0.1570782159017453,-0.2087630111605503,-0.1357388532504833,-0.09275112944265991,39.12,0.637547935045055,-1.5763,23.4296,0.4242,4769823360,5.0498,2.8555,3.5473,1.6063,3.5107,0.5898,0.2264,-28.79400957942392,0.4482,0.2103,0.1343,0.321
PXD,2006-12-29,Energy,GSPE,0.0145705521472392,-0.0471505054183925,-0.09275112944265991,0.06895708686955808,39.69,0.2250345444200601,-2.7802,24.2597,0.4057,4822454070,6.516,3.0591,5.3562,1.6157,4.0043,0.6049,0.1712,-31.556175567681457,0.4748,0.0705,0.1031,0.2486
PXD,2007-03-30,Energy,GSPE,0.0861678004535147,0.0843628674807262,0.06895708686955808,-0.01326833053603313,43.11,0.2409971171229864,-2.5852,24.2909,0.3873,5321670840,23.4976,3.3469,-14.9021,1.7841,4.5078,0.551,0.0485,-34.05368426168951,0.4635,0.0728,0.03,0.0759
PXD,2007-06-29,Energy,GSPE,0.1299002551612155,0.0718438730512185,-0.01326833053603313,-0.17051374372829747,48.71,0.2971264742294911,-2.3778,25.1695,0.3797,5999221020,34.368,3.6878,-5.2111,1.9413,5.043,0.6785,0.0343,-36.13467628002144,0.5059,0.0821,0.022,0.0574
PXD,2007-09-28,Energy,GSPE,-0.0765756518168754,-0.0921409059453708,-0.17051374372829747,0.04514080382985852,44.98,0.8368047288699151,-1.3781,25.1609,0.3582,5374435300,27.4645,3.1585,-4.8015,1.7536,4.6815,1.3026,0.0355,-34.99797464116835,0.4626,0.2221,0.0234,0.0635
PXD,2007-12-31,Energy,GSPE,0.0858159181858605,0.1240605650818405,0.04514080382985852,0.08100157045032379,48.84,1.7182663578070971,-1.9338,25.6375,0.3544,5831007600,15.6441,3.0566,-5.7865,1.9088,4.4947,0.7695,0.0648,-40.18143898148924,0.6961,0.3421,0.0434,0.1218
PXD,2008-03-31,Energy,GSPE,0.0057330057330056,0.1049321364862267,0.08100157045032379,0.4244561140455441,49.12,1.0820226619313378,-1.1161,25.7982,0.3488,5806082240,12.3246,2.8184,-7.0615,1.903,4.171,0.6729,0.0806,-42.35483325155243,0.624,0.2291,0.0542,0.1543
PXD,2008-06-30,Energy,GSPE,0.5936482084690555,0.6259306253044414,0.4244561140455441,-0.08267785136930203,78.28,1.312674876434615,0.0458,26.616,0.3466,9274692680,15.685,4.0993,-17.6729,2.9191,5.2481,0.6406,0.1008,-43.2961403094167,0.6599,0.2422,0.066,0.1898
