ticker,date,sector,sectoralIndex,absoluteReturn,relativeToSPReturn,relativeToSectoralIndexReturn,nextPeriodRelativeToSectoralIndexReturn,closePrice,dilutedEarningsPerShare,freeCashFlowPerShare,bookValuePerShare,equityRatio,marketCap,priceToEarningsRatio,priceToSalesRatio,priceToFreeCashFlow,priceToBookRatio,enterpriseValueToSalesRatio,currentRatio,roic,netCurrentAssetValuePerShare,ebitdaMargin,netIncomeMargin,returnOnAssets,returnOnEquity
RIO,2003-03-31,Materials,SP500-15,,,,-0.13001950199068762,19.14,0.1928463448871612,-0.2205,5.8117,0.4393,24696533400,41.164,2.902,-16.8855,2.5491,3.2394,0.9838,0.0376,-6.0396338864303925,0.2715,0.1477,0.0283,0.0669
RIO,2003-06-30,Materials,SP500-15,0.0,-0.1489306614339167,-0.13001950199068762,0.3972760234980697,19.14,0.1928463448871612,-0.2205,5.8117,0.4393,24696533400,44.992,2.8794,-16.5507,2.5491,3.2141,0.9838,0.0327,-6.0396338864303925,0.2715,0.1477,0.0248,0.0566
RIO,2003-09-30,Materials,SP500-15,0.454022988505747,0.4319912073840179,0.3972760234980697,-0.22465004862672588,27.83,0.2586169194288378,-0.1999,6.6142,0.4584,35934096000,34.969,4.0362,-24.8254,3.2548,4.3985,1.1285,0.0589,-6.311136926889715,0.2967,0.177,0.0445,0.0991
RIO,2003-12-31,Materials,SP500-15,0.0,-0.1164192462151546,-0.22465004862672588,-0.09649429004114624,27.83,0.2586169194288378,-0.1999,6.6142,0.4584,35934096000,23.856,3.8937,-25.6164,3.2548,4.2431,1.1285,0.0832,-6.311136926889715,0.2967,0.177,0.0625,0.1364
RIO,2004-03-31,Materials,SP500-15,-0.1192957240388069,-0.1321472928813687,-0.09649429004114624,-0.01968182541082661,24.51,0.584161287983175,0.5352,8.4262,0.503,31670351400,15.9122,3.1474,-106.5753,2.7257,3.4416,1.3817,0.1121,-5.196031389787485,0.4341,0.2676,0.0843,0.1756
RIO,2004-06-30,Materials,SP500-15,0.0,-0.0129904772557986,-0.01968182541082661,0.18602751971830248,24.51,0.584161287983175,0.5352,8.4262,0.503,31670351400,12.7994,2.9067,39.1743,2.7257,3.1783,1.3817,0.1422,-5.196031389787485,0.4341,0.2676,0.1071,0.2129
RIO,2004-09-30,Materials,SP500-15,0.2158302733578131,0.2388484096016139,0.18602751971830248,-0.07951190583044755,29.8,0.4289940978961478,-0.0791,6.4074,0.4785,38526632000,13.351,3.2308,39.045,3.0598,3.5223,1.5331,0.1628,-7.11998391138888,0.3866,0.243,0.1168,0.2383
RIO,2004-12-31,Materials,SP500-15,0.0,-0.087333427594717,-0.07951190583044755,0.009823951858256949,29.8,0.4289940978961478,-0.0791,6.4074,0.4785,38526632000,11.6853,2.9741,33.07,3.0598,3.2425,1.5331,0.1827,-7.11998391138888,0.3866,0.243,0.1253,0.2618
RIO,2005-03-31,Materials,SP500-15,0.0228187919463087,0.0486703968285972,0.009823951858256949,0.09939094789378047,30.48,0.8363645916068398,0.6273,10.2604,0.4886,39449959200,11.038,2.7625,31.8401,2.9706,2.9685,1.5074,0.196,-6.903398774617744,0.4045,0.2496,0.1336,0.2762
RIO,2005-06-30,Materials,SP500-15,0.0,-0.0090971383336402,0.09939094789378047,0.4868356245657515,30.48,0.8363645916068398,0.6273,10.2604,0.4886,39449959200,10.244,2.5277,30.0456,2.9706,2.7162,1.5074,0.2091,-6.903398774617744,0.4045,0.2496,0.1416,0.2899
RIO,2005-09-30,Materials,SP500-15,0.4993438320209974,0.4678831083578531,0.4868356245657515,-0.10604092220163826,45.7,0.7593778181008782,0.6978,7.8372,0.5281,59104724000,13.0387,3.4125,20.5939,3.7553,3.4355,1.5631,0.2329,-5.090000927844617,0.5759,0.2943,0.1591,0.3124
RIO,2005-12-30,Materials,SP500-15,0.0,-0.0158527189230879,-0.10604092220163826,0.0791800875471942,45.7,0.7593778181008782,0.6978,7.8372,0.5281,59104724000,11.3336,3.1053,13.3509,3.7553,3.1263,1.5631,0.2542,-5.090000927844617,0.5759,0.2943,0.1749,0.3313
RIO,2006-03-31,Materials,SP500-15,0.1472647702407001,0.1099497596285267,0.0791800875471942,0.010357286690169078,52.43,1.1649803708786826,0.4667,10.0287,0.5321,66539437300,11.0338,3.3256,15.2072,4.0724,3.3601,1.1706,0.2891,-6.113733246133117,0.4585,0.3574,0.1993,0.3759
RIO,2006-06-30,Materials,SP500-15,0.0,0.0190521396266347,0.010357286690169078,0.024434967285280055,52.43,1.1649803708786826,0.4667,10.0287,0.5321,66539437300,9.7194,3.1711,15.3883,4.0724,3.204,1.1706,0.3228,-6.113733246133117,0.4585,0.3574,0.2229,0.4189
RIO,2006-09-29,Materials,SP500-15,0.0131604043486553,-0.0385243909101497,0.024434967285280055,-0.10738392443325724,53.12,1.4695604876261554,0.924,15.6438,0.5619,65823648000,9.2164,3.0299,16.1828,3.3955,3.0885,1.1894,0.3156,-6.644877537021345,0.437,0.3074,0.219,0.3998
