ticker,date,sector,sectoralIndex,absoluteReturn,relativeToSPReturn,relativeToSectoralIndexReturn,nextPeriodRelativeToSectoralIndexReturn,closePrice,dilutedEarningsPerShare,freeCashFlowPerShare,bookValuePerShare,equityRatio,marketCap,priceToEarningsRatio,priceToSalesRatio,priceToFreeCashFlow,priceToBookRatio,enterpriseValueToSalesRatio,currentRatio,roic,netCurrentAssetValuePerShare,ebitdaMargin,netIncomeMargin,returnOnAssets,returnOnEquity
RTX,2003-03-31,Industrials,SP500-20,,,,0.07298758951163245,18.181,0.500998003992016,0.1646,9.2554,0.312,17013543447,7.4916,0.5961,8.4434,1.8345,0.6909,1.4473,0.1556,-9.100361513891515,0.1517,0.0749,0.077,0.2493
RTX,2003-06-30,Industrials,SP500-20,0.2258401628073262,0.0769095013734094,0.07298758951163245,0.050369383656358624,22.287,0.624,0.694,10.163,0.3288,20896937523,9.1693,0.7204,10.5753,2.0561,0.7967,1.516,0.1496,-8.569487505185952,0.1566,0.0811,0.0751,0.2345
RTX,2003-09-30,Industrials,SP500-20,0.0910844887153946,0.0690527075936655,0.050369383656358624,0.08222812987025518,24.317,0.6259920634920635,0.8888,10.6934,0.3164,22885190723,9.9241,0.7715,10.5122,2.1231,0.8804,1.2193,0.1415,-11.835910230268436,0.1572,0.0803,0.0709,0.2202
RTX,2003-12-31,Industrials,SP500-20,0.2263025866677633,0.1098833404526086,0.08222812987025518,-0.0750346353159794,29.82,0.5113043478260869,0.513,10.7965,0.3519,30658538400,12.9854,0.9879,13.074,2.4692,1.0727,1.1894,0.1336,-9.598101388942926,0.1346,0.0684,0.0681,0.2035
RTX,2004-03-31,Industrials,SP500-20,-0.0893695506371562,-0.102221119479718,-0.0750346353159794,-0.019678458430432456,27.155,0.5423228346456693,0.6269,12.6801,0.3585,27912896050,11.5821,0.8464,9.9087,2.1666,0.9231,1.1922,0.1298,-9.41035693786421,0.1367,0.0637,0.0676,0.1905
RTX,2004-06-30,Industrials,SP500-20,0.0600257779414472,0.0470353006856485,-0.019678458430432456,0.025631186278073544,28.785,0.4044554455445545,0.4683,6.5801,0.3622,29454539100,11.3504,0.8461,9.5974,2.2159,0.9101,1.2422,0.1374,-9.027031253053964,0.1526,0.0849,0.0714,0.1982
RTX,2004-09-30,Industrials,SP500-20,0.0207399687337155,0.0437581049775163,0.025631186278073544,0.011934703220516624,29.382,0.3430693069306931,0.3995,6.8688,0.3687,30031048380,11.3367,0.8297,10.0775,2.1643,0.8825,1.2576,0.1364,-8.882779402987996,0.1456,0.0742,0.0712,0.195
RTX,2004-12-31,Industrials,SP500-20,0.1068000816826629,0.0194666540879458,0.011934703220516624,0.004050421353714358,32.52,0.5987110104128758,0.402,14.8464,0.3752,33241944000,12.4361,0.8749,11.8678,2.1904,0.9267,1.1966,0.1289,-9.386617100371748,0.122,0.0589,0.0684,0.184
RTX,2005-03-31,Industrials,SP500-20,-0.016359163591636,0.0094924412906525,0.004050421353714358,0.048190534095004955,31.988,0.640748031496063,0.683,15.3809,0.3855,32744516200,11.8083,0.8449,11.4571,2.0953,0.9032,1.2346,0.1287,-8.950324818053046,0.1396,0.0692,0.0684,0.18
RTX,2005-06-30,Industrials,SP500-20,0.0102225834688007,0.0011254451351604,0.048190534095004955,-0.009817272437990006,32.315,0.9538310412573674,0.9872,15.9096,0.3615,33115119400,11.3136,0.822,11.3524,2.0446,0.9369,1.219,0.128,-11.02697216909325,0.1547,0.087,0.0686,0.1839
