ticker,date,sector,sectoralIndex,absoluteReturn,relativeToSPReturn,relativeToSectoralIndexReturn,nextPeriodRelativeToSectoralIndexReturn,closePrice,dilutedEarningsPerShare,freeCashFlowPerShare,bookValuePerShare,equityRatio,marketCap,priceToEarningsRatio,priceToSalesRatio,priceToFreeCashFlow,priceToBookRatio,enterpriseValueToSalesRatio,currentRatio,roic,netCurrentAssetValuePerShare,ebitdaMargin,netIncomeMargin,returnOnAssets,returnOnEquity
RYAAY,2003-06-30,Industrials,SP500-20,,,,-0.14054149394792498,23.04,0.158589392267417,-0.0573,5.0298,0.488,6785303040,27.0818,7.1651,41.7169,4.5247,6.8498,2.5958,0.1046,-0.859168559699288,-0.0911,0.1652,0.0873,0.1764
RYAAY,2003-09-30,Industrials,SP500-20,-0.0998263888888889,-0.121858170010618,-0.14054149394792498,0.10857742362679287,20.74,0.4839848363686248,-0.0859,5.3347,0.4978,6198626020,21.7013,5.7496,54.857,3.8877,5.4906,2.8888,0.1087,-0.8026954592753444,0.5596,0.3656,0.091,0.1846
RYAAY,2003-12-31,Industrials,SP500-20,0.252651880424301,0.1362326342091463,0.10857742362679287,-0.31091527713455835,25.98,0.1676700290157032,-0.0906,5.9677,0.5134,7693093680,26.5152,6.4053,225.9617,4.3042,6.1691,3.0328,0.1018,-0.8211038917181105,0.4104,0.1606,0.0868,0.1715
RYAAY,2004-03-31,Industrials,SP500-20,-0.3252501924557351,-0.3381017612982969,-0.31091527713455835,-0.12077668360519411,17.53,-0.0107041344971475,0.7823,5.9918,0.4951,5190913480,21.7227,4.0846,31.865,2.9106,3.7136,2.7072,0.0804,-0.6859102513879696,-5.1865,-0.0115,0.0674,0.1338
RYAAY,2004-06-30,Industrials,SP500-20,-0.0410724472333144,-0.0540629244891131,-0.12077668360519411,-0.10456743801780725,16.81,0.2303596814486632,0.6271,6.332,0.4953,4977709960,19.2605,3.6785,13.7598,2.7124,3.2514,2.5022,0.0872,-0.6111658944467708,0.292,0.1812,0.0707,0.1428
RYAAY,2004-09-30,Industrials,SP500-20,-0.1094586555621652,-0.0864405193183644,-0.10456743801780725,0.3012602060401916,14.97,0.6058846029956515,0.551,6.7981,0.5066,4448575020,15.1124,3.0272,8.0637,2.1956,2.636,2.8314,0.0937,-0.5196489504182847,0.6353,0.3527,0.0764,0.1524
RYAAY,2004-12-31,Industrials,SP500-20,0.3961255845023378,0.3087921569076208,0.3012602060401916,0.09457226437118774,20.9,0.1545691170354071,0.206,7.5794,0.4997,6210769400,21.3994,4.0062,9.7003,2.7485,3.6604,2.9246,0.0816,-0.8308251953453625,0.3293,0.1171,0.0681,0.1354
RYAAY,2005-03-31,Industrials,SP500-20,0.0741626794258373,0.1000142843081259,0.09457226437118774,0.06202140274201709,22.45,0.2048365108892008,0.8038,7.6834,0.4542,6671376700,18.8233,3.9741,10.3144,2.9154,4.3054,2.5464,0.089,-1.9099930678476005,-2.6281,0.1506,0.0741,0.1558
RYAAY,2005-06-30,Industrials,SP500-20,0.0240534521158128,0.0149563137821726,0.06202140274201709,-0.0036894677435930084,22.99,0.2836029900666922,0.8156,6.919,0.4167,6831846340,18.3596,3.7933,9.6501,3.3157,3.4439,2.6251,0.0942,-1.8357012578828,0.0206,0.1721,0.0745,0.1711
RYAAY,2005-09-30,Industrials,SP500-20,0.0156589821661593,-0.015801741496985,-0.0036894677435930084,0.18486544477190614,23.35,0.6992834625005399,0.1313,7.7753,0.4582,7021251600,17.4638,3.6011,12.0377,2.9997,3.2508,3.0933,0.1036,-1.0816671987655306,0.2377,0.3186,0.0799,0.1827
