ticker,date,sector,sectoralIndex,absoluteReturn,relativeToSPReturn,relativeToSectoralIndexReturn,nextPeriodRelativeToSectoralIndexReturn,closePrice,dilutedEarningsPerShare,freeCashFlowPerShare,bookValuePerShare,equityRatio,marketCap,priceToEarningsRatio,priceToSalesRatio,priceToFreeCashFlow,priceToBookRatio,enterpriseValueToSalesRatio,currentRatio,roic,netCurrentAssetValuePerShare,ebitdaMargin,netIncomeMargin,returnOnAssets,returnOnEquity
SLB,2003-03-31,Energy,GSPE,,,,0.18749593982793533,19.01,0.1277113467732683,-0.0408,5.2767,0.3202,22138095500,-9.4473,2.493,15.0808,3.592,3.0194,1.1597,-0.1688,-5.131288480528959,0.2424,0.0555,-0.1211,-0.3803
SLB,2003-06-30,Energy,GSPE,0.2514466070489214,0.1025159456150047,0.18749593982793533,0.012973858191584855,23.79,0.0951760879013418,0.3382,5.3035,0.2976,27720821700,-11.4208,3.0375,16.5747,4.4368,3.3811,1.1899,-0.1653,-4.923118182676381,0.2333,0.0315,-0.1206,-0.3911
SLB,2003-09-30,Energy,GSPE,0.0172341319882303,-0.0047976491334987,0.012973858191584855,-0.01503869374662764,24.2,-0.0472701515262851,0.5199,5.1941,0.3196,28335538000,-10.6709,3.1064,14.802,4.6612,3.5626,1.2759,-0.1826,-4.617160450597408,0.1033,-0.0156,-0.1327,-0.4308
SLB,2003-12-31,Energy,GSPE,0.1305785123966942,0.0141592661815395,-0.01503869374662764,0.12103413756856354,27.36,0.1511228301397178,0.625,5.3603,0.3133,32063184000,83.7154,3.4163,18.9552,5.1059,3.7347,1.526,0.0271,-2.894944961174162,-0.7308,-0.4527,0.0196,0.0619
SLB,2004-03-31,Energy,GSPE,0.16703216374269,0.1541805949001282,0.12103413756856354,-0.07514718171269848,31.93,0.1858153874703714,0.5566,5.163,0.353,37624076900,82.8494,4.0029,15.6816,6.1469,4.1507,1.2937,0.0335,-2.711427189327268,0.2622,0.0816,0.0242,0.0732
SLB,2004-06-30,Energy,GSPE,-0.0053241465706231,-0.0183146238264218,-0.07514718171269848,-0.0443546340351833,31.76,0.2898749551664547,0.8111,5.1096,0.3983,37508560000,53.7671,4.3223,12.5199,5.9838,4.4592,1.4421,0.0591,-2.0160592718035564,0.2497,0.1254,0.0421,0.1126
SLB,2004-09-30,Energy,GSPE,0.0598236775818638,0.0828418138256646,-0.0443546340351833,-0.04752124283714368,33.66,0.2592145157847917,0.2481,5.1525,0.404,39634313400,37.002,4.9033,14.7231,6.2661,5.0515,1.4377,0.0964,-2.089716260859965,0.254,0.1081,0.0682,0.1701
SLB,2004-12-31,Energy,GSPE,-0.0053475935828876,-0.0926810211776047,-0.04752124283714368,-0.11816891771406512,33.48,0.2692187747464736,0.2096,5.3335,0.4083,39405960000,32.1978,3.4405,17.7786,6.0316,3.5232,1.5016,0.1077,-2.045754460492778,0.2365,0.1106,0.0773,0.1903
SLB,2005-03-31,Energy,GSPE,0.0525686977299882,0.0784203026122767,-0.11816891771406512,0.062198436543270945,35.24,0.4263920230055477,0.235,5.632,0.4214,41525054000,27.194,3.4308,22.5064,6.0063,3.5057,1.5934,0.1298,-1.6891704502057965,0.3149,0.1563,0.0942,0.2271
SLB,2005-06-30,Energy,GSPE,0.0774687854710555,0.0683716471374152,0.062198436543270945,-0.06634522030426324,37.97,0.3933239475221132,0.2976,5.8731,0.4262,44675502000,27.0173,3.5181,36.7776,6.2047,3.5863,1.4925,0.1375,-1.81314380418154,0.2862,0.1406,0.0993,0.2343
SLB,2005-09-30,Energy,GSPE,0.1111403739794574,0.079679650316313,-0.06634522030426324,0.22876727929921026,42.19,0.439018351319889,0.2835,6.2885,0.4494,49707414200,26.4938,3.6947,39.4703,6.4166,3.7498,1.5952,0.1515,-1.457033729990324,0.2833,0.1462,0.1099,0.251
SLB,2005-12-30,Energy,GSPE,0.1514576913960654,0.1356049724729774,0.22876727929921026,0.21681236555077105,48.58,0.5355006704358076,0.5455,6.5639,0.4478,57408929200,26.0125,3.9598,34.2634,7.0903,3.9664,1.5744,0.1722,-1.2073823345236685,0.3024,0.1641,0.1249,0.2785
SLB,2006-03-31,Energy,GSPE,0.3027995059695348,0.2654844953573614,0.21681236555077105,-0.009708839789604004,63.29,0.5823442363709344,0.0792,6.9962,0.4681,74673972300,31.0356,4.8523,50.276,8.6028,4.8784,1.6276,0.1805,-0.9948087501165382,0.3206,0.1704,0.1314,0.2868
SLB,2006-06-30,Energy,GSPE,0.0287565176173171,0.0478086572439518,-0.009708839789604004,-0.025965198860026538,65.11,0.6876782092920422,0.5413,7.2981,0.4496,77092844400,27.7235,4.6309,42.9484,8.4772,4.7528,1.2898,0.1978,-2.756140839836492,0.323,0.1828,0.1434,0.3128
SLB,2006-09-29,Energy,GSPE,-0.0473045615112885,-0.0989893567700935,-0.025965198860026538,-0.08910468981172741,62.03,0.8037390089439743,0.481,7.7168,0.4629,73084986600,22.5585,4.082,35.7531,7.6134,4.1954,1.2801,0.2218,-2.6696414930997605,0.3434,0.2017,0.1581,0.3466
SLB,2006-12-29,Energy,GSPE,0.0182169917781717,-0.04350406578746,-0.08910468981172741,0.07683615152053978,63.16,0.9132254268214371,0.7611,8.4163,0.4563,74395532400,20.0535,3.8686,32.1557,7.1397,3.9552,1.423,0.238,-2.73929908565316,0.3519,0.2113,0.1702,0.3706
