ticker,date,sector,sectoralIndex,absoluteReturn,relativeToSPReturn,relativeToSectoralIndexReturn,nextPeriodRelativeToSectoralIndexReturn,closePrice,dilutedEarningsPerShare,freeCashFlowPerShare,bookValuePerShare,equityRatio,marketCap,priceToEarningsRatio,priceToSalesRatio,priceToFreeCashFlow,priceToBookRatio,enterpriseValueToSalesRatio,currentRatio,roic,netCurrentAssetValuePerShare,ebitdaMargin,netIncomeMargin,returnOnAssets,returnOnEquity
SNA,2003-03-31,Industrials,SP500-20,,,,0.019603000209960475,24.76,0.3670668953687822,0.2229,14.7084,0.4237,1426572160,13.8636,0.6659,7.0692,1.6636,0.8007,1.8702,0.0854,-1.7512496528742016,0.1062,0.0394,0.0512,0.1219
SNA,2003-06-30,Industrials,SP500-20,0.1724555735056542,0.0235249120717375,0.019603000209960475,-0.08825213571697621,29.03,0.3818493150684932,0.5719,15.8715,0.4401,1693232810,17.6378,0.7838,8.8883,1.8267,0.9144,1.9549,0.0774,-1.080117269875015,0.0989,0.0394,0.0464,0.1075
SNA,2003-09-30,Industrials,SP500-20,-0.0475370306579401,-0.0695688117796692,-0.08825213571697621,0.02192915983902005,27.65,0.3030821917808219,1.3527,15.8921,0.4402,1610391300,17.0411,0.7375,7.5111,1.7351,0.8376,2.0248,0.0747,-0.8396002884516328,0.085,0.0336,0.0448,0.1018
SNA,2003-12-31,Industrials,SP500-20,0.1660036166365281,0.0495843704213734,0.02192915983902005,0.017436652293881593,32.24,0.2962328767123288,0.5291,17.3099,0.4727,1875529760,23.8313,0.8398,11.9995,1.8553,0.9324,1.9952,0.0603,0.0704782205108811,0.0869,0.0288,0.037,0.0811
SNA,2004-03-31,Industrials,SP500-20,0.0031017369727047,-0.009749831869857,0.017436652293881593,-0.0422892703854853,32.34,0.2163543441226575,0.4684,16.9574,0.4583,1882576080,26.8939,0.8162,11.0221,1.8912,0.9013,1.9766,0.0523,0.3143681715110286,0.0744,0.0206,0.0324,0.0697
SNA,2004-06-30,Industrials,SP500-20,0.0374149659863943,0.0244244887305956,-0.0422892703854853,-0.17364827574923358,33.55,0.3794871794871794,0.8478,16.7572,0.4567,1938854500,27.7375,0.8238,10.3682,1.9778,0.8987,1.99,0.0529,0.2405260425679183,0.0914,0.0362,0.0323,0.0707
SNA,2004-09-30,Industrials,SP500-20,-0.1785394932935916,-0.1555213570497908,-0.17364827574923358,0.15186901921564766,27.56,0.3917525773195876,0.7405,17.2182,0.4659,1590542720,21.2072,0.6636,10.5264,1.5872,0.7263,2.1188,0.0567,0.5770030496257278,0.0887,0.04,0.0349,0.0756
SNA,2004-12-31,Industrials,SP500-20,0.2467343976777939,0.1594009700830768,0.15186901921564766,-0.05438668979271715,34.36,0.4145077720207253,0.1001,19.183,0.485,1984358720,24.2883,0.8243,15.7488,1.7865,0.8464,1.7689,0.0588,0.2285635129519324,0.0834,0.0393,0.0367,0.0773
SNA,2005-03-31,Industrials,SP500-20,-0.0747962747380675,-0.0489446698557789,-0.05438668979271715,0.11692359705589903,31.79,0.307032590051458,0.2246,18.4596,0.4778,1836794410,21.1368,0.7686,16.4587,1.7067,0.7923,1.7801,0.061,0.3928763045397117,0.0816,0.0298,0.0382,0.0794
SNA,2005-06-30,Industrials,SP500-20,0.0789556464296948,0.0698585080960545,0.11692359705589903,0.03371277458004359,34.3,0.4562607204116638,0.4099,17.8027,0.4766,1982334200,21.7123,0.8307,23.0772,1.9099,0.8612,1.8437,0.0662,0.4914004914004914,0.0987,0.0437,0.0412,0.0863
SNA,2005-09-30,Industrials,SP500-20,0.0530612244897959,0.0216005008266515,0.03371277458004359,-0.004817766792685668,36.12,0.3583617747440273,1.0119,17.6587,0.4789,2092214880,23.3767,0.8774,20.4918,2.0218,0.8874,1.8945,0.0664,0.6404944409916442,0.0969,0.037,0.0412,0.0863
SNA,2005-12-30,Industrials,SP500-20,0.0398671096345516,0.0240143907114636,-0.004817766792685668,-0.050231582665155726,37.56,0.4691780821917808,1.6027,16.476,0.479,2176902480,23.4327,0.9602,11.4634,2.2624,0.9741,2.1199,0.0733,0.4606784223058076,0.1047,0.0556,0.0445,0.093
SNA,2006-03-31,Industrials,SP500-20,0.0149094781682639,-0.0224055324439093,-0.050231582665155726,0.06495566569954811,38.12,0.3739424703891709,0.3265,16.5296,0.4714,2214467040,22.806,0.9791,11.2925,2.2668,0.9854,2.038,0.0811,0.6833987468153963,0.0874,0.0372,0.0475,0.1001
SNA,2006-06-30,Industrials,SP500-20,0.0603357817418679,0.0793879213685026,0.06495566569954811,0.1080518479905365,40.42,0.198641765704584,0.7606,16.9932,0.4749,2346421420,28.5452,1.0314,10.813,2.3443,1.0343,2.0357,0.0679,0.8440853732063186,0.1137,0.0188,0.0393,0.0831
SNA,2006-09-29,Industrials,SP500-20,0.1021771400296881,0.0504923447708831,0.1080518479905365,0.01601214868367177,44.55,0.4795918367346938,1.1309,17.5408,0.4754,2634107850,29.4642,1.1441,11.7489,2.5539,1.1233,2.0196,0.0726,1.246469464035043,0.0965,0.0474,0.0418,0.0879
SNA,2006-12-29,Industrials,SP500-20,0.0693602693602694,0.0076392117946376,0.01601214868367177,0.003828627970733571,47.64,0.6386554621848739,0.5714,18.089,0.4054,2790655920,27.9065,1.1338,16.9541,2.5928,1.3134,1.6322,0.0696,-7.938133770357472,0.0544,0.0583,0.0414,0.0948
SNA,2007-03-30,Industrials,SP500-20,0.0096557514693535,0.0078508184965649,0.003828627970733571,-0.042312275380234736,48.1,0.6440677966101694,0.2644,18.5288,0.4078,2788549400,24.0599,1.0835,17.3309,2.5508,1.2555,1.6429,0.0706,-7.913892434539621,-0.0739,0.0538,0.0434,0.1068
SNA,2007-06-29,Industrials,SP500-20,0.05010395010395,-0.0079524320060469,-0.042312275380234736,-0.07274434644870184,50.51,0.7448979591836735,1.4098,19.3367,0.4273,2928216230,19.7852,1.0993,14.7146,2.5753,1.2605,1.7691,0.0892,-7.243026926327773,0.147,0.0615,0.0554,0.1327
SNA,2007-09-28,Industrials,SP500-20,-0.0192041179964363,-0.0347693721249317,-0.07274434644870184,0.024979539406152013,49.54,0.7037671232876712,0.8407,20.4212,0.4375,2851968260,17.725,1.0371,15.7046,2.3913,1.1859,1.8194,0.0952,-6.647674963956296,0.1306,0.0603,0.0597,0.1381
SNA,2007-12-31,Industrials,SP500-20,-0.0262414210738796,0.0120032258221003,0.024979539406152013,0.0988060327553126,48.24,0.9828473413379074,0.6466,21.9571,0.4629,2770374960,15.3738,0.975,14.9507,2.1641,1.119,1.8576,0.1024,-5.182050880217312,0.1336,0.0771,0.0656,0.1457
SNA,2008-03-31,Industrials,SP500-20,0.0541044776119402,0.1533036083651614,0.0988060327553126,0.12874706860511964,50.85,0.972508591065292,1.0292,23.8298,0.4765,2923671600,14.7065,1.0233,12.7337,2.108,1.1592,1.9308,0.1072,-4.495964936691248,0.1359,0.0784,0.07,0.149
SNA,2008-06-30,Industrials,SP500-20,0.022812192723697,0.0550946095590829,0.12874706860511964,0.10369206765559426,52.01,1.1514629948364887,1.0808,24.3597,0.4804,2986934300,13.4607,1.0259,14.2574,2.1104,1.1496,1.9455,0.1153,-3.874281734285217,0.1562,0.0873,0.0757,0.1583
SNA,2008-09-30,Industrials,SP500-20,0.0124975966160353,0.1012788580601271,0.10369206765559426,-0.005537814229195859,52.66,0.9381443298969072,0.1597,23.7147,0.4793,3024737740,12.8493,1.0265,17.824,2.1915,1.1563,1.9541,0.1227,-3.7918487438848167,0.1465,0.0762,0.0808,0.1684
SNA,2008-12-31,Industrials,SP500-20,-0.252183820736802,-0.0266016774397166,-0.005537814229195859,-0.1449187753457145,39.38,1.013840830449827,0.4325,20.8391,0.4444,2262814180,9.5598,0.8053,14.4128,1.8786,0.9433,2.0834,0.1302,-6.353874802039645,0.1273,0.0966,0.0846,0.1831
SNA,2009-03-31,Industrials,SP500-20,-0.3626206196038598,-0.2459530249370317,-0.1449187753457145,-0.035054022207697405,25.1,0.6020761245674741,0.0138,20.3062,0.4079,1445910600,6.7282,0.5434,14.7692,1.2319,0.6382,2.246,0.1146,-6.018470298232823,0.1264,0.0607,0.0769,0.1807
SNA,2009-06-30,Industrials,SP500-20,0.1450199203187249,-0.0071978757511638,-0.035054022207697405,-0.002935892443690885,28.74,0.6459412780656304,2.3488,22.2141,0.4277,1658671620,8.9464,0.6676,9.6941,1.2895,0.7192,2.3253,0.0895,-4.790948313204997,0.1232,0.0633,0.063,0.1507
SNA,2009-09-30,Industrials,SP500-20,0.20946416144746,0.0596143293618578,-0.002935892443690885,0.16803323890952912,34.76,0.4394463667820069,1.1349,23.019,0.3986,2006694800,12.8469,0.8515,8.8245,1.5082,0.9336,2.5812,0.0681,-6.029793868006236,0.1139,0.0432,0.0492,0.1193
SNA,2009-12-31,Industrials,SP500-20,0.215765247410817,0.1608781793144768,0.16803323890952912,-0.09897576691702953,42.26,0.6288659793814433,1.402,22.4329,0.3787,2440303700,18.184,1.0532,8.5926,1.8691,1.1407,2.2653,0.0554,-8.064767512338731,0.1219,0.0646,0.0395,0.1018
SNA,2010-03-31,Industrials,SP500-20,0.025556081400852,-0.0231660774319933,-0.09897576691702953,0.07187317294804266,43.34,0.6312178387650086,0.0823,22.0823,0.3893,2505485400,18.3956,1.0589,8.6996,1.9461,1.24,2.4396,0.0591,-8.85313959522574,0.1446,0.0592,0.0403,0.105
SNA,2010-06-30,Industrials,SP500-20,-0.0560682971850486,0.0625536694158941,0.07187317294804266,0.00037145294607207613,40.91,0.7770154373927959,0.8679,21.6861,0.3815,2376502810,16.492,0.9806,11.73,1.8796,1.1782,2.299,0.0651,-9.689969186276704,0.1502,0.0699,0.0435,0.1129
SNA,2010-09-30,Industrials,SP500-20,0.1368858469811782,0.02968790146615,0.00037145294607207613,0.10463019490530547,46.51,0.7962328767123288,0.0976,23.9195,0.4039,2704556500,16.3714,1.0866,18.9527,1.9361,1.2282,1.8077,0.0726,-9.097162510748063,0.1558,0.0711,0.0487,0.1241
SNA,2010-12-31,Industrials,SP500-20,0.2165125779402279,0.1144795701776596,0.10463019490530547,-0.02045482468367267,56.58,0.9863713798977852,0.6149,23.925,0.3765,3291937560,17.6511,1.2568,33.8676,2.344,1.4029,2.0037,0.0755,-9.616376198824378,0.1651,0.083,0.0518,0.1331
SNA,2011-03-31,Industrials,SP500-20,0.0615058324496289,0.0072852760010398,-0.02045482468367267,0.05238635701811615,60.06,0.9574105621805792,0.1618,25.649,0.392,3494771280,16.9731,1.2985,34.296,2.3211,1.4604,2.0611,0.0779,-9.127311473155975,0.1522,0.081,0.0544,0.1415
SNA,2011-06-30,Industrials,SP500-20,0.0402930402930402,0.0442075252407886,0.05238635701811615,-0.07424803145193126,62.48,1.326530612244898,-0.4404,26.92,0.4136,3635273840,15.2358,1.3121,143.121,2.2965,1.5061,2.2514,0.0873,-8.725916504820995,0.1611,0.1073,0.0622,0.1545
SNA,2011-09-30,Industrials,SP500-20,-0.2893725992317541,-0.1460936067702872,-0.07424803145193126,-0.01765675051541965,44.4,1.1550255536626917,0.494,26.8177,0.4336,2582970000,9.9383,0.9177,53.0383,1.6408,1.1956,2.6752,0.0973,-9.15513536742587,0.1622,0.0972,0.0697,0.1646
SNA,2011-12-30,Industrials,SP500-20,0.14009009009009,0.028566582692581,-0.01765675051541965,0.09631677801577014,50.62,1.2657580919931857,0.9948,26.3594,0.4212,2947349500,10.6672,1.0326,41.5119,1.9048,1.3067,2.6219,0.1079,-10.217260626878488,0.2659,0.1008,0.0756,0.177
SNA,2012-03-30,Industrials,SP500-20,0.2044646384828131,0.0844980369830838,0.09631677801577014,0.06758450786609659,60.97,1.2074829931972788,0.767,27.5493,0.4366,3542600880,12.1697,1.2234,33.2326,2.1869,1.501,2.7117,0.1127,-9.5587222910643,0.1909,0.0965,0.0788,0.1838
SNA,2012-06-29,Industrials,SP500-20,0.0209939314416926,0.0538735366066639,0.06758450786609659,0.12117246471855286,62.25,1.2993197278911566,1.2585,28.0595,0.4409,3620460000,12.5059,1.2454,17.5324,2.1943,1.5195,2.6082,0.1099,-9.23314993122421,0.2024,0.1035,0.0777,0.177
