ticker,date,sector,sectoralIndex,absoluteReturn,relativeToSPReturn,relativeToSectoralIndexReturn,nextPeriodRelativeToSectoralIndexReturn,closePrice,dilutedEarningsPerShare,freeCashFlowPerShare,bookValuePerShare,equityRatio,marketCap,priceToEarningsRatio,priceToSalesRatio,priceToFreeCashFlow,priceToBookRatio,enterpriseValueToSalesRatio,currentRatio,roic,netCurrentAssetValuePerShare,ebitdaMargin,netIncomeMargin,returnOnAssets,returnOnEquity
SSL,2003-09-30,Materials,SP500-15,,,,-0.22465004862672588,14.49,0.3098823051948052,-0.1819,8.4141,0.4773,8840349000,9.6233,0.9983,6.4357,1.7055,1.1092,1.126,0.1312,-3.831722668415014,0.1333,0.0831,0.0911,0.1885
SSL,2003-12-31,Materials,SP500-15,0.0,-0.1164192462151546,-0.22465004862672588,0.10837769348696367,14.49,0.3098823051948052,-0.1819,8.4141,0.4773,8840349000,9.9209,0.9279,7.5865,1.7055,1.0311,1.126,0.1237,-3.831722668415014,0.1333,0.0831,0.082,0.1719
SSL,2004-03-31,Materials,SP500-15,0.0855762594893029,0.0727246906467412,0.10837769348696367,-0.01968182541082661,15.73,0.3409868852459016,0.2888,8.5727,0.4948,9613546800,11.3846,1.1909,14.8639,1.8383,1.3371,1.1919,0.1126,-3.527657241966097,0.3404,0.2052,0.0788,0.1621
SSL,2004-06-30,Materials,SP500-15,0.0,-0.0129904772557986,-0.01968182541082661,0.3484553518913221,15.73,0.3409868852459016,0.2888,8.5727,0.4948,9613546800,12.0503,1.4525,74.943,1.8383,1.6309,1.1919,0.1024,-3.527657241966097,0.3404,0.2052,0.0754,0.1525
SSL,2004-09-30,Materials,SP500-15,0.3782581055308327,0.4012762417746335,0.3484553518913221,-0.07951190583044755,21.68,0.5621389558232932,-0.2568,10.6973,0.4742,13307184000,13.9076,1.8243,165.3384,1.9983,2.1386,1.2242,0.1001,-5.157569240795048,0.1937,0.1177,0.0777,0.1609
SSL,2004-12-31,Materials,SP500-15,0.0,-0.087333427594717,-0.07951190583044755,0.23147010456139477,21.68,0.5621389558232932,-0.2568,10.6973,0.4742,13307184000,11.9254,1.6696,407.0595,1.9983,1.9572,1.2242,0.0985,-5.157569240795048,0.1937,0.1177,0.0794,0.1675
SSL,2005-03-31,Materials,SP500-15,0.2444649446494465,0.2703165495317351,0.23147010456139477,0.09939094789378047,26.98,0.6480221609137846,0.0753,9.8072,0.512,16640346680,12.6867,1.7387,-172.3557,2.7231,1.8944,1.4346,0.1302,-3.606985469367637,0.2215,0.1545,0.1009,0.2054
SSL,2005-06-30,Materials,SP500-15,0.0,-0.0090971383336402,0.09939094789378047,0.3084702951392685,26.98,0.6480221609137846,0.0753,9.8072,0.512,16640346680,11.039,1.4897,-73.7002,2.7231,1.6231,1.4346,0.1709,-3.606985469367637,0.2215,0.1545,0.1263,0.2466
SSL,2005-09-30,Materials,SP500-15,0.3209785025945144,0.28951777893137,0.3084702951392685,-0.10604092220163826,35.64,0.9140237529691212,0.2298,12.2433,0.5225,22043340000,12.7074,2.0711,278.1143,2.851,2.2313,1.6058,0.18,-4.420163298302344,0.351,0.2361,0.1298,0.2506
SSL,2005-12-30,Materials,SP500-15,0.0,-0.0158527189230879,-0.10604092220163826,0.01609040148157824,35.64,0.9140237529691212,0.2298,12.2433,0.5225,22043340000,11.2354,2.1791,57.3591,2.851,2.3476,1.6058,0.1877,-4.420163298302344,0.351,0.2361,0.1326,0.2537
SSL,2006-03-31,Materials,SP500-15,0.0841750841750841,0.0468600735629108,0.01609040148157824,0.010357286690169078,38.64,0.3513737459761604,-0.109,12.0784,0.5136,24067580880,13.5262,2.1512,89.5651,3.166,2.3018,1.6862,0.1718,-3.2526976063910915,0.1229,0.06,0.1202,0.232
SSL,2006-06-30,Materials,SP500-15,0.0,0.0190521396266347,0.010357286690169078,-0.03375649296399642,38.64,0.3513737459761604,-0.109,12.0784,0.5136,24067580880,15.0732,1.9631,157.1729,3.166,2.1005,1.6862,0.1555,-3.2526976063910915,0.1229,0.06,0.1078,0.21
SSL,2006-09-29,Materials,SP500-15,-0.0450310559006211,-0.0967158511594261,-0.03375649296399642,-0.10738392443325724,36.9,0.8936140489344909,0.1295,13.3099,0.5352,23069880000,14.5496,1.7405,256.2366,2.736,1.836,1.9078,0.1475,-2.689377799104286,0.2512,0.1646,0.1037,0.1977
SSL,2006-12-29,Materials,SP500-15,0.0,-0.0617210575656318,-0.10738392443325724,-0.06646636109783442,36.9,0.8936140489344909,0.1295,13.3099,0.5352,23069880000,14.6521,1.6191,856.3747,2.736,1.7079,1.9078,0.1402,-2.689377799104286,0.2512,0.1646,0.0999,0.1867
SSL,2007-03-30,Materials,SP500-15,0.0173441734417344,0.0155392404689458,-0.06646636109783442,-0.0655702737395863,37.54,1.0207449466838756,0.2915,14.0261,0.5313,23003648580,11.4504,1.6237,81.3349,2.5534,1.6975,1.6082,0.1723,-4.045729523138108,0.2702,0.1819,0.1228,0.2303
SSL,2007-06-29,Materials,SP500-15,0.0,-0.0580563821099969,-0.0655702737395863,0.27425183423745686,37.54,1.0207449466838756,0.2915,14.0261,0.5313,23003648580,9.4143,1.6332,42.7011,2.5534,1.7073,1.6082,0.2021,-4.045729523138108,0.2702,0.1819,0.1441,0.2712
SSL,2007-09-28,Materials,SP500-15,0.3177943526904635,0.3022290985619681,0.27425183423745686,0.00440627587077824,49.47,1.0858133116883115,0.0944,14.7126,0.5034,29360445000,11.531,1.9966,57.0284,3.2395,2.081,1.3785,0.2052,-5.260353833192923,0.2523,0.1647,0.1456,0.2817
SSL,2007-12-31,Materials,SP500-15,0.0,0.03824464689598,0.00440627587077824,0.2269125285614112,49.47,1.0858133116883115,0.0944,14.7126,0.5034,29360445000,11.0837,1.9159,59.8016,3.2395,1.9969,1.3785,0.2082,-5.260353833192923,0.2523,0.1647,0.1471,0.2922
SSL,2008-03-31,Materials,SP500-15,0.1914291489791793,0.2906282797324004,0.2269125285614112,-0.03878382176233842,58.94,1.3716193601312552,0.6532,16.3299,0.5637,35096589220,12.4044,2.1386,50.0065,3.5261,2.1949,1.993,0.2217,-1.3317788006979443,0.1519,0.1782,0.1587,0.2975
SSL,2008-06-30,Materials,SP500-15,0.0,0.0322824168353858,-0.03878382176233842,-0.2561702274359694,58.94,1.3716193601312552,0.6532,16.3299,0.5637,35096589220,11.661,2.0059,38.4529,3.5261,2.0587,1.993,0.235,-1.3317788006979443,0.1519,0.1782,0.1704,0.3023
SSL,2008-09-30,Materials,SP500-15,-0.4854088903970139,-0.3966276289529221,-0.2561702274359694,0.3143127986303742,30.33,1.0854898125509371,1.6031,14.9689,0.5612,18060392790,6.0064,1.0246,9.826,1.9666,0.9989,2.3552,0.245,-0.4252254128300163,0.1642,0.159,0.1767,0.3142
SSL,2008-12-31,Materials,SP500-15,0.0,0.2255821432970853,0.3143127986303742,0.17623789511651033,30.33,1.0854898125509371,1.6031,14.9689,0.5612,18060392790,6.0123,1.0171,6.5357,1.9666,0.9916,2.3552,0.2559,-0.4252254128300163,0.1642,0.159,0.1835,0.327
SSL,2009-03-31,Materials,SP500-15,0.1480382459610947,0.2647058406279228,0.17623789511651033,-0.15533608533966067,34.82,0.0437923452768729,1.1475,17.4797,0.591,20682801440,9.4236,1.2556,6.7376,1.9271,1.2111,2.02,0.1751,-1.390921089846328,0.2013,0.0078,0.1271,0.2204
SSL,2009-06-30,Materials,SP500-15,0.0,-0.1522177960698888,-0.15533608533966067,-0.06295291302263081,34.82,0.0437923452768729,1.1475,17.4797,0.591,20682801440,14.9261,1.3617,6.1261,1.9271,1.3135,2.02,0.1039,-1.390921089846328,0.2013,0.0078,0.0763,0.1291
SSL,2009-09-30,Materials,SP500-15,0.1470419299253302,-0.0028079021602719,-0.06295291302263081,-0.0689599802905944,39.94,0.6842103122966818,0.2778,19.2737,0.5972,23795612960,20.8664,1.5992,9.2825,2.0081,1.5838,2.0673,0.0813,-1.719544331502692,0.1326,0.1084,0.06,0.1009
SSL,2009-12-31,Materials,SP500-15,0.0,-0.0548870680963402,-0.0689599802905944,-0.14099824538338626,39.94,0.6842103122966818,0.2778,19.2737,0.5972,23795612960,26.5848,1.6331,13.5914,2.0081,1.6173,2.0673,0.0608,-1.719544331502692,0.1326,0.1084,0.0451,0.0755
SSL,2010-03-31,Materials,SP500-15,-0.116925388082123,-0.1656475469149683,-0.14099824538338626,0.1571693342329621,35.27,1.0248547549496916,1.3785,20.6675,0.6214,21013301680,14.0115,1.3673,11.085,1.6499,1.3597,2.3491,0.1005,-1.2131896794811543,0.2529,0.1502,0.0743,0.122
SSL,2010-06-30,Materials,SP500-15,0.0,0.1186219666009427,0.1571693342329621,0.30325467265619577,35.27,1.0248547549496916,1.3785,20.6675,0.6214,21013301680,9.9857,1.2999,10.298,1.6499,1.2926,2.3491,0.139,-1.2131896794811543,0.2529,0.1502,0.1026,0.1652
SSL,2010-09-30,Materials,SP500-15,0.4757584349305356,0.3685604894155074,0.30325467265619577,-0.18495619729347243,52.05,0.90650390625,0.9639,23.4767,0.6205,31010557200,13.84,1.8017,12.5958,2.1499,1.8103,2.3852,0.1389,-1.8148036872423563,0.1249,0.113,0.1024,0.1649
SSL,2010-12-31,Materials,SP500-15,0.0,-0.1020330077625683,-0.18495619729347243,-0.024552794441086122,52.05,0.90650390625,0.9639,23.4767,0.6205,31010557200,13.0464,1.6984,10.7547,2.1499,1.7064,2.3852,0.1388,-1.8148036872423563,0.1249,0.113,0.1022,0.1647
SSL,2011-03-31,Materials,SP500-15,0.0161383285302594,-0.0380822279183296,-0.024552794441086122,0.01375524513223775,52.89,1.4617751383013342,2.1259,26.3414,0.6191,31685711430,11.9847,1.6168,9.485,1.9571,1.614,2.1918,0.1465,-1.9196410538035376,0.302,0.1621,0.107,0.1727
SSL,2011-06-30,Materials,SP500-15,0.0,0.0039144849477484,0.01375524513223775,0.14578283964916047,52.89,1.4617751383013342,2.1259,26.3414,0.6191,31685711430,10.8858,1.5135,8.3432,1.9571,1.5108,2.1918,0.1534,-1.9196410538035376,0.302,0.1621,0.1113,0.1797
SSL,2011-09-30,Materials,SP500-15,-0.1038003403289847,0.0394786521324821,0.14578283964916047,-0.14716880635592425,47.4,1.378679674796748,1.161,24.4683,0.6294,30732880200,9.599,1.457,7.8409,2.0423,1.4834,2.133,0.1754,-1.7815208221193666,0.2291,0.1667,0.1279,0.2049
SSL,2011-12-30,Materials,SP500-15,0.0,-0.1115235073975089,-0.14716880635592425,-0.2117469223825401,47.4,1.378679674796748,1.161,24.4683,0.6294,30732880200,8.7994,1.4462,7.6046,2.0423,1.4724,2.133,0.1992,-1.7815208221193666,0.2291,0.1667,0.146,0.232
SSL,2012-03-30,Materials,SP500-15,-0.1044303797468353,-0.2243969812465647,-0.2117469223825401,0.052723566683962955,42.45,0.9570970680801724,1.4861,25.2845,0.6475,27523433850,8.677,1.3604,7.5782,1.8031,1.3523,2.2306,0.1829,-1.558735480965432,0.176,0.1277,0.1336,0.2092
SSL,2012-06-29,Materials,SP500-15,0.0,0.0328796051649713,0.052723566683962955,-0.02744932619082799,42.45,0.9570970680801724,1.4861,25.2845,0.6475,27523433850,9.6526,1.4326,8.541,1.8031,1.424,2.2306,0.1663,-1.558735480965432,0.176,0.1277,0.1209,0.1868
SSL,2012-09-28,Materials,SP500-15,0.0197879858657242,-0.0378484208674279,-0.02744932619082799,-0.016081895134273008,43.29,1.162658540602866,0.8426,25.96,0.6015,27750231990,10.2424,1.4788,9.1888,1.7607,1.4674,2.3057,0.1467,-1.933227878214938,0.2286,0.1522,0.1088,0.1746
SSL,2012-12-31,Materials,SP500-15,0.0,0.0100509499728392,-0.016081895134273008,-0.0454118725718322,43.29,1.162658540602866,0.8426,25.96,0.6015,27750231990,10.8091,1.5149,9.8491,1.7607,1.5032,2.3057,0.1297,-1.933227878214938,0.2286,0.1522,0.0979,0.1628
SSL,2013-03-29,Materials,SP500-15,0.0004620004620005,-0.0998051489886535,-0.0454118725718322,0.01893660551646531,43.31,1.1637971970321517,2.2655,25.2088,0.621,27871674090,10.3406,1.5233,8.4603,1.8229,1.4936,2.4593,0.1427,-1.1203563420398763,0.2254,0.1567,0.106,0.1736
SSL,2013-06-28,Materials,SP500-15,0.0,-0.0236364552893999,0.01893660551646531,0.04876360288572104,43.31,1.1637971970321517,2.2655,25.2088,0.621,27871674090,9.8717,1.525,7.3906,1.8229,1.4952,2.4593,0.1569,-1.1203563420398763,0.2254,0.1567,0.1146,0.1846
SSL,2013-09-30,Materials,SP500-15,0.1417686446548141,0.0949088081640384,0.04876360288572104,-0.10048678880606846,49.45,1.0056210008203446,1.2607,25.5913,0.6295,31877843600,11.6748,1.7344,7.9138,2.0437,1.7041,2.5688,0.1504,-1.3031313212792095,0.2447,0.1293,0.1105,0.1768
