ticker,date,sector,sectoralIndex,absoluteReturn,relativeToSPReturn,relativeToSectoralIndexReturn,nextPeriodRelativeToSectoralIndexReturn,closePrice,dilutedEarningsPerShare,freeCashFlowPerShare,bookValuePerShare,equityRatio,marketCap,priceToEarningsRatio,priceToSalesRatio,priceToFreeCashFlow,priceToBookRatio,enterpriseValueToSalesRatio,currentRatio,roic,netCurrentAssetValuePerShare,ebitdaMargin,netIncomeMargin,returnOnAssets,returnOnEquity
SUM,2012-12-31,Materials,SP500-15,,,,,0.0,0.0,0.0,15.8806,0.3002,0,0.0,0.0,0.0,0.0,0.0,1.862,0.0,-26.89381150409684,0.0,0.0,0.0,0.0
SUM,2013-09-30,Materials,SP500-15,,,,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SUM,2013-12-31,Materials,SP500-15,,,,,0.0,-2.9838596780170463,0.0,11.8094,0.2292,0,0.0,0.0,0.0,0.0,2.6885,1.3255,-0.5933,-29.906657882817967,0.0439,-0.3041,-0.4634,-2.0213
SUM,2014-03-31,Materials,SP500-15,,,,,0.0,-2.081483921439453,-2.8045,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2518,0.0,-0.0941,-0.3345,-0.1966,-0.8578
SUM,2014-06-30,Materials,SP500-15,,,,,0.0,0.5045909334211718,-0.8663,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1754,0.0377,0.0,0.0
SUM,2014-09-30,Materials,SP500-15,,,,,0.0,1.1065178902293409,0.9737,12.1085,0.168,0,0.0,0.0,0.0,0.0,0.9499,1.4702,-0.121,-46.626948868399,0.1835,0.068,-0.0958,-0.5705
SUM,2014-12-31,Materials,SP500-15,,,,inf,0.0,0.4787929589270746,3.4344,12.0277,0.1675,0,0.0,0.0,0.0,0.0,0.8557,1.3721,0.0,-47.50297569153395,0.1505,0.0341,0.0,0.0
SUM,2015-03-31,Materials,SP500-15,inf,inf,inf,0.16075088232081677,21.59,-0.3620831103977171,-2.7206,22.4102,0.3112,588975200,14.5778,0.4722,71.1065,0.9374,1.0675,3.0779,0.0251,-29.41506598240469,-0.1631,-0.0523,0.0216,0.0882
SUM,2015-06-30,Materials,SP500-15,0.1509958314034276,0.1533072625745964,0.16075088232081677,-0.09061807243132519,24.85,-0.0072025859040123,-1.4507,21.7443,0.3408,677908000,24.2612,0.5264,-56.6481,1.0953,1.1036,1.2327,0.016,-31.04783724340176,0.1974,-0.0005,0.0145,0.0448
SUM,2015-09-30,Materials,SP500-15,-0.2639839034205232,-0.1946322592158436,-0.09061807243132519,-0.02283719335835982,18.29,0.3680970849493307,0.9644,18.0706,0.3099,919840680,58.2952,0.6739,314.1532,1.2736,1.5011,1.3805,0.0085,-23.64489382009067,0.2479,0.0311,0.0076,0.0235
