ticker,date,sector,sectoralIndex,absoluteReturn,relativeToSPReturn,relativeToSectoralIndexReturn,nextPeriodRelativeToSectoralIndexReturn,closePrice,dilutedEarningsPerShare,freeCashFlowPerShare,bookValuePerShare,equityRatio,marketCap,priceToEarningsRatio,priceToSalesRatio,priceToFreeCashFlow,priceToBookRatio,enterpriseValueToSalesRatio,currentRatio,roic,netCurrentAssetValuePerShare,ebitdaMargin,netIncomeMargin,returnOnAssets,returnOnEquity
SWN,2003-03-31,Energy,GSPE,,,,0.07544327217295328,1.65,0.0588194713922304,0.0353,1.3155,0.4016,469027350,22.0843,1.6841,-74.8288,1.5372,2.4784,0.9447,0.039,-1.3242887648236292,0.4133,0.1382,0.0283,0.0858
SWN,2003-06-30,Energy,GSPE,0.1393939393939394,-0.0095367220399773,0.07544327217295328,0.20318653471399287,1.88,0.0329959612333825,-0.0636,1.0751,0.3935,535049880,18.4538,1.8514,-20.4764,1.7238,2.702,0.8445,0.052,-1.451077122005896,0.519,0.1432,0.0374,0.0942
SWN,2003-09-30,Energy,GSPE,0.2074468085106383,0.1854150273889092,0.20318653471399287,0.17156341059676633,2.27,0.0377413479052823,-0.0579,1.1606,0.3989,646534590,16.7504,2.0926,-15.4171,1.9326,2.8164,0.6888,0.0653,-1.4888682908674693,0.537,0.153,0.0474,0.1196
SWN,2003-12-31,Energy,GSPE,0.3171806167400882,0.2007613705249335,0.17156341059676633,-0.03262009975272197,2.99,0.0512750574863448,-0.1111,1.2211,0.397,859149590,17.5705,2.6241,-14.5438,2.4291,3.4718,1.0551,0.0779,-1.519838797804699,0.4679,0.1628,0.0565,0.142
SWN,2004-03-31,Energy,GSPE,0.0133779264214045,0.0005263575788427,-0.03262009975272197,0.11829577673911293,3.03,0.0835458508724314,0.0894,1.2772,0.4106,874030770,14.6337,2.5077,-21.2726,2.3361,3.2362,0.7932,0.0928,-1.5825160594746568,0.4991,0.2042,0.0663,0.1641
SWN,2004-06-30,Energy,GSPE,0.1881188118811882,0.1751283346253895,0.11829577673911293,0.3541550217162862,3.6,0.0705697856769472,-0.1016,1.3321,0.401,1041620400,14.6725,2.7521,-19.7748,2.6541,3.4837,0.8492,0.1071,-1.709499929148853,0.582,0.2156,0.0751,0.1852
SWN,2004-09-30,Energy,GSPE,0.4583333333333333,0.4813514695771341,0.3541550217162862,0.1654453983647916,5.25,0.0855989296342355,-0.0818,1.3803,0.3854,1522132500,17.8002,3.6344,-25.2623,3.7162,4.3371,0.7589,0.1221,-1.8853378401683163,1.1882,0.228,0.0837,0.2132
SWN,2004-12-31,Energy,GSPE,0.2076190476190476,0.1202856200243305,0.1654453983647916,-0.05086379840935305,6.34,0.1102462159908092,-0.0842,1.5391,0.4009,1846410880,17.8266,3.8697,-34.7043,4.0179,4.5483,0.9796,0.1368,-1.9078363641358087,-0.8247,0.2201,0.0937,0.2383
SWN,2005-03-31,Energy,GSPE,0.1198738170347002,0.1457254219169888,-0.05086379840935305,0.6396592285370043,7.1,0.1088640375906477,0.0782,1.5179,0.3789,2071212000,18.5384,3.9953,-37.0156,4.5535,4.5685,0.6721,0.1431,-2.13100918689154,0.4771,0.2025,0.0952,0.2443
SWN,2005-06-30,Energy,GSPE,0.6549295774647889,0.6458324391311486,0.6396592285370043,0.38421653337585393,11.75,0.0891399164915826,-0.1163,1.6622,0.3938,3453853750,29.3323,6.2294,-56.627,6.9075,6.8199,0.6691,0.1467,-2.2453622276276173,0.5422,0.2024,0.0953,0.2466
