ticker,date,sector,sectoralIndex,absoluteReturn,relativeToSPReturn,relativeToSectoralIndexReturn,nextPeriodRelativeToSectoralIndexReturn,closePrice,dilutedEarningsPerShare,freeCashFlowPerShare,bookValuePerShare,equityRatio,marketCap,priceToEarningsRatio,priceToSalesRatio,priceToFreeCashFlow,priceToBookRatio,enterpriseValueToSalesRatio,currentRatio,roic,netCurrentAssetValuePerShare,ebitdaMargin,netIncomeMargin,returnOnAssets,returnOnEquity
TGLS,2013-05-31,Materials,SP500-15,,,,0.01397404006439016,9.98,0.1206349206349206,-0.0552,20.306,0.7465,52395000,53.7384,0.0,-116.6926,1.6382,0.0,0.4275,0.0305,-2.0561904761904763,0.0,0.0,0.0227,0.0305
TGLS,2013-08-30,Materials,SP500-15,0.0100200400801602,0.0086525747073208,0.01397404006439016,-0.08716863766968048,10.08,-0.3409523809523809,-0.0279,19.965,0.7346,52920000,201.2167,0.0,-215.1219,1.6829,0.0,0.2941,0.0082,-2.1512380952380954,0.0,0.0,0.0061,0.0082
TGLS,2013-11-29,Materials,SP500-15,0.0089285714285714,-0.0969154373355355,-0.08716863766968048,-0.03245017891049527,10.17,-2.191746031746032,-0.1003,17.7733,0.6547,53392500,-12.8905,0.0,-136.9038,1.9073,0.0,0.0285,-0.1389,-2.808952380952381,0.0,0.0,-0.0968,-0.1393
TGLS,2014-03-31,Materials,SP500-15,0.0373647984267454,0.0005226582969181,-0.03245017891049527,0.09444553000176725,10.55,-0.1930946291560102,0.4105,2.5271,0.2352,256470500,-30.2441,5.3608,26.5387,4.1863,5.8693,1.4332,-0.0982,-0.9844097079391196,0.205,-0.0978,-0.0559,-0.19
TGLS,2014-06-30,Materials,SP500-15,0.1450236966824644,0.098082427333481,0.09444553000176725,-0.09076741111511007,12.08,-0.2157787544216957,-1.4335,2.3123,0.2237,293906400,-19.9813,2.9456,-9.6772,4.5414,3.2268,1.4392,-0.0949,-1.1485408960131525,0.2202,-0.1162,-0.0535,-0.2335
TGLS,2014-09-30,Materials,SP500-15,-0.0935430463576159,-0.0996954155764899,-0.09076741111511007,-0.04973655824122932,10.95,0.4581485490798617,-0.3108,2.44,0.2601,267212850,-254.0046,1.7438,-6.8117,3.824,1.9262,1.3596,-0.0062,-1.6114002376756955,0.1955,0.2454,-0.0037,-0.0156
TGLS,2014-12-31,Materials,SP500-15,-0.0730593607305935,-0.1169727109812588,-0.04973655824122932,-0.0877729664186675,10.15,0.4410125323960663,0.3341,1.6401,0.1844,251730150,16.9835,1.2748,-8.4877,5.449,1.3869,1.2073,0.0948,-2.7500100802387,0.092,0.2809,0.0571,0.2553
TGLS,2015-03-31,Materials,SP500-15,-0.0837438423645319,-0.0881102470761652,-0.0877729664186675,0.3678195670464214,9.3,0.4219250195632069,0.0202,2.8445,0.2942,230649300,7.3537,1.1437,-5.9078,2.8841,1.2425,1.1603,0.1975,-1.5076408209346397,0.2018,0.2279,0.12,0.4971
TGLS,2015-06-30,Materials,SP500-15,0.3580645161290322,0.360375947300201,0.3678195670464214,0.25966828546267384,12.63,-0.8350896727243806,-0.3384,2.7126,0.2242,319551630,19.4801,1.5379,-43.0082,4.6844,1.7335,1.2266,0.091,-2.6664163471799536,0.2076,-0.3617,0.0569,0.2213
TGLS,2015-09-30,Materials,SP500-15,0.0863024544734758,0.1556540986781553,0.25966828546267384,-0.08917607758032962,13.72,-0.0762211909069456,-0.0017,2.4261,0.2092,354428760,263.32,1.6317,248.5475,5.7455,1.7801,1.1341,0.0074,-2.848217396353501,0.221,-0.0308,0.0044,0.0207
TGLS,2015-12-31,Materials,SP500-15,0.0014577259475218,-0.0630776772590371,-0.08917607758032962,-0.1091871041629047,13.74,0.0013677551718242,-0.1075,0.9235,0.1176,369551040,-33.5345,1.5255,-29.8265,9.7731,1.9274,1.2782,-0.062,-4.18021267102915,0.2468,0.0008,-0.0357,-0.2215
