ticker,date,sector,sectoralIndex,absoluteReturn,relativeToSPReturn,relativeToSectoralIndexReturn,nextPeriodRelativeToSectoralIndexReturn,closePrice,dilutedEarningsPerShare,freeCashFlowPerShare,bookValuePerShare,equityRatio,marketCap,priceToEarningsRatio,priceToSalesRatio,priceToFreeCashFlow,priceToBookRatio,enterpriseValueToSalesRatio,currentRatio,roic,netCurrentAssetValuePerShare,ebitdaMargin,netIncomeMargin,returnOnAssets,returnOnEquity
TRP,2003-03-31,Energy,GSPE,,,,0.1280439053706014,14.74,0.3139178252749533,0.0,0.0,0.0,7083041680,13.1787,2.0297,0.0,0.0,2.0297,0.0,0.0932,0.0,1.0,0.1672,0.0841,0.2461
TRP,2003-06-30,Energy,GSPE,0.1919945725915875,0.0430639111576708,0.1280439053706014,0.05322407452435609,17.57,0.310234002899151,0.0,9.0236,0.2943,8464786750,15.5088,2.3856,0.0,1.9425,4.4567,0.6602,0.0863,-19.629752477816407,0.5643,0.1544,0.0737,0.2505
TRP,2003-09-30,Energy,GSPE,0.0574843483210015,0.0354525671992725,0.05322407452435609,0.012079241650004485,18.58,0.3762902559867878,0.0,9.1209,0.2963,8962118740,14.7347,2.388,0.0,2.0284,4.2741,0.5212,0.0481,-19.90484354818981,0.5659,0.1786,0.0409,0.1386
TRP,2003-12-31,Energy,GSPE,0.1576964477933263,0.0412772015781716,0.012079241650004485,-0.046462926220616596,21.51,0.3000060991725456,0.0,9.5595,0.2981,10393632000,16.4735,2.5279,0.0,2.2104,4.3598,0.5357,0.0487,-21.01770488410596,0.9598,0.1212,0.0411,0.1383
TRP,2004-03-31,Energy,GSPE,-0.00046490004649,-0.0133164688890518,-0.046462926220616596,-0.14982303514207523,21.5,0.3310450524583419,0.2619,9.7038,0.3009,10404366000,16.2423,2.5013,81.697,2.2057,4.3471,0.677,0.0483,-20.739382630330383,0.5782,0.1689,0.0407,0.136
TRP,2004-06-30,Energy,GSPE,-0.0799999999999999,-0.0929904772557986,-0.14982303514207523,0.0004728511736505625,19.78,0.5876428277846281,1.1514,9.8667,0.3092,9576862820,12.33,2.2915,13.9272,1.9946,3.9947,1.0231,0.0586,-19.27851018962387,0.5233,0.2889,0.0497,0.1632
TRP,2004-09-30,Energy,GSPE,0.1046511627906976,0.1276692990344984,0.0004728511736505625,0.09604145372057235,21.85,0.3897227356746765,0.6727,10.5426,0.3168,10587373800,13.501,2.5369,10.4288,2.0625,4.2078,0.911,0.0581,-19.73415017707224,0.5462,0.187,0.0494,0.1578
TRP,2004-12-31,Energy,GSPE,0.1382151029748283,0.0508816753801112,0.09604145372057235,-0.1775731602771857,24.87,0.3117469447031264,0.4368,11.5703,0.3066,12059811180,15.2925,2.8857,9.8193,2.1379,4.9207,0.3999,0.0535,-24.438133359729765,1.0311,0.1243,0.0455,0.1463
TRP,2005-03-31,Energy,GSPE,-0.0068355448331323,0.0190160600491561,-0.1775731602771857,0.05598471180096042,24.7,0.3913178930108629,0.5523,11.3727,0.3008,11993109700,14.6506,2.7344,8.7522,2.1614,4.5825,0.5062,0.0523,-24.06173604832448,0.5128,0.1646,0.0444,0.1463
TRP,2005-06-30,Energy,GSPE,0.071255060728745,0.0621579223951047,0.05598471180096042,-0.022912653996494697,26.46,0.3305921288564197,0.3083,11.2644,0.301,12871863900,18.5477,2.8195,13.4015,2.3416,4.6922,0.4302,0.0446,-24.342861254149835,0.5377,0.138,0.0378,0.1256
TRP,2005-09-30,Energy,GSPE,0.1545729402872259,0.1231122166240815,-0.022912653996494697,0.10775148643014973,30.55,0.7387273141777738,1.5059,12.213,0.3189,14877055700,17.1563,3.087,10.8375,2.4795,4.878,0.6107,0.0557,-23.93722868161339,0.4927,0.2861,0.0467,0.1508
TRP,2005-12-30,Energy,GSPE,0.0304418985270049,0.0145891796039169,0.10775148643014973,-0.16699095236285527,31.48,0.6117921999870054,0.7593,13.285,0.3151,15338189280,15.0894,2.995,10.0003,2.3442,4.7375,0.5033,0.0619,-26.41180044167508,0.7084,0.1976,0.0513,0.162
