ticker,date,sector,sectoralIndex,absoluteReturn,relativeToSPReturn,relativeToSectoralIndexReturn,nextPeriodRelativeToSectoralIndexReturn,closePrice,dilutedEarningsPerShare,freeCashFlowPerShare,bookValuePerShare,equityRatio,marketCap,priceToEarningsRatio,priceToSalesRatio,priceToFreeCashFlow,priceToBookRatio,enterpriseValueToSalesRatio,currentRatio,roic,netCurrentAssetValuePerShare,ebitdaMargin,netIncomeMargin,returnOnAssets,returnOnEquity
TRQ,2003-03-31,Materials,SP500-15,,,,0.08683928763467258,13.88,-0.2584462041764759,-0.5867,5.8966,0.7179,427032080,-10.9128,4.9715,-6.9828,2.2141,4.6047,1.6227,-0.1964,-0.0826886823116427,-0.55,-0.4113,-0.1448,-0.2049
TRQ,2003-06-30,Materials,SP500-15,0.2168587896253602,0.0679281281914434,0.08683928763467258,-0.060891429187665526,16.89,-0.5327931053173613,-0.5468,6.0396,0.7374,519637740,-9.2457,6.1782,-7.3875,2.3317,5.3509,2.2318,-0.2593,0.8413833452512514,-0.9106,-0.854,-0.1969,-0.2703
TRQ,2003-09-30,Materials,SP500-15,-0.0041444641799881,-0.0261762453017172,-0.060891429187665526,1.9346840774137024,16.82,-0.7092230926065028,-0.8836,5.308,0.7303,669503280,-8.0528,7.8315,-7.6846,3.3836,7.516,1.7142,-0.3781,-0.1124510099487488,-0.9202,-1.2803,-0.2901,-0.3952
TRQ,2003-12-31,Materials,SP500-15,2.159334126040428,2.0429148798252736,1.9346840774137024,-0.26869273235536906,53.14,-0.4730429102602753,-0.3091,8.5685,0.7484,2115184560,-28.8258,23.5809,-24.9995,6.2017,21.9508,2.8399,-0.2578,2.039594010652196,-0.9404,-0.7388,-0.2019,-0.2723
TRQ,2004-03-31,Materials,SP500-15,-0.2914941663530297,-0.3043457351955915,-0.26869273235536906,-0.05341356511866183,37.65,-0.7960141544207991,-1.0782,7.7785,0.7772,1498620600,-15.3992,19.0817,-13.7117,4.7343,17.8169,3.2657,-0.2809,1.4189779921615917,-2.0412,-3.4512,-0.2255,-0.2959
TRQ,2004-06-30,Materials,SP500-15,-0.0337317397078352,-0.0467222169636338,-0.05341356511866183,0.01610158940611869,36.38,-0.5327412350646483,-0.6771,7.2972,0.7498,1448069520,-14.572,21.8322,-12.4065,4.8686,20.6956,2.3466,-0.3013,0.6842025927042509,-2.0097,-2.009,-0.2472,-0.3237
TRQ,2004-09-30,Materials,SP500-15,0.0459043430456293,0.0689224792894301,0.01610158940611869,0.1819861230788824,38.05,-0.5866207687894435,-0.657,8.5858,0.7892,1671079900,-16.9656,30.1307,-14.866,4.4665,27.5597,4.2811,-0.27,2.4421421740516416,-2.8128,-2.6128,-0.2262,-0.2933
TRQ,2004-12-31,Materials,SP500-15,0.2614980289093299,0.1741646013146128,0.1819861230788824,0.02575515991194822,48.0,-0.3388702804930845,-1.0591,7.0764,0.8253,2108064000,-22.2978,47.8116,-14.381,6.7878,45.2606,5.6873,-0.2633,2.193838517236668,-3.6827,-1.0537,-0.2223,-0.2761
TRQ,2005-03-31,Materials,SP500-15,0.0387499999999999,0.0646016048822885,0.02575515991194822,0.1397038239467287,49.86,-0.2000566131200905,-0.7936,7.4489,0.859,2189751480,-31.0035,63.0961,-16.059,6.9343,60.2011,6.299,-0.2212,2.110615237488046,0.0,0.0,-0.1898,-0.2255
TRQ,2005-06-30,Materials,SP500-15,0.0403128760529482,0.0312157377193079,0.1397038239467287,0.06345092113546166,51.87,-0.5334929750577465,-0.6451,8.6167,0.8731,2278026660,-30.7467,95.3268,-16.365,5.6024,87.2904,8.0515,-0.2006,4.196821348877453,0.0,0.0,-0.1778,-0.2051
TRQ,2005-09-30,Materials,SP500-15,0.0759591285907076,0.0444984049275632,0.06345092113546166,-0.2459800012197354,55.81,-0.3334346362446231,-1.2728,9.1746,0.8924,2643775510,-42.1043,187.3158,-16.0208,6.7364,176.9883,11.075,-0.1541,3.3280065863080788,0.0,0.0,-0.1386,-0.1571
TRQ,2005-12-30,Materials,SP500-15,-0.1399390790180971,-0.1557917979411851,-0.2459800012197354,0.27108198397316075,48.0,-0.8874287288836135,-0.9909,7.7269,0.9187,2273808000,-25.3244,0.0,-13.7562,6.2372,0.0,7.197,-0.2321,2.448523358172721,0.0,0.0,-0.2146,-0.2372
TRQ,2006-03-31,Materials,SP500-15,0.3391666666666666,0.3018516560544933,0.27108198397316075,-0.28133530820715513,64.28,-0.4885510668803238,-0.9789,7.5705,0.9332,3045007880,-29.1452,0.0,-17.0993,8.4806,0.0,8.06,-0.2823,1.862363049122881,0.0,0.0,-0.2673,-0.2887
