ticker,date,sector,sectoralIndex,absoluteReturn,relativeToSPReturn,relativeToSectoralIndexReturn,nextPeriodRelativeToSectoralIndexReturn,closePrice,dilutedEarningsPerShare,freeCashFlowPerShare,bookValuePerShare,equityRatio,marketCap,priceToEarningsRatio,priceToSalesRatio,priceToFreeCashFlow,priceToBookRatio,enterpriseValueToSalesRatio,currentRatio,roic,netCurrentAssetValuePerShare,ebitdaMargin,netIncomeMargin,returnOnAssets,returnOnEquity
TS,2003-03-31,Energy,GSPE,,,,0.09251191781302735,4.41,0.0784216421125183,0.209,3.2951,0.4662,2559343500,14.0586,0.8103,5.2735,1.3383,0.7873,1.4515,0.065,-0.5136469371930732,0.1854,0.0576,0.0444,0.0959
TS,2003-06-30,Energy,GSPE,0.1564625850340134,0.0075319236000967,0.09251191781302735,0.02711227522296237,5.1,0.154518824847075,-0.1778,3.3228,0.4715,2959785000,21.894,1.7846,163.4066,1.5348,1.84,1.3053,0.1253,-0.6828913586628759,0.1876,0.1032,0.0875,0.1867
TS,2003-09-30,Energy,GSPE,0.0313725490196078,0.0093407678978787,0.02711227522296237,0.1205424896741687,5.26,0.1058637029378823,0.1971,3.3599,0.4837,3052641000,15.5251,1.2624,23.0348,1.5654,1.2687,1.3321,0.0687,-0.6066235892134058,0.2062,0.0808,0.0484,0.1013
TS,2003-12-31,Energy,GSPE,0.2661596958174905,0.1497404496023358,0.1205424896741687,-0.06101304118914161,6.66,0.0230582953746909,-0.0228,3.305,0.455,3930359040,18.6885,1.236,33.0346,2.0039,1.2325,1.5322,0.0734,-0.5293436856089361,0.0286,0.0179,0.0504,0.1075
TS,2004-03-31,Energy,GSPE,-0.015015015015015,-0.0278665838575768,-0.06101304118914161,-0.07134742538597771,6.56,0.0819538247264421,-0.2082,3.4003,0.4547,3871344640,18.1613,1.1913,-30.9077,1.929,1.1834,1.5166,0.0715,-0.3812239046741134,0.1819,0.0562,0.0488,0.1074
TS,2004-06-30,Energy,GSPE,-0.0015243902439024,-0.014514867499701,-0.07134742538597771,0.28818810059669325,6.55,0.2156881015265921,-0.0572,3.3437,0.4289,3865443200,15.4122,1.1445,-69.2111,1.9584,1.1413,1.4918,0.0803,-0.4290139355818241,0.2023,0.1277,0.0556,0.126
TS,2004-09-30,Energy,GSPE,0.3923664122137403,0.4153845484575411,0.28818810059669325,0.03019477179837561,9.12,0.2398889319954122,0.0811,3.651,0.4292,5383244160,16.2653,1.485,-43.9947,2.4978,1.4952,1.4861,0.0987,-0.4908126478142132,0.2486,0.1405,0.0687,0.1603
TS,2004-12-31,Energy,GSPE,0.0723684210526316,-0.0149650065420854,0.03019477179837561,0.08693109621238856,9.78,0.7918809760989923,0.0607,4.5084,0.4699,5772821040,7.3566,1.5525,-79.1122,2.1692,1.5497,1.5061,0.2067,0.0186339086652164,0.474,0.5467,0.1469,0.3258
TS,2005-03-31,Energy,GSPE,0.2576687116564419,0.2835203165387304,0.08693109621238856,0.2570873746494512,12.3,0.4743083673573111,0.2317,5.0963,0.5076,7260296400,7.1438,1.6838,38.8768,2.4134,1.7,1.7762,0.242,0.5350298508474117,0.3149,0.1926,0.1754,0.3585
TS,2005-06-30,Energy,GSPE,0.2723577235772357,0.2632605852435955,0.2570873746494512,0.5841757475693145,15.65,0.5310383383875176,0.3051,5.3893,0.5134,9237694200,7.6824,1.8259,23.0545,2.9038,1.8717,1.914,0.2709,0.5986382456782343,0.3109,0.1797,0.1984,0.3885
TS,2005-09-30,Energy,GSPE,0.7616613418530351,0.7302006181898907,0.5841757475693145,-0.09207742696809208,27.57,0.5402570692345354,0.7217,5.995,0.546,16273688760,11.7947,2.8588,20.8957,4.5988,2.8465,2.0662,0.2941,1.105690974269315,0.3219,0.1944,0.2176,0.4106
TS,2005-12-30,Energy,GSPE,-0.1693870148712369,-0.1852397337943249,-0.09207742696809208,0.49174211722315786,22.9,0.6453940959722163,0.4707,6.3968,0.563,13517137200,10.4518,2.1767,13.2411,3.5798,2.1527,2.2207,0.262,1.4283833783976092,0.4605,0.2776,0.1961,0.3536
