ticker,date,sector,sectoralIndex,absoluteReturn,relativeToSPReturn,relativeToSectoralIndexReturn,nextPeriodRelativeToSectoralIndexReturn,closePrice,dilutedEarningsPerShare,freeCashFlowPerShare,bookValuePerShare,equityRatio,marketCap,priceToEarningsRatio,priceToSalesRatio,priceToFreeCashFlow,priceToBookRatio,enterpriseValueToSalesRatio,currentRatio,roic,netCurrentAssetValuePerShare,ebitdaMargin,netIncomeMargin,returnOnAssets,returnOnEquity
TX,2005-03-31,Materials,SP500-15,,,,,0.0,2.050004292213924,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.03,0.0,1.0,0.2612,0.8735,0.0
TX,2005-06-30,Materials,SP500-15,,,,,0.0,1.19757215939227,0.0,30.4408,0.6689,0,0.0,0.0,0.0,0.0,-0.0817,2.2102,0.183,-0.3192464968261844,0.4201,0.132,0.2105,0.3147
TX,2005-09-30,Materials,SP500-15,,,,,0.0,0.85,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.3892,0.0,1.0,0.2271,0.4476,0.669
TX,2005-12-30,Materials,SP500-15,,,,inf,0.0,-0.3531879445713659,0.0,17.8373,0.4129,0,0.0,0.0,0.0,0.0,0.3557,1.8253,0.1472,-12.67248620768778,-1.3326,-0.054,0.1398,0.3387
TX,2006-03-31,Materials,SP500-15,inf,inf,inf,-0.137085394085845,28.35,0.954375393938693,1.2003,28.0301,0.5472,5683437900,10.6865,1.0906,27.3799,1.1724,1.1494,1.883,0.0643,-6.201367758412562,0.3258,0.1078,0.0607,0.1262
TX,2006-06-30,Materials,SP500-15,-0.147442680776014,-0.1283905411493793,-0.137085394085845,-0.030512776740661208,24.17,1.1602551951874058,1.2945,24.7923,0.5651,4845456580,7.7596,0.827,10.3733,0.9748,0.8565,1.9007,0.0754,-5.047662040962918,0.3409,0.1362,0.0707,0.1272
TX,2006-09-29,Materials,SP500-15,-0.0417873396772859,-0.0934721349360909,-0.030512776740661208,0.16809103238884981,23.16,1.283847281941798,0.9595,26.8995,0.6004,4642977840,7.9473,0.7382,7.0404,0.8609,0.734,1.8792,0.0697,-3.2857826950128195,0.3533,0.1478,0.0657,0.1127
TX,2006-12-29,Materials,SP500-15,0.275474956822107,0.2137538992564752,0.16809103238884981,-0.1379743801726087,29.54,0.7000882577325243,0.913,27.3606,0.6256,5922001960,7.445,0.9015,7.0284,1.0792,0.887,1.88,0.0948,-3.178392210461207,0.2308,0.0883,0.0896,0.1462
TX,2007-03-30,Materials,SP500-15,-0.0541638456330398,-0.0559687786058284,-0.1379743801726087,0.018538530841659157,27.94,1.1080389476939654,2.1602,28.3646,0.6289,5601243560,6.5702,0.8193,5.2441,0.985,0.7339,1.8285,0.1022,-1.8736594271576363,0.295,0.1235,0.0957,0.1525
TX,2007-06-29,Materials,SP500-15,0.0841088045812454,0.0260524224712484,0.018538530841659157,-0.006896760777206072,30.29,1.181839041471712,1.364,29.6241,0.6655,6072357460,7.0869,0.8565,5.612,1.0224,0.7815,1.9492,0.1025,-0.7709528417650169,0.2961,0.1208,0.0953,0.1474
TX,2007-09-28,Materials,SP500-15,0.0366457576758005,0.0210805035473051,-0.006896760777206072,0.2817948109026254,31.4,0.797205622674262,-0.9505,30.6234,0.4473,6294883600,8.2905,0.9182,9.0043,1.0253,1.293,2.3719,0.0742,-15.380558077356664,0.1445,0.1061,0.067,0.1257
TX,2007-12-31,Materials,SP500-15,0.2773885350318472,0.3156331819278272,0.2817948109026254,-0.06997660545890488,40.11,0.8261021379330985,0.0431,31.2156,0.4584,8041012140,10.2499,1.1549,15.3267,1.2849,1.5118,2.5612,0.0646,-11.448866187136488,0.1746,0.0976,0.0573,0.1265
TX,2008-03-31,Materials,SP500-15,-0.1054599850411368,-0.0062608542879156,-0.06997660545890488,0.1317847401105712,35.88,2.1056346458892423,-0.178,26.6104,0.4034,7193007120,7.3063,0.9475,128.7707,1.3483,1.1629,2.2104,0.0933,-15.980316649540589,0.244,0.1738,0.0732,0.1698
