ticker,date,sector,sectoralIndex,absoluteReturn,relativeToSPReturn,relativeToSectoralIndexReturn,nextPeriodRelativeToSectoralIndexReturn,closePrice,dilutedEarningsPerShare,freeCashFlowPerShare,bookValuePerShare,equityRatio,marketCap,priceToEarningsRatio,priceToSalesRatio,priceToFreeCashFlow,priceToBookRatio,enterpriseValueToSalesRatio,currentRatio,roic,netCurrentAssetValuePerShare,ebitdaMargin,netIncomeMargin,returnOnAssets,returnOnEquity
UNP,2003-03-31,Industrials,SP500-20,,,,-0.0979434823866028,13.75,0.4186182669789227,-0.0702,12.2189,0.3739,13962712500,9.0198,1.2073,31.2364,1.115,1.8337,0.7616,0.077,-18.6317665711444,-0.4404,0.1567,0.0467,0.1336
UNP,2003-06-30,Industrials,SP500-20,0.0549090909090909,-0.0940215705248257,-0.0979434823866028,-0.038095318778443264,14.505,0.2649981597350018,0.2834,11.313,0.3622,14764494450,9.6373,1.306,24.2438,1.2008,1.9784,0.8457,0.0705,-19.025631453300456,-0.3355,0.0995,0.0454,0.1234
UNP,2003-09-30,Industrials,SP500-20,0.0026197862805927,-0.0194119948411362,-0.038095318778443264,0.050314596355211544,14.543,0.2990566037735849,0.2613,11.3924,0.3571,14824407050,10.4988,1.2991,29.5306,1.2275,1.9857,0.7197,0.0666,-19.578162554569086,0.2905,0.1072,0.0416,0.1158
UNP,2003-12-31,Industrials,SP500-20,0.1943890531527196,0.0779698069375649,0.050314596355211544,-0.12469789987744151,17.37,0.5204004533434077,0.2077,11.6679,0.3688,17984203200,11.3465,1.5569,24.535,1.4557,2.1884,0.8505,0.077,-18.40036315870808,0.4306,0.1858,0.047,0.1297
UNP,2004-03-31,Industrials,SP500-20,-0.1390328151986183,-0.1518843840411801,-0.12469789987744151,-0.08585602507131132,14.955,0.1571428571428571,-0.0371,11.8828,0.3728,15497417850,11.7315,1.3236,20.2316,1.242,1.9552,0.7684,0.0648,-18.465264844104336,-0.5212,0.057,0.0394,0.1063
UNP,2004-06-30,Industrials,SP500-20,-0.0061517886994316,-0.0191422659552303,-0.08585602507131132,-0.00943967123987122,14.863,0.1509938837920489,0.1653,12.0068,0.3676,15409512510,12.9382,1.3011,24.4207,1.2264,1.9225,0.9481,0.0578,-18.51326716629532,0.2099,0.0521,0.0352,0.0951
UNP,2004-09-30,Industrials,SP500-20,-0.0143308887842292,0.0086872474595715,-0.00943967123987122,0.052779672732392854,14.65,0.1930428134556575,0.3019,12.1301,0.369,15195126500,14.1218,1.2701,22.6792,1.1971,1.8621,0.9501,0.0517,-18.54783505751005,-0.457,0.0656,0.0313,0.0852
UNP,2004-12-31,Industrials,SP500-20,0.1476450511945391,0.060311623599822,0.052779672732392854,0.056809989394288815,16.813,0.0750665146332193,1.2143,12.0248,0.3657,17552603870,29.0606,1.4369,10.1577,1.387,2.0103,0.9075,0.029,-18.8162721865152,2.3512,0.0245,0.0175,0.0476
UNP,2005-03-31,Industrials,SP500-20,0.0364004044489384,0.0622520093312269,0.056809989394288815,-0.032333340622002466,17.425,0.1210745365115399,-0.0009,12.115,0.3657,18318379750,32.3075,1.4685,10.3728,1.4302,2.0446,0.9278,0.0272,-18.87241146422898,-0.5234,0.0406,0.0162,0.0445
UNP,2005-06-30,Industrials,SP500-20,-0.0703012912482066,-0.0793984295818469,-0.032333340622002466,0.08713303157172925,16.2,0.2193147590361445,0.079,12.2223,0.3698,17051310000,26.5596,1.3332,10.1677,1.3131,1.9119,0.6682,0.0308,-19.25134197900337,0.2272,0.0696,0.0183,0.0497
UNP,2005-09-30,Industrials,SP500-20,0.1064814814814815,0.0750207578183371,0.08713303157172925,0.0782160998628603,17.925,0.345376263571696,-0.0374,12.5149,0.3801,18982395750,23.464,1.4408,14.3697,1.4196,1.9711,0.7437,0.0389,-18.639458351825795,-0.4735,0.1066,0.023,0.0613
UNP,2005-12-30,Industrials,SP500-20,0.1229009762900976,0.1070482573670096,0.0782160998628603,0.09433827144003025,20.128,0.2751952398661212,1.5842,12.7435,0.3848,21467317120,20.9233,1.581,12.2881,1.5661,2.0219,0.687,0.0489,-18.365930954300826,2.2653,0.0817,0.0289,0.0757
UNP,2006-03-31,Industrials,SP500-20,0.1594793322734499,0.1221643216612765,0.09433827144003025,0.0004207237897136994,23.338,0.28690036900369,0.3035,12.975,0.3957,25079014800,20.7436,1.7741,12.0746,1.783,2.2306,0.622,0.0571,-18.2570258700912,0.2447,0.0838,0.0339,0.087
UNP,2006-06-30,Industrials,SP500-20,-0.0041991601679665,0.0148529794586682,0.0004207237897136994,-0.04748157431109651,23.24,0.3583241455347298,0.5815,13.2442,0.4003,25025761600,18.3204,1.7006,9.5299,1.736,2.1367,0.6059,0.064,-18.29891163032577,0.2612,0.0994,0.0381,0.0959
UNP,2006-09-29,Industrials,SP500-20,-0.0533562822719448,-0.1050410775307498,-0.04748157431109651,-0.007666302494779537,22.0,0.3861713865391688,0.4606,13.5803,0.406,23478400000,16.569,1.5408,7.4134,1.5896,1.9305,0.7621,0.0654,-18.025674662668667,0.2668,0.1054,0.0391,0.0971
UNP,2006-12-29,Industrials,SP500-20,0.0456818181818181,-0.0160392393838136,-0.007666302494779537,0.09775905341944148,23.005,0.4446277961129446,0.8076,14.0374,0.4193,24861273450,15.4802,1.5959,10.6063,1.6236,1.9279,0.6812,0.0731,-17.388890431113456,2.4326,0.1224,0.044,0.1067
UNP,2007-03-30,Industrials,SP500-20,0.1035861769180614,0.1017812439452728,0.09775905341944148,0.04150531225017787,25.388,0.3537390029325513,0.5471,14.1559,0.421,27363440280,16.278,1.741,10.476,1.7714,2.1225,0.7613,0.0759,-17.612566222246965,0.2712,0.1002,0.0459,0.1093
UNP,2007-06-29,Industrials,SP500-20,0.1339215377343626,0.0758651556243656,0.04150531225017787,-0.07170752037945738,28.788,0.4118190212373038,0.4145,14.2613,0.414,30655189680,17.6483,1.9353,12.6256,1.9847,2.3504,0.7247,0.0774,-18.392089100914674,0.3252,0.1102,0.0469,0.1124
UNP,2007-09-28,Industrials,SP500-20,-0.0181672919271918,-0.0337325460556872,-0.07170752037945738,0.1623124163441746,28.265,0.5005645464809936,0.6624,14.474,0.4057,29692382500,16.0586,1.8502,11.2855,1.9302,2.2661,0.91,0.0805,-18.72536887196573,0.3552,0.1269,0.0491,0.1199
UNP,2007-12-31,Industrials,SP500-20,0.1110914558641429,0.149336102760123,0.1623124163441746,0.04279103134142989,31.405,0.4643465103083034,0.8568,14.7389,0.4097,32770489400,17.666,2.0125,12.3382,2.1026,2.4218,0.853,0.0798,-19.02671828880285,0.3297,0.1169,0.0488,0.1198
UNP,2008-03-31,Industrials,SP500-20,-0.0019105238019424,0.0972886069512786,0.04279103134142989,0.31027368589896925,31.345,0.4236801836266258,0.6685,14.8785,0.4035,32384086750,16.9372,1.9387,11.7418,2.0816,2.3639,0.8451,0.0814,-19.69801093742438,0.4243,0.1037,0.0499,0.1227
UNP,2008-06-30,Industrials,SP500-20,0.2043388100175467,0.2366212268529325,0.31027368589896925,0.03371102733094959,37.75,0.5115606936416185,0.7996,14.9961,0.3979,38637125000,19.3475,2.2429,12.3087,2.4821,2.6808,0.7978,0.084,-20.390815828041035,0.3231,0.1162,0.0514,0.1283
UNP,2008-09-30,Industrials,SP500-20,-0.0574834437086093,0.0312978177354824,0.03371102733094959,-0.08162830490329887,35.58,0.6874633287698024,1.0981,15.3872,0.3978,36037203000,16.6223,2.0153,10.1285,2.2902,2.4213,0.8395,0.0902,-20.66149972848892,0.3675,0.145,0.0551,0.1385
UNP,2008-12-31,Industrials,SP500-20,-0.328274311410905,-0.1026921681138197,-0.08162830490329887,0.07774368526232944,23.9,0.6494275562574023,0.9909,15.2457,0.3888,24054155000,10.3015,1.3385,6.5793,1.5572,1.748,0.9767,0.0961,-21.32445725073277,0.3847,0.1535,0.0589,0.1497
UNP,2009-03-31,Industrials,SP500-20,-0.1399581589958158,-0.0232905643289877,0.07774368526232944,0.08628460770466503,20.555,0.3586999603646452,0.5994,15.5112,0.3894,20723756550,9.1942,1.2108,5.818,1.3238,1.6544,1.1249,0.0915,-21.3526943791472,0.3625,0.106,0.0564,0.1449
UNP,2009-06-30,Industrials,SP500-20,0.2663585502310874,0.1141407541611985,0.08628460770466503,-0.09157792557766646,26.03,0.4601226993865031,0.6797,15.8509,0.3855,26252556500,11.9984,1.6563,7.6784,1.6388,2.1711,1.1806,0.086,-21.99692628030341,0.3787,0.1407,0.0535,0.1381
UNP,2009-09-30,Industrials,SP500-20,0.1208221283134844,-0.0290277037721177,-0.09157792557766646,0.04738367273264519,29.175,0.5069033530571992,0.7958,16.2021,0.394,29439617250,14.7271,2.0061,9.4874,1.7919,2.5638,1.1706,0.0765,-21.84486705580386,0.4094,0.14,0.048,0.1232
UNP,2009-12-31,Industrials,SP500-20,0.0951156812339331,0.0402286131375928,0.04738367273264519,0.0225730030123219,31.95,0.5414201183431953,0.4526,16.569,0.3982,32272056000,17.0751,2.2818,12.6161,1.9208,2.8323,1.3721,0.0714,-21.48641691747188,0.3998,0.1462,0.045,0.1137
UNP,2010-03-31,Industrials,SP500-20,0.1471048513302034,0.098382692497358,0.0225730030123219,0.07623614953281851,36.65,0.5071751523491252,0.1916,16.9186,0.403,37097496500,18.1494,2.5248,17.2707,2.1552,3.0507,1.4135,0.0762,-21.12901473014493,0.4037,0.1301,0.0481,0.1201
UNP,2010-06-30,Industrials,SP500-20,-0.0517053206002727,0.0669166460006699,0.07623614953281851,0.04029469818184089,34.755,0.7018756169792695,0.4383,17.1006,0.4072,34740715695,15.1706,2.2309,18.2365,2.0054,2.7318,1.2197,0.0854,-21.518844244984688,0.423,0.17,0.0537,0.1326
