ticker,date,sector,sectoralIndex,absoluteReturn,relativeToSPReturn,relativeToSectoralIndexReturn,nextPeriodRelativeToSectoralIndexReturn,closePrice,dilutedEarningsPerShare,freeCashFlowPerShare,bookValuePerShare,equityRatio,marketCap,priceToEarningsRatio,priceToSalesRatio,priceToFreeCashFlow,priceToBookRatio,enterpriseValueToSalesRatio,currentRatio,roic,netCurrentAssetValuePerShare,ebitdaMargin,netIncomeMargin,returnOnAssets,returnOnEquity
URI,2003-03-31,Industrials,SP500-20,,,,0.29101437057125024,9.62,-0.11,0.1264,16.9016,0.2856,741567320,-5.5354,0.2635,54.3073,0.5532,1.1522,3.7249,-0.0347,-34.21974158731806,0.3652,-0.0147,-0.0285,-0.1002
URI,2003-06-30,Industrials,SP500-20,0.443866943866944,0.2949362824330273,0.29101437057125024,0.1176722239546428,13.89,0.25,-0.5072,14.8794,0.288,1068738270,-6.6097,0.382,131.4884,0.7676,1.2957,3.6022,-0.0411,-34.544545962595684,0.3959,0.0321,-0.0339,-0.1183
URI,2003-09-30,Industrials,SP500-20,0.1583873290136788,0.1363555478919497,0.1176722239546428,0.05294232381156597,16.09,0.3400017061934823,1.4694,15.2444,0.2911,1238447300,-7.2604,0.4392,12.8417,0.8663,1.3188,4.1199,-0.0428,-33.876185526828635,0.3937,0.0396,-0.035,-0.1208
URI,2003-12-31,Industrials,SP500-20,0.197016780609074,0.0805975343939194,0.05294232381156597,-0.06302749381693333,19.26,-3.5967114632074004,-3.379,12.7927,0.2277,1485909000,-5.85,0.5155,-8.1643,1.3899,1.5426,1.8581,-0.0627,-36.79844458846403,-0.1287,-0.397,-0.0528,-0.2033
URI,2004-03-31,Industrials,SP500-20,-0.0773624091381101,-0.0902139779806719,-0.06302749381693333,-0.07295128195432192,17.77,-1.3899971685242862,1.1197,15.276,0.2479,1374509500,-3.8907,0.4686,-13.0867,1.158,1.4501,3.3664,-0.0851,-36.08977375565611,0.3701,-0.1679,-0.0745,-0.3132
URI,2004-06-30,Industrials,SP500-20,0.0067529544175577,-0.0062375228382409,-0.07295128195432192,-0.10690308094641894,17.89,0.42000042000042,0.3465,11.295,0.2225,1390285570,-4.1295,0.4671,-56.5938,1.2924,1.4809,3.2169,-0.0805,-37.89706998829025,0.4111,0.0518,-0.0699,-0.2975
URI,2004-09-30,Industrials,SP500-20,-0.1117942984907769,-0.0887761622469761,-0.10690308094641894,0.09456193431318398,15.89,-0.5800025217500946,1.2104,12.934,0.2115,1237513200,-2.9851,0.4085,-18.6465,1.2063,1.3968,3.5645,-0.0994,-37.0898176682075,0.2727,-0.0536,-0.0856,-0.3945
URI,2004-12-31,Industrials,SP500-20,0.1894273127753302,0.1020938851806131,0.09456193431318398,0.08972175425751983,18.9,0.3853218079299228,1.8495,13.178,0.2101,1471497300,-17.5178,0.519,4.0874,1.4342,1.5292,1.9111,-0.02,-36.27162618647007,0.2149,0.0532,-0.0172,-0.0818
URI,2005-03-31,Industrials,SP500-20,0.0693121693121694,0.0951637741944579,0.08972175425751983,0.037967950626204214,20.21,0.12,0.44,10.42,0.2126,1575228030,43.7563,0.5387,4.9691,1.5117,1.4966,1.8817,0.0085,-36.03915681972724,0.3702,0.0163,0.0073,0.0348
URI,2005-06-30,Industrials,SP500-20,0.0,-0.0090971383336402,0.037967950626204214,-0.04408867751984635,20.21,0.5299978800084799,-0.7207,11.5539,0.214,1576622520,34.2744,0.5184,7.2991,1.4464,1.4793,1.6703,0.0108,-37.60959852330411,0.2781,0.0563,0.0092,0.0431
