ticker,date,sector,sectoralIndex,absoluteReturn,relativeToSPReturn,relativeToSectoralIndexReturn,nextPeriodRelativeToSectoralIndexReturn,closePrice,dilutedEarningsPerShare,freeCashFlowPerShare,bookValuePerShare,equityRatio,marketCap,priceToEarningsRatio,priceToSalesRatio,priceToFreeCashFlow,priceToBookRatio,enterpriseValueToSalesRatio,currentRatio,roic,netCurrentAssetValuePerShare,ebitdaMargin,netIncomeMargin,returnOnAssets,returnOnEquity
VLO,2003-03-31,Energy,GSPE,,,,-0.18564378891410765,9.45,0.3776595744680851,0.8625,10.6382,0.3278,4327911000,14.4023,0.1305,3.5089,0.9016,0.2328,1.3914,0.0325,-12.338093366522555,0.049,0.0175,0.0206,0.0651
VLO,2003-06-30,Energy,GSPE,-0.1216931216931215,-0.2706237831270383,-0.18564378891410765,0.04875177439612552,8.3,0.2704296545914069,-0.1876,10.524,0.3453,3795324400,9.0884,0.1091,13.2057,0.7595,0.2165,1.3717,0.0453,-12.91780750019682,0.0445,0.0145,0.0286,0.0852
VLO,2003-09-30,Energy,GSPE,0.053012048192771,0.0309802670710419,0.04875177439612552,0.06490910964615182,8.74,0.3718652037617554,0.6741,10.5511,0.3649,3998890860,6.9077,0.1093,5.6786,0.7425,0.2195,1.2903,0.0596,-12.940754777188392,0.0486,0.0192,0.0389,0.1096
VLO,2003-12-31,Energy,GSPE,0.2105263157894736,0.094107069574319,0.06490910964615182,0.2479528244874991,10.58,0.2467181467181467,0.6951,10.6847,0.3661,5089678280,8.1999,0.134,5.0678,0.9195,0.2359,1.2457,0.0623,-12.704493770085602,0.04,0.0137,0.0401,0.1098
VLO,2004-03-31,Energy,GSPE,0.2939508506616256,0.2810992818190638,0.2479528244874991,0.16538514601205184,13.69,0.45,-0.8897,11.4641,0.3621,7130792440,10.2145,0.1811,54.392,1.1433,0.2938,1.1791,0.0655,-12.810150592463463,0.0521,0.0223,0.0417,0.1146
VLO,2004-06-30,Energy,GSPE,0.2352081811541271,0.2222177038983284,0.16538514601205184,-0.020795697779081412,16.91,1.1368231046931407,2.083,11.7922,0.363,8635717170,7.1814,0.1948,6.2841,1.3218,0.2809,1.0907,0.1062,-13.102546177991607,0.0864,0.0458,0.0661,0.1825
VLO,2004-09-30,Energy,GSPE,0.0833826138379657,0.1064007500817665,-0.020795697779081412,0.08992242061473954,18.32,0.7804347826086957,0.7028,12.7101,0.3715,9381800240,6.4916,0.1925,6.6157,1.3372,0.2639,1.1458,0.125,-12.60244441103129,0.0601,0.0302,0.076,0.207
VLO,2004-12-31,Energy,GSPE,0.1320960698689955,0.0447626422742784,0.08992242061473954,0.4430521627623113,20.74,0.8688172043010752,0.0734,13.6021,0.4021,10597144480,5.8768,0.194,9.6425,1.3961,0.2496,1.161,0.1507,-12.388639245956568,0.0625,0.0317,0.0928,0.2401
VLO,2005-03-31,Energy,GSPE,0.6137897782063646,0.6396413830886531,0.4430521627623113,0.06420380703277724,33.47,0.9528776978417266,0.8255,14.0305,0.3933,17086769700,8.1786,0.2921,8.3676,2.1903,0.3415,1.0557,0.173,-12.667724432430315,0.069,0.0356,0.1052,0.2646
VLO,2005-06-30,Energy,GSPE,0.0794741559605618,0.0703770176269215,0.06420380703277724,0.2517975499177738,36.13,1.5185585585585586,0.9513,15.7513,0.4112,18606769350,8.0786,0.2966,13.1403,2.1284,0.339,1.1691,0.1856,-11.347682987213467,0.0832,0.0469,0.1097,0.2727
VLO,2005-09-30,Energy,GSPE,0.4292831442014945,0.3978224205383501,0.2517975499177738,-0.009832162677800169,51.64,1.461328790459966,2.7376,23.3696,0.4208,26606425560,9.7416,0.3712,10.0973,1.9395,0.4462,1.1408,0.1657,-19.152648628085764,0.0651,0.037,0.1003,0.2407
VLO,2005-12-30,Energy,GSPE,-0.087141750580945,-0.1029944695040329,-0.009832162677800169,0.07247700892362062,47.14,1.8801223241590213,1.6391,22.9082,0.4588,29105273080,8.3804,0.361,7.9392,1.9426,0.419,1.1316,0.171,-15.22783444710425,0.0859,0.0505,0.1059,0.2408
VLO,2006-03-31,Energy,GSPE,0.1584641493423843,0.1211491387302109,0.07247700892362062,0.07415137945445954,54.61,1.015527950310559,1.4984,23.8276,0.4623,33592850010,9.3464,0.3888,8.0519,2.1891,0.4426,1.099,0.1754,-15.807757896157142,0.0768,0.0315,0.1087,0.236
VLO,2006-06-30,Energy,GSPE,0.1126167368613806,0.1316688764880154,0.07415137945445954,-0.20479625288527512,60.76,2.981132075471698,1.9968,26.2751,0.4589,36951254760,7.956,0.3932,7.5195,2.2111,0.4351,1.1171,0.2186,-15.762532660474124,0.1184,0.0741,0.133,0.2888
VLO,2006-09-29,Energy,GSPE,-0.2261356155365371,-0.2778204107953421,-0.20479625288527512,-0.11348926985021408,47.02,2.238853503184713,0.8439,28.7277,0.4923,28498351800,5.4924,0.304,7.4272,1.5796,0.3444,1.2107,0.2288,-14.634790212674686,0.1108,0.061,0.1418,0.2981
VLO,2006-12-29,Energy,GSPE,-0.0061675882603148,-0.0678886458259467,-0.11348926985021408,0.24343555219819613,46.73,2.4596774193548385,0.5806,30.008,0.4928,28213844990,5.1456,0.3177,9.0284,1.5164,0.3518,1.3353,0.2328,-12.118993711108498,0.0891,0.0785,0.1474,0.2992
VLO,2007-03-30,Energy,GSPE,0.2606462657821528,0.2588413328093643,0.24343555219819613,0.0021378138953502546,58.91,1.860162601626016,2.1707,30.4552,0.4904,32341059810,5.4154,0.3725,9.2535,1.7266,0.4065,1.217,0.2521,-15.413731736950153,0.1119,0.0609,0.1572,0.3199
VLO,2007-06-29,Energy,GSPE,0.1453063995925989,0.0872500174826019,0.0021378138953502546,-0.1843486447497205,67.47,3.891003460207613,3.4152,31.3408,0.4489,37366437810,5.9086,0.4374,8.8988,2.0627,0.4903,1.4333,0.2596,-15.651209863078998,0.146,0.0929,0.161,0.3432
VLO,2007-09-28,Energy,GSPE,-0.0904105528382985,-0.1059758069667939,-0.1843486447497205,0.0016908625056567955,61.37,2.2588652482269502,-1.5177,33.6312,0.4531,33780257320,5.4554,0.3924,12.0086,1.7809,0.4359,1.4307,0.2432,-14.96813435167758,0.0638,0.0537,0.1506,0.3339
VLO,2007-12-31,Energy,GSPE,0.0423659768616588,0.0806106237576388,0.0016908625056567955,-0.22346521674274122,63.97,1.0216216216216216,0.9819,33.3459,0.4331,34330140200,6.559,0.3601,11.451,1.8549,0.4021,1.2415,0.2042,-17.558603212462266,0.0432,0.0197,0.1237,0.2793
VLO,2008-03-31,Energy,GSPE,-0.2987337814600594,-0.1995346507068383,-0.22346521674274122,-0.33058308862770225,44.86,0.4824399260628466,0.1682,33.7005,0.4483,23705728680,5.4483,0.2268,13.5152,1.3002,0.275,1.232,0.1737,-18.77798341527293,0.03,0.0093,0.1043,0.2368
VLO,2008-06-30,Energy,GSPE,-0.1613909942041908,-0.129108577368805,-0.33058308862770225,-0.01475797813517224,37.62,1.3745318352059923,0.9981,34.9812,0.4278,19751553360,6.9645,0.1688,63.104,1.0573,0.2083,1.1871,0.1137,-18.520916979665845,0.0416,0.02,0.0672,0.1536
VLO,2008-09-30,Energy,GSPE,-0.264221158958001,-0.1754398975139092,-0.01475797813517224,-0.07528260441332207,27.68,2.1776937618147447,1.8941,37.2665,0.45,14486466400,5.3376,0.1121,6.6727,0.7348,0.1391,1.2596,0.1057,-17.706910223462085,0.0614,0.032,0.062,0.1413
VLO,2008-12-31,Energy,GSPE,-0.2857658959537572,-0.0601837526566719,-0.07528260441332207,-0.052192140390977554,19.77,-6.328185328185328,2.8359,30.1544,0.4538,10207409160,-9.0251,0.0902,3.298,0.6534,0.0819,1.5219,-0.0467,-18.10353509920435,0.1409,-0.2603,-0.0289,-0.064
VLO,2009-03-31,Energy,GSPE,-0.1729893778452199,-0.0563217831783918,-0.052192140390977554,-0.15683436397024073,16.35,0.5953757225433526,1.4797,30.4489,0.4417,8443123650,-7.796,0.0857,2.2383,0.5342,0.0682,1.6783,-0.0475,-18.40630984955432,0.0745,0.0231,-0.0308,-0.0689
VLO,2009-06-30,Energy,GSPE,-0.0562691131498471,-0.208486909219736,-0.15683436397024073,0.05288392908587457,15.43,-0.4838095238095238,0.0438,31.2514,0.4407,8681658640,-4.192,0.1095,2.6614,0.5291,0.089,1.5255,-0.0878,-17.13504713426512,0.0181,-0.0146,-0.0567,-0.1285
VLO,2009-09-30,Energy,GSPE,0.1477640959170447,-0.0020857361685573,0.05288392908587457,-0.18650767331689333,17.71,-1.121212121212121,-0.4224,28.3244,0.4317,9971562370,-2.5886,0.1611,4.929,0.6275,0.1352,1.4006,-0.1637,-17.849309205093004,0.0112,-0.0338,-0.104,-0.2385
VLO,2009-12-31,Energy,GSPE,-0.1360813099943534,-0.1909683780906937,-0.18650767331689333,0.17563331566559567,15.3,-2.505338078291815,0.29,26.201,0.4139,8639955900,-4.3592,0.1337,12.0501,0.5867,0.1209,1.3986,-0.0873,-17.575610542178808,0.0204,-0.0918,-0.0547,-0.1294
VLO,2010-03-31,Energy,GSPE,0.176470588235294,0.1277484294024487,0.17563331566559567,0.04456869925074308,18.0,-0.2010676156583629,1.3398,26.096,0.4021,10173294000,-4.2318,0.1458,14.4918,0.6936,0.1187,1.3983,-0.1065,-18.54089737306324,0.0195,-0.0061,-0.0667,-0.1635
VLO,2010-06-30,Energy,GSPE,-0.0877777777777776,0.030844188823165,0.04456869925074308,-0.1491520218716566,16.42,1.0282186948853616,1.0828,26.5449,0.4126,9297874260,-5.9335,0.1274,7.1909,0.6177,0.1,1.4339,-0.0679,-17.79769820204043,0.0619,0.0283,-0.0429,-0.1054
VLO,2010-09-30,Energy,GSPE,-0.0261875761266748,-0.1333855216417031,-0.1491520218716566,0.11217711926130347,15.99,0.5140845070422535,0.7235,27.1126,0.4131,9055600710,-14.0179,0.1201,4.6654,0.588,0.0889,1.4461,-0.0277,-17.655814906176445,0.0457,0.0138,-0.0175,-0.0424
VLO,2010-12-31,Energy,GSPE,0.3208255159474672,0.2187925081848989,0.11217711926130347,0.1268521598162027,21.12,-0.7670753064798599,-0.1418,26.3134,0.3993,12004354560,37.0504,0.1459,7.0738,0.7989,0.1054,1.5389,0.0138,-15.971484267788904,0.034,-0.0197,0.0086,0.0212
VLO,2011-03-31,Energy,GSPE,0.2897727272727271,0.235552170824138,0.1268521598162027,-0.09178517503586342,27.24,0.1710296684118673,3.0698,26.5689,0.3845,15526881720,29.0222,0.1724,5.7443,1.0198,0.1265,1.4468,0.023,-16.336756122336197,0.0231,0.0037,0.0138,0.0353
VLO,2011-06-30,Energy,GSPE,-0.1424375917767988,-0.1385231068290504,-0.09178517503586342,-0.09625412651522089,23.36,1.2961672473867596,1.3292,27.8606,0.4045,13333023680,19.1566,0.1322,4.6749,0.8337,0.1586,1.4355,0.0298,-15.500303979059607,0.0535,0.0237,0.0175,0.0445
VLO,2011-09-30,Energy,GSPE,-0.3047945205479452,-0.1615155280864783,-0.09625412651522089,0.007912420824937538,16.24,2.114235500878735,2.0931,29.297,0.3999,9072411040,5.6455,0.0799,2.4979,0.5442,0.055,1.3583,0.067,-16.366357228012014,0.0702,0.0356,0.0395,0.0984
VLO,2011-12-30,Energy,GSPE,0.184113300492611,0.072589793095102,0.007912420824937538,0.19002821853531032,19.23,0.0803571428571428,-1.8946,29.366,0.3843,10707494760,5.1232,0.0849,4.0375,0.6511,0.1302,1.2568,0.0861,-18.616696479242545,0.0161,0.0012,0.0494,0.1262
