ticker,date,sector,sectoralIndex,absoluteReturn,relativeToSPReturn,relativeToSectoralIndexReturn,nextPeriodRelativeToSectoralIndexReturn,closePrice,dilutedEarningsPerShare,freeCashFlowPerShare,bookValuePerShare,equityRatio,marketCap,priceToEarningsRatio,priceToSalesRatio,priceToFreeCashFlow,priceToBookRatio,enterpriseValueToSalesRatio,currentRatio,roic,netCurrentAssetValuePerShare,ebitdaMargin,netIncomeMargin,returnOnAssets,returnOnEquity
WCN,2003-03-31,Industrials,SP500-20,,,,-0.1366998567024485,6.81,0.0888860661488955,0.1476,2.9799,0.3931,970588440,16.7371,1.9187,12.4235,1.97,3.0121,0.7586,0.0537,-4.814599646375347,0.3452,0.1143,0.0461,0.1198
WCN,2003-06-30,Industrials,SP500-20,0.0161527165932452,-0.1327779448406714,-0.1366998567024485,-0.03927001835383377,6.92,0.1002053610681184,0.1148,3.0991,0.4013,994660040,16.4987,1.9252,11.9675,1.9328,2.992,0.815,0.0553,-4.771429764083012,0.3518,0.1198,0.0475,0.1197
WCN,2003-09-30,Industrials,SP500-20,0.0014450867052022,-0.0205866944165268,-0.03927001835383377,-0.06759538031843158,6.93,0.1017420600189432,0.1623,3.204,0.3885,997843770,16.0771,1.8851,11.7126,1.8669,3.031,0.7902,0.0544,-5.223676808645105,0.3466,0.1161,0.0467,0.1183
WCN,2003-12-31,Industrials,SP500-20,0.0764790764790765,-0.0399401697360781,-0.06759538031843158,0.06795421827023855,7.46,0.1032614862726127,0.0975,3.3529,0.4021,1082639960,16.5046,1.9982,12.4577,1.9283,3.0994,0.8553,0.0552,-5.137005085236278,0.3996,0.1347,0.0473,0.1197
WCN,2004-03-31,Industrials,SP500-20,0.0536193029490617,0.0407677341064999,0.06795421827023855,0.03861637431514309,7.86,0.0956586941248014,0.1954,3.4722,0.4166,1157377140,17.2477,2.0693,12.1077,1.9679,3.0988,0.7919,0.0559,-5.010777662327079,0.3379,0.1109,0.0478,0.1167
WCN,2004-06-30,Industrials,SP500-20,0.1183206106870227,0.105330133431224,0.03861637431514309,0.0731506032098872,8.79,0.1148844623423941,0.1072,4.294,0.5016,1423338330,20.4399,2.4498,15.0742,1.9863,3.2448,0.867,0.0575,-3.82734195038505,0.3424,0.1194,0.049,0.1067
WCN,2004-09-30,Industrials,SP500-20,0.0682593856655291,0.0912775219093299,0.0731506032098872,-0.013928211262998272,9.39,0.1358517738607415,0.1908,4.4064,0.5066,1520175270,20.2382,2.5507,15.3739,2.0875,3.3015,0.8381,0.0617,-3.7960195931880936,0.3596,0.1392,0.0524,0.1039
WCN,2004-12-31,Industrials,SP500-20,0.080937167199148,-0.006396260395569,-0.013928211262998272,0.03518791006850312,10.15,0.0868877501924557,0.1751,4.402,0.4907,1630800500,22.565,2.5877,14.6028,2.228,3.3585,0.8878,0.0583,-4.095711707225991,0.3059,0.0889,0.0493,0.0989
WCN,2005-03-31,Industrials,SP500-20,0.0147783251231527,0.0406299300054412,0.03518791006850312,0.11078348460678673,10.3,0.1173514542390553,0.2376,4.3628,0.4791,1627049800,21.5708,2.5082,13.8152,2.2606,3.2744,0.8333,0.0598,-4.344352582201233,0.3267,0.1177,0.0503,0.1039
WCN,2005-06-30,Industrials,SP500-20,0.0728155339805825,0.0637183956469422,0.11078348460678673,-0.07907695669708267,11.05,0.1306273873302173,0.1705,4.4741,0.4757,1750441550,22.5383,2.6189,13.6947,2.3872,3.3539,0.9287,0.0615,-4.389884540846279,0.334,0.1187,0.051,0.1069
