ticker,date,sector,sectoralIndex,absoluteReturn,relativeToSPReturn,relativeToSectoralIndexReturn,nextPeriodRelativeToSectoralIndexReturn,closePrice,dilutedEarningsPerShare,freeCashFlowPerShare,bookValuePerShare,equityRatio,marketCap,priceToEarningsRatio,priceToSalesRatio,priceToFreeCashFlow,priceToBookRatio,enterpriseValueToSalesRatio,currentRatio,roic,netCurrentAssetValuePerShare,ebitdaMargin,netIncomeMargin,returnOnAssets,returnOnEquity
XYL,2010-03-31,Industrials,SP500-20,,,,,0.0,0.3033586132177681,0.1733,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2655,0.0,0.1341,0.0816,0.1767,0.2655
XYL,2010-09-30,Industrials,SP500-20,,,,,0.0,0.4929577464788732,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1339,0.1129,0.0,0.0
XYL,2010-12-31,Industrials,SP500-20,,,,,0.0,0.5254604550379198,0.0,14.7291,0.7279,0,0.0,0.0,0.0,0.0,-0.0523,2.0585,0.2849,1.733477789815818,0.1262,0.1037,0.2077,0.2853
XYL,2011-03-31,Industrials,SP500-20,,,,,0.0,0.4225352112676056,0.2925,15.3358,0.7355,0,0.0,0.0,0.0,0.0,-0.0464,2.1927,0.1159,2.0639219934994584,0.1494,0.0876,0.0849,0.116
XYL,2011-06-30,Industrials,SP500-20,,,,,0.0,0.390032502708559,0.3196,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2387,0.0,0.1555,0.0741,0.1756,0.2387
XYL,2011-09-30,Industrials,SP500-20,,,,inf,0.0,0.4171180931744312,0.3737,10.5687,0.47,0,0.0,0.0,0.0,0.0,0.2725,2.2122,0.2051,-3.9130434782608696,0.1246,0.082,0.1561,0.3321
XYL,2011-12-30,Industrials,SP500-20,inf,inf,inf,-0.02796101733742065,25.69,0.2774813233724653,0.811,9.7705,0.4161,4742374000,16.9977,1.247,14.1987,2.59,1.4791,2.0183,0.09,-4.9837486457204765,0.2183,0.0518,0.0652,0.1475
XYL,2012-03-30,Industrials,SP500-20,0.0801868431296223,-0.0397797583701069,-0.02796101733742065,-0.04638239654856898,27.75,0.3388918773534158,0.1721,10.4841,0.4318,5142075000,19.4775,1.3397,16.481,2.6383,1.5625,2.1184,0.0852,-4.473826227738802,0.1491,0.0681,0.0592,0.1396
XYL,2012-06-29,Industrials,SP500-20,-0.0929729729729729,-0.0600933678080015,-0.04638239654856898,-0.034160284634042457,25.17,0.4779806659505907,0.2094,10.4618,0.4346,4671552000,16.6247,1.2187,15.9984,2.3981,1.4381,2.2451,0.089,-4.229525862068965,0.1739,0.0921,0.0624,0.1442
XYL,2012-09-28,Industrials,SP500-20,-0.0007945967421534,-0.0584310034753057,-0.034160284634042457,0.05655200882080814,25.15,0.3864734299516908,0.4401,11.0252,0.4469,4672870000,16.9306,1.2216,15.3208,2.275,1.4242,2.3363,0.0859,-3.810548977395048,0.1664,0.0773,0.0608,0.1379
XYL,2012-12-31,Industrials,SP500-20,0.0775347912524852,0.0875857412253244,0.05655200882080814,-0.0902004610818328,27.1,0.3920515574650913,0.7303,11.1385,0.4432,5032470000,16.9443,1.3274,17.4133,2.4264,1.5108,2.3994,0.0907,-3.9364566505115777,0.1682,0.0753,0.064,0.1438
XYL,2013-03-29,Industrials,SP500-20,0.0169741697416973,-0.0832929797089567,-0.0902004610818328,-0.052666710277366566,27.56,0.2199570815450643,-0.0375,10.9442,0.4445,5106868000,18.5704,1.3636,20.4274,2.5033,1.5836,2.4368,0.0843,-4.27415002698327,0.1228,0.0466,0.0593,0.1336
XYL,2013-06-28,Industrials,SP500-20,-0.0224963715529752,-0.0461328268423752,-0.052666710277366566,-0.0408657413590729,26.94,0.2471789360558839,0.0644,11.0263,0.445,4991982000,21.5171,1.3351,22.3855,2.4327,1.5595,2.4171,0.0713,-4.209390178089585,0.1322,0.0479,0.0504,0.1133
XYL,2013-09-30,Industrials,SP500-20,0.0367483296213807,-0.0101115068693949,-0.0408657413590729,0.10963742412851507,27.93,0.3924731182795699,0.3978,11.6021,0.451,5153085000,22.1162,1.3657,23.9678,2.3878,1.5791,2.3678,0.0704,-3.940379403794038,0.144,0.0756,0.0496,0.1106
