ticker,date,sector,sectoralIndex,absoluteReturn,relativeToSPReturn,relativeToSectoralIndexReturn,nextPeriodRelativeToSectoralIndexReturn,closePrice,dilutedEarningsPerShare,freeCashFlowPerShare,bookValuePerShare,equityRatio,marketCap,priceToEarningsRatio,priceToSalesRatio,priceToFreeCashFlow,priceToBookRatio,enterpriseValueToSalesRatio,currentRatio,roic,netCurrentAssetValuePerShare,ebitdaMargin,netIncomeMargin,returnOnAssets,returnOnEquity
ZTO,2015-06-30,Industrials,SP500-20,,,,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZTO,2015-09-30,Industrials,SP500-20,,,,,0.0,0.0427416937217356,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.215,0.151,0.0,0.0
ZTO,2015-12-31,Industrials,SP500-20,,,,,0.0,0.1389408020206788,0.0,1.161,0.7414,0,0.0,0.0,0.0,0.0,-0.6777,1.2969,0.6887,0.1388833963732387,0.295,0.321,0.531,0.7161
ZTO,2016-03-31,Industrials,SP500-20,,,,,0.0,0.0664604315629006,0.0517,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.3075,0.0,0.232,0.1729,0.237,0.3197
ZTO,2016-06-30,Industrials,SP500-20,,,,,0.0,0.1049944613792378,0.0683,2.2023,0.7661,0,0.0,0.0,0.0,0.0,-0.2583,1.261,0.364,0.1416981330400963,0.2633,0.187,0.2918,0.381
ZTO,2016-09-30,Industrials,SP500-20,,,,inf,0.0,0.1326293490301349,0.2053,1.804,0.7656,0,0.0,0.0,0.0,0.0,-0.2212,1.1321,0.2123,0.0574755209133468,0.3129,0.2324,0.1689,0.2206
ZTO,2016-12-30,Industrials,SP500-20,inf,inf,inf,0.04443791135025818,12.07,0.1484501745158313,0.2373,3.9611,0.8439,8697219550,28.4214,5.9485,22.8414,3.0471,4.8328,3.7434,0.1392,1.911899689826733,0.3059,0.2319,0.1165,0.1428
ZTO,2017-03-31,Industrials,SP500-20,0.084507042253521,0.0291701527822657,0.04443791135025818,0.02484620592480668,13.09,0.1012607337043167,0.0666,4.055,0.8457,9432195850,28.8487,6.1242,24.2899,3.2246,5.0744,3.6723,0.1099,1.8586692387223915,0.2511,0.1925,0.0955,0.1131
ZTO,2017-06-30,Industrials,SP500-20,0.06646294881589,0.0407764763778596,0.02484620592480668,-0.033233034125168974,13.96,0.1462895258838629,0.1843,4.1824,0.8611,10022456360,27.2837,6.15,20.9343,3.3286,5.1673,3.955,0.1209,1.8319875867237,0.31,0.2412,0.1056,0.1237
ZTO,2017-09-29,Industrials,SP500-20,0.0035816618911174,-0.0360113903750522,-0.033233034125168974,0.0760218908270079,14.01,0.1523338436995362,0.2176,4.3821,0.8427,9993669240,25.3344,5.6932,19.6832,3.1829,4.765,3.3189,0.1266,1.760913694197868,0.3005,0.2281,0.1092,0.1282
ZTO,2017-12-29,Industrials,SP500-20,0.131334760885082,0.0701088966088361,0.0760218908270079,-0.03409595357749574,15.85,0.2601092972844044,0.2918,4.5627,0.8301,11438104950,24.1876,5.8621,20.9968,3.5172,5.0343,2.9854,0.1461,1.679609282654816,0.283,0.2822,0.1237,0.1479
ZTO,2018-03-30,Industrials,SP500-20,-0.0542586750788643,-0.0420130637447772,-0.03409595357749574,0.3707857981284028,14.99,0.1238976495843648,0.0476,4.6055,0.8338,10914159040,22.366,5.1169,20.5706,3.3315,4.4539,2.7305,0.1485,1.4112411000747154,0.197,0.157,0.1243,0.1495
ZTO,2018-06-29,Industrials,SP500-20,0.3342228152101401,0.3048764268756253,0.3707857981284028,-0.26611889062998295,20.0,0.3194258434171291,0.3161,6.4539,0.8783,15743280000,25.6697,6.7114,25.1434,3.3784,5.6784,4.7228,0.1545,2.8296263548637897,0.2831,0.3551,0.1328,0.1545
