Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time,Symbol
AAPL,"Apple Inc",138.38,-0.5,-0.36%,142.67,134.38,140814797,2022-11-04,AAPL
ABBV,"Abbvie Inc",145.28,0.86000000000001,+0.60%,145.58,143.08,4623800,2022-11-04,ABBV
ABT,"Abbott Laboratories",98.07,1.62,+1.68%,98.23,96.1516,4902800,2022-11-04,ABT
ACN,"Accenture Plc",261.16,4.28,+1.67%,264.16,256.13,2496300,2022-11-04,ACN
ADBE,"Adobe Systems Inc",285.75,-0.18,-0.06%,291.01,278.23,5738200,2022-11-04,ADBE
AIG,"American International Group",57.92,0.31,+0.54%,58.58,57.05,3388400,2022-11-04,AIG
AMD,"Adv Micro Devices",62.19,2.08,+3.46%,63,60.53,84791297,2022-11-04,AMD
AMGN,"Amgen Inc",269.04,3.16,+1.19%,269.3,259.84,3402100,2022-11-04,AMGN
AMT,"American Tower Corp",203.92,2.59,+1.29%,204.38,199.14,1788100,2022-11-04,AMT
AMZN,"Amazon.com Inc",90.98,1.68,+1.88%,92.44,88.04,129101289,2022-11-04,AMZN
AVGO,"Broadcom Ltd",465.3,21.18,+4.77%,468.89,453.28,2889000,2022-11-04,AVGO
AXP,"American Express Company",144.72,5.41,+3.88%,146.356,141,3322200,2022-11-04,AXP
BA,"Boeing Company",160.01,3.26,+2.08%,160.98,154.495,9396100,2022-11-04,BA
BAC,"Bank of America Corp",36.79,0.9,+2.51%,37,36.22,39369300,2022-11-04,BAC
BK,"Bank of New York Mellon Corp",42.49,0.96,+2.31%,42.86,41.92,5520800,2022-11-04,BK
BKNG,"Booking Holdings Inc",1874.4,48.67,+2.67%,1916.15,1852.1,438700,2022-11-04,BKNG
BLK,"Blackrock Inc",656.15,22.34,+3.52%,660.39,642.68,707400,2022-11-04,BLK
BMY,"Bristol-Myers Squibb Company",78.78,0.3,+0.38%,79.278,77.91,8187900,2022-11-04,BMY
BRK.B,"Berkshire Hathaway Cl B",287.47,3.62,+1.28%,289.2,282.38,3709900,2022-11-04,BRK.B
C,"Citigroup Inc",45.13,0.55,+1.23%,45.45,44.265,15204100,2022-11-04,C
CAT,"Caterpillar Inc",227.85,8.59,+3.92%,229.73,223.6,4973700,2022-11-04,CAT
CHTR,"Charter Communicatio",348.82,4.57,+1.33%,352.81,342.38,1222000,2022-11-04,CHTR
CL,"Colgate-Palmolive Company",73.19,0.8,+1.11%,73.68,72.31,3947600,2022-11-04,CL
CMCSA,"Comcast Corp A",31,0.62,+2.04%,31.44,30.38,28961900,2022-11-04,CMCSA
COF,"Capital One Financial Corp",102.53,3.71,+3.75%,102.72,100.19,2301300,2022-11-04,COF
COP,Conocophillips,132.32,-1.5,-1.12%,138.49,129.65,10663700,2022-11-04,COP
COST,"Costco Wholesale",486.41,0.12,+0.02%,492.63,476.49,1987200,2022-11-04,COST
CRM,"Salesforce Inc",139.77,-6.56,-4.48%,146.95,136.04,14265300,2022-11-04,CRM
CSCO,"Cisco Systems Inc",44.52,0.67,+1.53%,45.08,43.83,19648699,2022-11-04,CSCO
CVS,"CVS Corp",99.56,1.76,+1.80%,99.85,97.775,9416000,2022-11-04,CVS
CVX,"Chevron Corp",183.42,2.29,+1.26%,185.4,180.6,7491800,2022-11-04,CVX
DHR,"Danaher Corp",246.97,5.55,+2.30%,247.33,239.105,2996900,2022-11-04,DHR
