ticker,sector,index,name
XOM,Energy,GSPE,Exxon Mobil Corporation
CVX,Energy,GSPE,Chevron Corporation
SHEL,Energy,GSPE,Shell plc
TTE,Energy,GSPE,TotalEnergies SE
COP,Energy,GSPE,ConocoPhillips
EQNR,Energy,GSPE,Equinor ASA
BP,Energy,GSPE,BP p.l.c.
ENB,Energy,GSPE,Enbridge Inc.
EOG,Energy,GSPE,EOG Resources
SLB,Energy,GSPE,Schlumberger Limited
CNQ,Energy,GSPE,Canadian Natural Resources Limited
PBR,Energy,GSPE,Petróleo Brasileiro S.A. - Petrobras
OXY,Energy,GSPE,Occidental Petroleum Corporation
PXD,Energy,GSPE,Pioneer Natural Resources Company
EPD,Energy,GSPE,Enterprise Products Partners L.P.
MPC,Energy,GSPE,Marathon Petroleum Corporation
E,Energy,GSPE,Eni S.p.A.
PSX,Energy,GSPE,Phillips 66
VLO,Energy,GSPE,Valero Energy Corporation
WDS,Energy,GSPE,Woodside Energy Group Ltd
TRP,Energy,GSPE,TC Energy Corporation
HES,Energy,GSPE,Hess Corporation
SU,Energy,GSPE,Suncor Energy Inc.
WMB,Energy,GSPE,The Williams Companies
KMI,Energy,GSPE,Kinder Morgan
DVN,Energy,GSPE,Devon Energy Corporation
ET,Energy,GSPE,Energy Transfer LP
CVE,Energy,GSPE,Cenovus Energy Inc.
HAL,Energy,GSPE,Halliburton Company
MPLX,Energy,GSPE,MPLX LP
OKE,Energy,GSPE,ONEOK
BKR,Energy,GSPE,Baker Hughes Company
FANG,Energy,GSPE,Diamondback Energy
TS,Energy,GSPE,Tenaris S.A.
TPL,Energy,GSPE,Texas Pacific Land Corporation
CTRA,Energy,GSPE,Coterra Energy Inc.
PBA,Energy,GSPE,Pembina Pipeline Corporation
EC,Energy,GSPE,Ecopetrol S.A.
MRO,Energy,GSPE,Marathon Oil Corporation
TRGP,Energy,GSPE,Targa Resources Corp.
APA,Energy,GSPE,APA Corporation
EQT,Energy,GSPE,EQT Corporation
CHK,Energy,GSPE,Chesapeake Energy Corporation
OVV,Energy,GSPE,Ovintiv Inc.
MMP,Energy,GSPE,Magellan Midstream Partners
DINO,Energy,GSPE,HF Sinclair Corporation
AR,Energy,GSPE,Antero Resources Corporation
WES,Energy,GSPE,Western Midstream Partners
CCJ,Energy,GSPE,Cameco Corporation
PAA,Energy,GSPE,Plains All American Pipeline
NOV,Energy,GSPE,NOV Inc.
DCP,Energy,GSPE,DCP Midstream
HESM,Energy,GSPE,Hess Midstream LP
MTDR,Energy,GSPE,Matador Resources Company
SWN,Energy,GSPE,Southwestern Energy Company
MUR,Energy,GSPE,Murphy Oil Corporation
RRC,Energy,GSPE,Range Resources Corporation
MGY,Energy,GSPE,Magnolia Oil & Gas Corporation
YPF,Energy,GSPE,YPF Sociedad Anónima
NFG,Energy,GSPE,National Fuel Gas Company
PDCE,Energy,GSPE,PDC Energy
CHX,Energy,GSPE,ChampionX Corporation
VVV,Energy,GSPE,Valvoline Inc.
CHRD,Energy,GSPE,Chord Energy Corporation
DTM,Energy,GSPE,DT Midstream
CSAN,Energy,GSPE,Cosan S.A.
ENLC,Energy,GSPE,EnLink Midstream
VNOM,Energy,GSPE,Viper Energy Partners LP
FTI,Energy,GSPE,TechnipFMC plc
AM,Energy,GSPE,Antero Midstream Corporation
PR,Energy,GSPE,Permian Resources Corporation
HP,Energy,GSPE,Helmerich & Payne
PBF,Energy,GSPE,PBF Energy Inc.
CIVI,Energy,GSPE,Civitas Resources
NE,Energy,GSPE,Noble Corporation Plc
VAL,Energy,GSPE,Valaris Limited
DEN,Energy,GSPE,Denbury Inc.
SM,Energy,GSPE,SM Energy Company
BTU,Energy,GSPE,Peabody Energy Corporation
ERF,Energy,GSPE,Enerplus Corporation
CPG,Energy,GSPE,Crescent Point Energy Corp.
EURN,Energy,GSPE,Euronav NV
SUN,Energy,GSPE,Sunoco LP
PTEN,Energy,GSPE,Patterson-UTI Energy
BSM,Energy,GSPE,Black Stone Minerals
CRK,Energy,GSPE,Comstock Resources
STNG,Energy,GSPE,Scorpio Tankers Inc.
CRC,Energy,GSPE,California Resources Corporation
ETRN,Energy,GSPE,Equitrans Midstream Corporation
WHD,Energy,GSPE,Cactus
WFRD,Energy,GSPE,Weatherford International plc
CVI,Energy,GSPE,CVR Energy
FRO,Energy,GSPE,Frontline Ltd.
CNX,Energy,GSPE,CNX Resources Corporation
CEQP,Energy,GSPE,Crestwood Equity Partners LP
PAGP,Energy,GSPE,Plains GP Holdings
VET,Energy,GSPE,Vermilion Energy Inc.
LBRT,Energy,GSPE,Liberty Energy Inc.
BHP,Materials,SP500-15,BHP Group Limited
LIN,Materials,SP500-15,Linde plc
RIO,Materials,SP500-15,Rio Tinto Group
VALE,Materials,SP500-15,Vale S.A.
CTA,Materials,SP500-15,E. I. du Pont de Nemours and Company
APD,Materials,SP500-15,Air Products and Chemicals
SHW,Materials,SP500-15,The Sherwin-Williams Company
FCX,Materials,SP500-15,Freeport-McMoRan Inc.
SCCO,Materials,SP500-15,Southern Copper Corporation
CTVA,Materials,SP500-15,Corteva
ECL,Materials,SP500-15,Ecolab Inc.
NTR,Materials,SP500-15,Nutrien Ltd.
NUE,Materials,SP500-15,Nucor Corporation
NEM,Materials,SP500-15,Newmont Corporation
DOW,Materials,SP500-15,Dow Inc.
DD,Materials,SP500-15,DuPont de Nemours
PPG,Materials,SP500-15,PPG Industries
GOLD,Materials,SP500-15,Barrick Gold Corporation
CRH,Materials,SP500-15,CRH plc
ALB,Materials,SP500-15,Albemarle Corporation
FNV,Materials,SP500-15,Franco-Nevada Corporation
LYB,Materials,SP500-15,LyondellBasell Industries N.V.
IFF,Materials,SP500-15,International Flavors & Fragrances Inc.
SQM,Materials,SP500-15,Sociedad Química y Minera de Chile S.A.
VMC,Materials,SP500-15,Vulcan Materials Company
AEM,Materials,SP500-15,Agnico Eagle Mines Limited
MLM,Materials,SP500-15,Martin Marietta Materials
MT,Materials,SP500-15,ArcelorMittal S.A.
TECK,Materials,SP500-15,Teck Resources Limited
STLD,Materials,SP500-15,Steel Dynamics
CF,Materials,SP500-15,CF Industries Holdings
WPM,Materials,SP500-15,Wheaton Precious Metals Corp.
PKX,Materials,SP500-15,POSCO Holdings Inc.
FMC,Materials,SP500-15,FMC Corporation
MOS,Materials,SP500-15,The Mosaic Company
AVTR,Materials,SP500-15,Avantor
WLK,Materials,SP500-15,Westlake Corporation
RPM,Materials,SP500-15,RPM International Inc.
SUZ,Materials,SP500-15,Suzano S.A.
RS,Materials,SP500-15,Reliance Steel & Aluminum Co.
CE,Materials,SP500-15,Celanese Corporation
EMN,Materials,SP500-15,Eastman Chemical Company
SSL,Materials,SP500-15,Sasol Limited
ICL,Materials,SP500-15,ICL Group Ltd
GFI,Materials,SP500-15,Gold Fields Limited
GGB,Materials,SP500-15,Gerdau S.A.
JHX,Materials,SP500-15,James Hardie Industries plc
AU,Materials,SP500-15,AngloGold Ashanti Limited
CLF,Materials,SP500-15,Cleveland-Cliffs Inc.
SBSW,Materials,SP500-15,Sibanye Stillwater Limited
AA,Materials,SP500-15,Alcoa Corporation
OLN,Materials,SP500-15,Olin Corporation
RGLD,Materials,SP500-15,Royal Gold
WFG,Materials,SP500-15,West Fraser Timber Co. Ltd.
TRQ,Materials,SP500-15,Turquoise Hill Resources Ltd.
ASH,Materials,SP500-15,Ashland Inc.
TX,Materials,SP500-15,Ternium S.A.
AXTA,Materials,SP500-15,Axalta Coating Systems Ltd.
X,Materials,SP500-15,United States Steel Corporation
CMC,Materials,SP500-15,Commercial Metals Company
MP,Materials,SP500-15,MP Materials Corp.
UNVR,Materials,SP500-15,Univar Solutions Inc.
AUY,Materials,SP500-15,Yamana Gold Inc.
HUN,Materials,SP500-15,Huntsman Corporation
EXP,Materials,SP500-15,Eagle Materials Inc.
UFPI,Materials,SP500-15,UFP Industries
CC,Materials,SP500-15,The Chemours Company
ESI,Materials,SP500-15,Element Solutions Inc
BCPC,Materials,SP500-15,Balchem Corporation
LTHM,Materials,SP500-15,Livent Corporation
FUL,Materials,SP500-15,H.B. Fuller Company
SSD,Materials,SP500-15,Simpson Manufacturing Co.
CBT,Materials,SP500-15,Cabot Corporation
EVA,Materials,SP500-15,Enviva Inc.
AGI,Materials,SP500-15,Alamos Gold Inc.
BAK,Materials,SP500-15,Braskem S.A.
SUM,Materials,SP500-15,Summit Materials
PAAS,Materials,SP500-15,Pan American Silver Corp.
HL,Materials,SP500-15,Hecla Mining Company
KWR,Materials,SP500-15,Quaker Chemical Corporation
LAC,Materials,SP500-15,Lithium Americas Corp.
SSRM,Materials,SP500-15,SSR Mining Inc.
AVNT,Materials,SP500-15,Avient Corporation
SXT,Materials,SP500-15,Sensient Technologies Corporation
NEU,Materials,SP500-15,NewMarket Corporation
SMG,Materials,SP500-15,The Scotts Miracle-Gro Company
BCC,Materials,SP500-15,Boise Cascade Company
NGVT,Materials,SP500-15,Ingevity Corporation
MEOH,Materials,SP500-15,Methanex Corporation
IOSP,Materials,SP500-15,Innospec Inc.
SCL,Materials,SP500-15,Stepan Company
AG,Materials,SP500-15,First Majestic Silver Corp.
SLVM,Materials,SP500-15,Sylvamo Corporation
AMR,Materials,SP500-15,Alpha Metallurgical Resources
WDFC,Materials,SP500-15,WD-40 Company
OR,Materials,SP500-15,Osisko Gold Royalties Ltd
TROX,Materials,SP500-15,Tronox Holdings plc
BVN,Materials,SP500-15,Compañía de Minas Buenaventura S.A.A.
TFPM,Materials,SP500-15,Triple Flag Precious Metals Corp.
MTX,Materials,SP500-15,Minerals Technologies Inc.
GPRE,Materials,SP500-15,Green Plains Inc.
HCC,Materials,SP500-15,Warrior Met Coal
CMP,Materials,SP500-15,Compass Minerals International
MTRN,Materials,SP500-15,Materion Corporation
CSTM,Materials,SP500-15,Constellium SE
RFP,Materials,SP500-15,Resolute Forest Products Inc.
SAND,Materials,SP500-15,Sandstorm Gold Ltd.
LOMA,Materials,SP500-15,Loma Negra Compañía Industrial Argentina Sociedad Anónima
TGLS,Materials,SP500-15,Tecnoglass Inc.
EGO,Materials,SP500-15,Eldorado Gold Corporation
PRM,Materials,SP500-15,Perimeter Solutions
HBM,Materials,SP500-15,Hudbay Minerals Inc.
KALU,Materials,SP500-15,Kaiser Aluminum Corporation
ERO,Materials,SP500-15,Ero Copper Corp.
UAN,Materials,SP500-15,CVR Partners
ASIX,Materials,SP500-15,AdvanSix Inc.
ECVT,Materials,SP500-15,Ecovyst Inc.
LXU,Materials,SP500-15,LSB Industries
OEC,Materials,SP500-15,Orion Engineered Carbons S.A.
MATV,Materials,SP500-15,Mativ Holdings
KRO,Materials,SP500-15,Kronos Worldwide
SA,Materials,SP500-15,Seabridge Gold Inc.
SCHN,Materials,SP500-15,Schnitzer Steel Industries
TSE,Materials,SP500-15,Trinseo PLC
UPS,Industrials,SP500-20,United Parcel Service
RTX,Industrials,SP500-20,Raytheon Technologies Corporation
HON,Industrials,SP500-20,Honeywell International Inc.
UNP,Industrials,SP500-20,Union Pacific Corporation
DE,Industrials,SP500-20,Deere & Company
LMT,Industrials,SP500-20,Lockheed Martin Corporation
CAT,Industrials,SP500-20,Caterpillar Inc.
BA,Industrials,SP500-20,The Boeing Company
ADP,Industrials,SP500-20,Automatic Data Processing
GE,Industrials,SP500-20,General Electric Company
