iter	Passed	Remaining
0	13	1971
1	22	1628
2	30	1490
3	44	1615
4	53	1544
5	63	1525
6	74	1522
7	84	1505
8	94	1480
9	102	1440
10	110	1396
11	116	1342
12	124	1308
13	131	1277
14	138	1245
15	143	1203
16	150	1174
17	157	1153
18	162	1120
19	167	1090
20	173	1067
21	180	1049
22	187	1034
23	193	1018
24	201	1007
25	207	991
26	215	983
27	223	972
28	231	963
29	237	951
30	244	940
31	252	932
32	259	921
33	267	911
34	274	901
35	281	891
36	289	884
37	297	875
38	304	867
39	312	858
40	320	851
41	327	843
42	336	837
43	348	839
44	377	881
45	501	1132
46	559	1226
47	596	1268
48	616	1270
49	628	1257
50	639	1241
51	649	1224
52	659	1206
53	668	1189
54	679	1172
55	688	1154
56	697	1138
57	706	1121
58	715	1104
59	724	1087
60	734	1071
61	753	1068
62	763	1054
63	772	1038
64	782	1023
65	793	1009
66	802	993
67	812	980
68	821	964
69	830	949
70	839	934
71	848	919
72	857	904
73	864	887
74	872	872
75	881	858
76	889	843
77	897	828
78	905	814
79	914	799
80	922	785
81	930	771
82	938	757
83	945	743
84	952	728
85	960	714
86	966	699
87	972	685
88	983	673
89	990	660
90	998	647
91	1006	634
92	1013	621
93	1021	608
94	1029	595
95	1036	582
96	1043	570
97	1051	557
98	1059	545
99	1068	534
100	1075	521
101	1083	510
102	1092	498
103	1100	486
104	1110	475
105	1119	464
106	1129	453
107	1139	443
108	1156	434
109	1181	429
110	1194	419
111	1238	420
112	1258	412
113	1270	401
114	1280	389
115	1289	377
116	1298	366
117	1307	354
118	1316	342
119	1324	331
120	1332	319
121	1340	307
122	1348	295
123	1357	284
124	1364	272
125	1372	261
126	1379	249
127	1386	238
128	1394	226
129	1401	215
130	1409	204
131	1417	193
132	1423	181
133	1432	170
134	1440	160
135	1449	149
136	1457	138
137	1465	127
138	1474	116
139	1482	105
140	1490	95
141	1499	84
142	1508	73
143	1517	63
144	1525	52
145	1535	42
146	1544	31
147	1553	20
148	1560	10
149	1566	0
