iter	ERR:top=10	NDCG:top=5;type=Exp	PrecisionAt:top=10	AverageGain:top=5	MAP:top=10
0	0.7078839562	0.4883748345	0.4529411765	0.5296675183	0.313173436
1	0.859048055	0.6293924336	0.6441176471	0.6324808193	0.512753268
2	0.8705757226	0.635041978	0.6470588235	0.6351662408	0.523469888
3	0.8843795772	0.657975922	0.6558823529	0.6510230211	0.5325058357
4	0.8873248993	0.6817128115	0.6764705882	0.6771099768	0.5629738562
5	0.8949026262	0.6875511521	0.7	0.6768542215	0.5915277778
6	0.9032017775	0.6909172408	0.7264705882	0.6833759608	0.6224988329
7	0.903879664	0.7006117043	0.7088235294	0.6916879812	0.6094094304
8	0.9079699864	0.710424751	0.7058823529	0.7007672655	0.6058204949
9	0.9121012202	0.7150666215	0.7147058824	0.699616371	0.6184885621
10	0.9141208688	0.7331972223	0.7294117647	0.7203324829	0.6355532213
11	0.9220459117	0.736517982	0.7411764706	0.7182864474	0.6501435574
12	0.9213240738	0.7363603308	0.7352941176	0.7176470613	0.6469070962
13	0.9236834593	0.7371879118	0.7382352941	0.7175191839	0.6521988796
14	0.9234834263	0.7344370499	0.7323529412	0.7145780076	0.6476774043
15	0.9208723405	0.7473330551	0.7411764706	0.730434785	0.6647922502
16	0.9351376832	0.7595438759	0.7441176471	0.738618928	0.6717577031
17	0.9348042285	0.7572807006	0.7441176471	0.73900256	0.6724836601
18	0.9384338403	0.7573467181	0.7441176471	0.7352941199	0.674344071
19	0.9328858444	0.7611275481	0.7411764706	0.7391304377	0.6722362278
20	0.933513648	0.7637101715	0.7411764706	0.7407928417	0.6749288049
21	0.9333798693	0.7760734868	0.7411764706	0.7576726366	0.6796346872
22	0.9372022151	0.7800589174	0.7470588235	0.7604859359	0.6889122316
23	0.943177972	0.7840910475	0.7470588235	0.7630434811	0.6883333333
24	0.9365031766	0.7808453008	0.7441176471	0.7612531995	0.6866654995
25	0.9375076344	0.7842728451	0.7470588235	0.7648337623	0.6891421569
26	0.9375873252	0.7899740048	0.7558823529	0.7699488519	0.6990873016
27	0.936884777	0.7869459646	0.7676470588	0.7680306931	0.7079773576
28	0.9375856851	0.7922263514	0.7735294118	0.7731457828	0.7118300654
29	0.9438579054	0.7969522858	0.7823529412	0.7767263456	0.723374183
