iter	Passed	Remaining
0	3	347
1	7	346
2	10	351
3	15	375
4	24	458
5	30	482
6	37	496
7	43	500
8	48	490
9	56	510
10	61	501
11	67	497
12	72	487
13	77	475
14	83	471
15	88	465
16	93	456
17	97	443
18	101	433
19	106	424
20	110	415
21	115	410
22	120	402
23	125	396
24	129	388
25	134	381
26	139	375
27	142	367
28	146	359
29	150	351
30	154	343
31	157	335
32	161	328
33	165	321
34	169	314
35	173	307
36	176	301
37	180	294
38	184	288
39	188	282
40	192	276
41	196	271
42	200	266
43	204	260
44	208	254
45	213	250
46	218	246
47	224	243
48	230	239
49	235	235
50	238	229
51	242	223
52	246	218
53	249	212
54	253	207
55	258	203
56	262	198
57	266	193
58	270	187
59	274	182
60	278	178
61	282	173
62	287	168
63	292	164
64	296	159
65	301	155
66	308	151
67	314	147
68	318	143
69	322	138
70	326	133
71	330	128
72	335	124
73	339	119
74	344	114
75	349	110
76	354	105
77	359	101
78	364	96
79	368	92
80	374	87
81	378	83
82	383	78
83	388	73
84	393	69
85	397	64
86	402	60
87	407	55
88	411	50
89	416	46
90	420	41
91	425	37
92	430	32
93	435	27
94	439	23
95	444	18
96	450	13
97	455	9
98	460	4
99	465	0
