iter	Passed	Remaining
0	4	2297
1	8	2546
2	12	2354
3	15	2247
4	19	2228
5	22	2151
6	25	2081
7	28	2039
8	31	2001
9	35	1973
10	38	1961
11	42	1965
12	45	1960
13	49	1981
14	53	1990
15	56	1976
16	60	1967
17	63	1961
18	67	1957
19	70	1954
20	73	1942
21	77	1942
22	81	1939
23	84	1929
24	87	1908
25	90	1905
26	93	1899
27	97	1897
28	100	1889
29	103	1879
30	106	1864
31	109	1847
32	112	1844
33	115	1830
34	117	1813
35	121	1807
36	124	1799
37	127	1794
38	130	1785
39	133	1785
40	137	1780
41	139	1765
42	142	1758
43	146	1756
44	149	1748
45	151	1737
46	154	1729
47	157	1719
48	159	1707
49	162	1695
50	164	1687
51	167	1681
52	171	1680
53	175	1683
54	178	1678
55	180	1670
56	183	1662
57	186	1657
58	189	1651
59	193	1653
60	196	1645
61	198	1639
62	202	1640
63	206	1638
64	209	1637
65	212	1633
66	216	1635
67	219	1632
68	223	1631
69	226	1629
70	230	1632
71	233	1627
72	237	1623
73	241	1626
74	244	1625
75	247	1618
76	250	1614
77	254	1617
78	258	1613
79	261	1611
80	264	1609
81	268	1607
82	272	1606
83	275	1602
84	277	1595
85	280	1590
86	284	1589
87	287	1583
88	290	1577
89	292	1572
90	295	1567
91	298	1563
92	301	1558
93	305	1556
94	308	1551
95	310	1545
96	313	1538
97	316	1535
98	319	1530
99	322	1523
100	325	1519
101	328	1514
102	330	1508
103	333	1503
104	336	1499
105	339	1494
106	341	1488
107	344	1482
108	347	1478
109	350	1474
110	352	1467
111	355	1461
112	358	1459
113	361	1454
114	364	1450
115	367	1445
116	370	1442
117	372	1437
118	375	1432
119	378	1428
120	381	1424
121	383	1418
122	386	1412
123	388	1407
124	391	1403
125	394	1398
126	397	1394
127	400	1391
128	403	1388
129	406	1384
130	408	1379
131	411	1376
132	414	1372
133	417	1368
134	420	1364
135	423	1361
136	426	1358
137	429	1354
138	432	1351
139	435	1347
140	438	1344
141	441	1341
142	445	1339
143	448	1335
144	451	1331
145	455	1331
146	458	1328
147	461	1325
148	465	1323
149	468	1320
150	471	1316
151	474	1313
152	477	1311
153	481	1309
154	483	1305
155	487	1303
156	493	1306
157	501	1317
158	506	1319
159	511	1320
160	514	1317
161	518	1316
162	522	1314
163	525	1310
164	529	1308
165	532	1305
166	535	1301
167	542	1306
168	547	1309
169	552	1309
170	556	1309
171	561	1307
172	564	1305
173	568	1303
174	573	1303
175	577	1301
176	580	1298
177	585	1298
178	590	1298
179	595	1300
180	598	1296
181	601	1292
182	605	1289
183	608	1287
184	612	1283
185	615	1280
186	618	1277
187	622	1273
188	625	1271
189	628	1267
190	631	1262
191	634	1259
192	637	1255
193	640	1251
194	643	1248
195	647	1245
196	650	1242
197	653	1237
198	656	1234
199	659	1230
200	662	1226
201	666	1223
202	669	1220
203	672	1216
204	675	1212
205	678	1208
206	681	1204
207	684	1200
208	687	1196
209	691	1194
210	694	1190
211	697	1187
212	700	1184
213	703	1180
214	706	1176
215	709	1173
216	713	1169
217	716	1166
218	718	1162
219	722	1159
220	725	1155
221	728	1151
222	731	1147
223	734	1144
224	737	1140
225	740	1136
226	742	1132
227	746	1129
228	749	1125
229	752	1121
230	755	1117
231	757	1113
232	761	1110
233	764	1107
234	767	1104
235	771	1101
236	774	1097
237	777	1094
238	780	1091
239	783	1086
240	787	1084
241	790	1081
242	794	1078
243	797	1075
244	800	1071
245	803	1067
246	806	1064
247	809	1061
248	812	1057
249	815	1053
250	819	1051
251	822	1047
252	825	1044
253	829	1041
254	832	1037
255	835	1034
256	838	1030
257	841	1027
258	844	1023
259	846	1019
260	849	1015
261	852	1012
262	856	1009
263	859	1005
264	862	1002
265	866	999
266	869	996
267	873	993
268	876	990
269	879	986
270	882	983
271	885	979
272	888	976
273	891	973
274	894	969
275	897	966
276	900	962
277	903	958
278	907	955
279	910	952
280	913	949
281	917	946
282	920	943
283	923	940
284	926	936
285	929	932
286	932	929
287	935	925
288	938	922
289	941	919
290	944	915
291	948	912
292	959	917
293	963	913
294	967	911
295	971	908
296	974	905
297	978	902
298	982	899
299	985	896
300	988	893
301	991	889
302	994	886
303	997	882
304	1001	879
305	1004	876
306	1006	872
307	1009	868
308	1012	865
309	1015	861
310	1018	857
311	1021	854
312	1023	850
313	1026	846
314	1028	842
315	1031	839
316	1034	835
317	1037	831
318	1039	828
319	1042	824
320	1044	820
321	1047	816
322	1049	812
323	1052	808
324	1054	804
325	1057	801
326	1060	797
327	1062	793
328	1065	790
329	1067	786
330	1070	782
331	1072	778
332	1075	775
333	1078	771
334	1081	768
335	1085	765
336	1088	762
337	1090	758
338	1093	754
339	1096	751
340	1099	748
341	1102	744
342	1104	740
343	1107	737
344	1110	733
345	1113	730
346	1115	726
347	1119	723
348	1122	720
349	1125	717
350	1128	713
351	1130	710
352	1133	706
353	1136	703
354	1138	699
355	1142	696
356	1144	692
357	1147	689
358	1151	686
359	1154	682
360	1157	679
361	1161	676
362	1163	673
363	1166	669
364	1169	666
365	1173	663
366	1176	660
367	1179	656
368	1183	654
369	1186	650
370	1189	647
371	1193	644
372	1196	641
373	1198	637
374	1201	634
375	1205	631
376	1208	628
377	1211	624
378	1215	621
379	1218	618
380	1221	615
381	1224	612
382	1227	609
383	1230	605
384	1233	602
385	1237	599
386	1240	596
387	1242	592
388	1245	589
389	1248	585
390	1251	582
391	1254	579
392	1257	576
393	1260	572
394	1263	569
395	1266	565
396	1270	563
397	1273	559
398	1275	556
399	1279	553
400	1282	550
401	1285	546
402	1289	543
403	1292	540
404	1295	537
405	1298	533
406	1302	531
407	1305	527
408	1308	524
409	1311	521
410	1314	518
411	1318	515
412	1321	512
413	1325	508
414	1327	505
415	1330	502
416	1334	499
417	1337	495
418	1340	492
419	1343	489
420	1347	486
421	1350	483
422	1353	479
423	1356	476
424	1359	473
425	1361	469
426	1364	466
427	1367	463
428	1369	459
429	1372	456
430	1375	453
431	1377	449
432	1380	446
433	1382	442
434	1385	439
435	1387	436
436	1390	432
437	1393	429
438	1396	426
439	1398	422
440	1401	419
441	1404	416
442	1407	412
443	1410	409
444	1413	406
445	1416	403
446	1418	399
447	1421	396
448	1424	393
449	1426	390
450	1429	386
451	1432	383
452	1434	380
453	1437	376
454	1439	373
455	1442	370
456	1445	366
457	1447	363
458	1450	360
459	1453	356
460	1455	353
461	1458	350
462	1461	347
463	1463	343
464	1466	340
465	1470	337
466	1474	334
467	1477	331
468	1480	328
469	1483	325
470	1486	321
471	1489	318
472	1491	315
473	1494	312
474	1496	308
475	1498	305
476	1500	302
477	1503	298
478	1505	295
479	1508	292
480	1510	288
481	1513	285
482	1515	282
483	1518	279
484	1522	276
485	1524	272
486	1527	269
487	1530	266
488	1533	263
489	1536	260
490	1539	257
491	1542	254
492	1545	250
493	1548	247
494	1551	244
495	1554	241
496	1557	238
497	1560	234
498	1563	231
499	1565	228
500	1568	225
501	1571	222
502	1574	219
503	1576	215
504	1579	212
505	1582	209
506	1585	206
507	1587	203
508	1590	199
509	1593	196
510	1596	193
511	1599	190
512	1602	187
513	1605	184
514	1608	181
515	1610	177
516	1613	174
517	1616	171
518	1619	168
519	1622	165
520	1625	162
521	1628	159
522	1631	155
523	1634	152
524	1637	149
525	1639	146
526	1642	143
527	1645	140
528	1648	137
529	1651	133
530	1654	130
531	1657	127
532	1660	124
533	1663	121
534	1666	118
535	1669	115
536	1672	112
537	1674	108
538	1677	105
539	1681	102
540	1683	99
541	1686	96
542	1689	93
543	1692	90
544	1694	87
545	1697	83
546	1700	80
547	1703	77
548	1706	74
549	1709	71
550	1712	68
551	1715	65
552	1717	62
553	1721	59
554	1724	55
555	1727	52
556	1730	49
557	1733	46
558	1736	43
559	1739	40
560	1742	37
561	1745	34
562	1748	31
563	1750	27
564	1753	24
565	1756	21
566	1759	18
567	1762	15
568	1765	12
569	1768	9
570	1771	6
571	1773	3
572	1776	0
