iter	ERR:top=10	NDCG:top=5;type=Exp	PrecisionAt:top=10	AverageGain:top=5	MAP:top=10
0	0.4792106424	0.2023141021	0.2285714286	0.2270807431	0.09348752834
1	0.7084207639	0.505831047	0.5371428571	0.5383850927	0.3807312925
2	0.7029227424	0.4795081447	0.5314285714	0.5032298128	0.3559024943
3	0.7165776252	0.482775703	0.4971428571	0.5075776395	0.3451043084
4	0.70973918	0.4741965656	0.52	0.4957763973	0.3538276644
5	0.7032167934	0.4886667078	0.5371428571	0.5233540377	0.3663843537
6	0.6860185209	0.4833366424	0.5371428571	0.5228571431	0.36430839
7	0.6644452421	0.445023438	0.4742857143	0.4833540369	0.2986836735
8	0.6592018289	0.4304006582	0.4742857143	0.4637267078	0.292276644
9	0.6318665925	0.4404690944	0.4771428571	0.4931677023	0.2859138322
10	0.6195138803	0.4299229793	0.4685714286	0.4829813672	0.2810759637
11	0.6065115734	0.4288238519	0.48	0.4857142862	0.2840170068
12	0.6296527078	0.4341972912	0.4714285714	0.4853416153	0.2824693878
13	0.620448358	0.4335358857	0.4828571429	0.4869565223	0.292685941
14	0.6104209653	0.432326237	0.4914285714	0.4890683232	0.2992800454
15	0.7290992421	0.4810077802	0.5	0.5126708068	0.3477959184
16	0.7048152796	0.472577826	0.5114285714	0.5125465831	0.3472981859
17	0.7125550923	0.4765539839	0.5085714286	0.5150310552	0.3502210884
18	0.7172203051	0.4741558983	0.5228571429	0.510186335	0.3583639456
19	0.7034668003	0.4647713868	0.52	0.5019875768	0.3510521542
20	0.6919151485	0.4617152768	0.5085714286	0.5031055892	0.3401575964
21	0.6824458539	0.459220419	0.5171428571	0.5031055892	0.3450918367
22	0.664864317	0.4538738151	0.5114285714	0.5042236015	0.3341496599
23	0.6802973775	0.4617527207	0.5142857143	0.5053416137	0.3404455782
24	0.6601600963	0.452190683	0.5142857143	0.5014906817	0.3343809524
25	0.6405958603	0.4480154621	0.5142857143	0.5037267069	0.3293843537
26	0.6455801015	0.4521773069	0.5057142857	0.5067080733	0.3286564626
27	0.6413930217	0.4542459011	0.5057142857	0.5114285701	0.3304444444
28	0.6557329658	0.4562175701	0.5028571429	0.5078260856	0.3287244898
29	0.6443396813	0.4472564454	0.5057142857	0.4999999986	0.3290124717
30	0.6646433576	0.4470651446	0.52	0.4944099365	0.3295408163
31	0.6447463903	0.4308115641	0.5057142857	0.4801242224	0.3174705215
32	0.6464810725	0.4322007839	0.5	0.4818633531	0.3134433107
33	0.6442437305	0.4321023017	0.4942857143	0.4836024837	0.3088492063
34	0.6422871114	0.4307588446	0.4885714286	0.480248446	0.3035068027
35	0.645008108	0.4315953978	0.4828571429	0.4795031043	0.301877551
36	0.6509046837	0.442589761	0.4914285714	0.4918012408	0.3089591837
37	0.6547389898	0.4427020239	0.4914285714	0.4904347813	0.3086179138
38	0.6499206865	0.4442596024	0.4857142857	0.4951552783	0.3047721088
39	0.6498701059	0.4441602042	0.4828571429	0.4951552783	0.3025680272
40	0.6447064445	0.44211505	0.4885714286	0.4949068311	0.3043197279
41	0.6443343923	0.437562131	0.4828571429	0.4884472039	0.3024795918
42	0.6373684793	0.4358103516	0.4714285714	0.4895652165	0.2936179138
43	0.6368856264	0.4354380398	0.4714285714	0.4903105581	0.2919206349
44	0.6356956142	0.4357337511	0.4742857143	0.4903105581	0.2946678005
45	0.6355322852	0.4336866058	0.4742857143	0.4873291917	0.2937630385
46	0.6292969208	0.4327032182	0.4742857143	0.4875776388	0.2919285714
47	0.6293134509	0.433540786	0.4742857143	0.4891925456	0.2918208617
48	0.6299081371	0.4344164886	0.4742857143	0.4906832288	0.2927290249
49	0.6301096755	0.4326029362	0.4828571429	0.4873291916	0.2984285714
50	0.6269937491	0.4315914831	0.48	0.4873291916	0.2959058957
51	0.6269965609	0.4314310101	0.4685714286	0.4865838501	0.2918435374
52	0.6277248577	0.4321124209	0.4714285714	0.4869565208	0.2946235828
53	0.62772238	0.4336930685	0.4714285714	0.4894409931	0.2948594104
54	0.6274715943	0.4339689941	0.4685714286	0.4905590048	0.2915124717
55	0.6279148783	0.4368794253	0.4685714286	0.4944099364	0.2922301587
56	0.6276916217	0.4367140499	0.4628571429	0.4944099364	0.2887154195
57	0.6247989445	0.4354720529	0.4685714286	0.4944099364	0.2895544218
