iter	ERR:top=10	NDCG:top=5;type=Exp	PrecisionAt:top=10	AverageGain:top=5	MAP:top=10
0	0.7827362372	0.5567671806	0.5833333333	0.5678743966	0.4377821869
1	0.8271597428	0.6245938904	0.6444444444	0.6258454123	0.5186276455
2	0.8417978379	0.6707389656	0.6666666667	0.6690821258	0.5548390653
3	0.885982524	0.7086917468	0.7027777778	0.6892512069	0.609039903
4	0.8814234589	0.7037438607	0.7166666667	0.6816425122	0.6210846561
5	0.8770819517	0.7179378414	0.7194444444	0.7003623192	0.6240895062
6	0.9118120386	0.732304183	0.7305555556	0.7060386471	0.6433190035
7	0.9068529896	0.7406583356	0.7388888889	0.7153381645	0.6533046737
8	0.9204615043	0.7669621254	0.7638888889	0.7425120767	0.6964925044
9	0.9195584477	0.7674549169	0.7583333333	0.7443236717	0.6929298942
10	0.9209064317	0.7660859466	0.7611111111	0.7387681152	0.6958156966
11	0.9209812803	0.7600831221	0.7722222222	0.7334541065	0.6979001323
12	0.924346381	0.7622890324	0.775	0.7352657012	0.6992383157
13	0.9216077737	0.7626296578	0.7777777778	0.7364734308	0.7011287478
14	0.9125891491	0.7748809916	0.7972222222	0.7521739136	0.7286155203
15	0.90819741	0.7684500045	0.8138888889	0.7461352657	0.7459556878
16	0.917082669	0.7768538862	0.8166666667	0.7525362314	0.750715388
17	0.9168638388	0.7804687172	0.8083333333	0.7532608694	0.7469973545
18	0.9167435666	0.7804719145	0.8	0.7544685987	0.7399889771
19	0.9195870269	0.7804654276	0.8027777778	0.7560386472	0.7370083774
20	0.9195520483	0.7882306484	0.7972222222	0.7678743967	0.7342802028
21	0.9198155281	0.7904718796	0.7972222222	0.7702898554	0.7349889771
22	0.9108428333	0.7919195234	0.8055555556	0.77620773	0.7435383598
23	0.9182048646	0.794675678	0.8	0.7766908212	0.740308642
24	0.9182453438	0.7940315746	0.7972222222	0.775	0.7400231481
25	0.9159777307	0.7968413374	0.8111111111	0.7799516912	0.7541666667
26	0.9160373823	0.7948749604	0.8	0.7776570052	0.7405930335
27	0.9315177654	0.8074713062	0.8027777778	0.7818840587	0.7497729277
28	0.9326429295	0.8073491973	0.8083333333	0.7820048318	0.7536529982
