iter	Passed	Remaining
0	4	460
1	8	436
2	12	410
3	19	457
4	24	462
5	29	457
6	36	488
7	41	476
8	46	471
9	51	463
10	56	456
11	61	451
12	66	444
13	71	439
14	77	438
15	81	429
16	86	424
17	90	413
18	94	402
19	98	395
20	102	385
21	106	375
22	110	368
23	113	360
24	117	352
25	120	343
26	124	336
27	128	330
28	132	325
29	137	320
30	141	314
31	145	308
32	149	303
33	153	297
34	156	291
35	161	286
36	164	280
37	168	275
38	172	269
39	176	265
40	180	259
41	183	254
42	187	249
43	192	244
44	196	240
45	200	235
46	204	230
47	208	225
48	212	221
49	216	216
50	220	212
51	224	207
52	228	202
53	232	198
54	236	193
55	241	189
56	245	185
57	248	180
58	253	175
59	257	171
60	260	166
61	265	162
62	268	157
63	272	153
64	276	149
65	280	144
66	283	139
67	287	135
68	290	130
69	297	127
70	315	128
71	323	125
72	329	121
73	334	117
74	339	113
75	343	108
76	347	103
77	352	99
78	356	94
79	361	90
80	366	85
81	371	81
82	376	77
83	381	72
84	387	68
85	392	63
86	398	59
87	403	54
88	407	50
89	412	45
90	418	41
91	429	37
92	523	39
93	558	35
94	590	31
95	599	24
96	605	18
97	611	12
98	617	6
99	623	0
