iter	Passed	Remaining
0	19	1882
1	46	2262
2	68	2222
3	92	2226
4	114	2171
5	133	2090
6	151	2012
7	171	1970
8	189	1911
9	208	1874
10	226	1836
11	244	1795
12	263	1763
13	282	1736
14	301	1705
15	320	1680
16	335	1638
17	353	1609
18	369	1573
19	386	1545
20	401	1508
21	415	1473
22	430	1442
23	446	1413
24	464	1394
25	480	1368
26	498	1348
27	517	1331
28	535	1311
29	557	1301
30	575	1281
31	590	1255
32	608	1234
33	623	1210
34	641	1191
35	659	1172
36	675	1150
37	691	1128
38	709	1109
39	725	1087
40	742	1067
41	757	1046
42	774	1026
43	790	1005
44	806	986
45	824	967
46	841	948
47	857	928
48	872	907
49	888	888
50	903	868
51	920	849
52	936	830
53	953	812
54	969	793
55	988	776
56	1008	760
57	1028	744
58	1047	728
59	1064	709
60	1080	691
61	1098	673
62	1113	653
63	1129	635
64	1144	616
65	1160	597
66	1176	579
67	1192	561
68	1208	542
69	1225	525
70	1246	509
71	1264	491
72	1283	474
73	1300	456
74	1316	438
75	1334	421
76	1351	403
77	1367	385
78	1383	367
79	1400	350
80	1416	332
81	1433	314
82	1448	296
83	1465	279
84	1480	261
85	1497	243
86	1513	226
87	1529	208
88	1547	191
89	1563	173
90	1579	156
91	1596	138
92	1611	121
93	1625	103
94	1641	86
95	1657	69
96	1673	51
97	1688	34
98	1704	17
99	1721	0
