iter	ERR:top=10	NDCG:top=5;type=Exp	PrecisionAt:top=10	AverageGain:top=5	MAP:top=10
0	0.7978787017	0.5782347149	0.6485714286	0.5977639753	0.4907834467
1	0.8715333228	0.6695985756	0.6971428571	0.6705590073	0.5894433107
2	0.8563200123	0.6638367576	0.7028571429	0.6730434798	0.5945884354
3	0.8510941462	0.693214829	0.7314285714	0.7058385107	0.6326507937
4	0.8463868985	0.6895173543	0.74	0.706335404	0.6434036281
5	0.8543747746	0.6950093409	0.7314285714	0.7074534166	0.6377619048
6	0.8643181886	0.6990222549	0.7428571429	0.7144099382	0.6518628118
7	0.8654488105	0.7256296041	0.7571428571	0.7411180137	0.6774489796
8	0.859319712	0.7293656005	0.7714285714	0.7473291923	0.6990498866
9	0.855039363	0.715153367	0.7771428571	0.7278260865	0.6940975057
10	0.8686828981	0.7317212628	0.7771428571	0.7454658392	0.7043571429
11	0.869098432	0.7267671432	0.7628571429	0.7360248452	0.6873231293
12	0.8817823426	0.7259961511	0.78	0.7329192547	0.6964535147
13	0.8701961862	0.7234859317	0.7685714286	0.7354037268	0.6804399093
14	0.8629159005	0.7108869532	0.7742857143	0.7214906838	0.6857743764
15	0.8605579017	0.7144689146	0.7771428571	0.7265838517	0.6896292517
16	0.8751504553	0.7099001382	0.78	0.7156521739	0.6923492063
17	0.8812691827	0.7166811004	0.7714285714	0.7218633554	0.6875170068
18	0.874400618	0.7229094488	0.7742857143	0.7286956524	0.6901145125
19	0.8722926851	0.7203109667	0.7714285714	0.7275776401	0.6876269841
20	0.8713133148	0.7183043755	0.7714285714	0.7245962743	0.690930839
21	0.8688462878	0.7174876818	0.7742857143	0.7280745351	0.6929829932
22	0.8653527366	0.7231742077	0.78	0.7341614907	0.6949693878
23	0.8738490232	0.7271151947	0.7771428571	0.7345341621	0.693606576
24	0.880452982	0.7304348968	0.7742857143	0.7337888202	0.696393424
25	0.8758248818	0.7310449132	0.78	0.7375155285	0.6996972789
26	0.8783208952	0.7304096096	0.7828571429	0.7393788824	0.6992029478
27	0.8681270148	0.7188539676	0.7914285714	0.7270807454	0.7029172336
28	0.8776783609	0.7263337638	0.7942857143	0.7330434783	0.7085056689
29	0.8694391348	0.7269519765	0.78	0.7380124226	0.6935612245
30	0.8701359694	0.7287671436	0.78	0.740372671	0.692654195
31	0.8764183115	0.7235643044	0.78	0.7308074533	0.691446712
32	0.8784094579	0.7287835396	0.7771428571	0.7368944101	0.6897879819
33	0.8810246553	0.7288644357	0.7714285714	0.735031056	0.6867426304
34	0.8946893636	0.7329447801	0.7714285714	0.7340372676	0.6905793651
35	0.8821470267	0.7287846326	0.78	0.7330434792	0.6945294785
36	0.8827797652	0.723582504	0.7714285714	0.7262111806	0.6851587302
37	0.8796025899	0.7253164866	0.7714285714	0.7293167706	0.6879603175
38	0.8784876473	0.7272388139	0.7857142857	0.7332919258	0.6990623583
39	0.8790383054	0.73209677	0.7857142857	0.7362732925	0.7040362812
40	0.8771717873	0.7246303587	0.78	0.7299378888	0.6938707483
41	0.8740268957	0.7203841347	0.78	0.7248447204	0.6952437642
42	0.8784481836	0.7269315853	0.7857142857	0.7310559009	0.7009886621
43	0.8727470106	0.7312335169	0.7857142857	0.7393788829	0.7032539683
44	0.8773097555	0.7288657068	0.7885714286	0.7361490686	0.7024206349
45	0.8764502656	0.7277228393	0.7885714286	0.737639752	0.7003877551
46	0.8761206922	0.7341629819	0.7828571429	0.7432298143	0.6985260771
47	0.8823432694	0.736480349	0.78	0.7447204977	0.6952619048
48	0.8775830802	0.7343002215	0.7885714286	0.7436024847	0.70130839
49	0.8824420258	0.7353562592	0.78	0.7424844724	0.6939217687
50	0.8721804652	0.7318338728	0.7828571429	0.7418633544	0.6972517007
51	0.8736376129	0.7350815079	0.7885714286	0.745714286	0.7004773243
52	0.8767356817	0.7371166588	0.7828571429	0.745714286	0.6979739229
53	0.8817880139	0.738967124	0.7857142857	0.7445962739	0.7019750567
54	0.8826798821	0.7340119038	0.78	0.7395031059	0.695984127
55	0.8794056622	0.7389250623	0.7857142857	0.7445962741	0.7010124717
56	0.884529168	0.742737023	0.7828571429	0.7480745348	0.698468254
57	0.8874721562	0.745311665	0.7914285714	0.7490683236	0.708031746
58	0.8980020786	0.7448213241	0.7857142857	0.7447204972	0.7054886621
59	0.8982336342	0.7475085234	0.7857142857	0.7477018634	0.7057188209
60	0.8991882953	0.747135987	0.78	0.7447204973	0.7021360544
61	0.8930132663	0.7474853291	0.7828571429	0.747826087	0.7079013605
62	0.8947087366	0.7477315986	0.7857142857	0.7463354041	0.7088151927
63	0.8996453215	0.7532434905	0.7857142857	0.7522981372	0.7099773243
64	0.8982593493	0.7510955813	0.7857142857	0.7499378889	0.7098514739
65	0.8972517697	0.750989875	0.7885714286	0.7499378889	0.7138594104
66	0.898503786	0.7482579203	0.7942857143	0.7459627337	0.7152029478
67	0.8997141652	0.7502013213	0.7914285714	0.7467080751	0.7150453515
68	0.9004544942	0.7527974427	0.7914285714	0.7500621127	0.715393424
69	0.8990398905	0.7530028607	0.7942857143	0.7529192553	0.7188356009
70	0.8991763564	0.7532603121	0.7971428571	0.7531677024	0.7197653061
71	0.8988221218	0.7513506266	0.8028571429	0.750186336	0.7229580499
72	0.8991256621	0.7530664338	0.8	0.7516770195	0.722021542
73	0.8990405788	0.7556328612	0.8	0.7565217397	0.7213412698
74	0.9013155021	0.753953698	0.7971428571	0.7540372676	0.7202358277
75	0.8975035626	0.7577837508	0.8	0.7606211185	0.7228526077
76	0.8980778643	0.7565010515	0.8028571429	0.7592546589	0.7247845805
77	0.9023311968	0.7517955843	0.7971428571	0.7513043485	0.7175566893
78	0.8918774657	0.747592944	0.7971428571	0.7503105597	0.7184036281
79	0.9021822607	0.7508013512	0.8028571429	0.7500621124	0.7214195011
80	0.8978479134	0.7535586646	0.8028571429	0.753664597	0.723085034
81	0.8977940074	0.7514518398	0.8028571429	0.7515527956	0.7235272109
82	0.8973944905	0.7568897829	0.8	0.7593788826	0.7211712018
83	0.8974984319	0.7568485777	0.8	0.7593788826	0.7210192744
84	0.8978767144	0.7570380918	0.8028571429	0.7593788829	0.724600907
85	0.8979109794	0.7576121623	0.8085714286	0.7596273301	0.7304886621
86	0.9002712416	0.7585489767	0.8085714286	0.7596273301	0.7298378685
87	0.9003441698	0.756976752	0.8085714286	0.7583850942	0.730478458
88	0.9004358511	0.7583103985	0.8142857143	0.7587577649	0.7362936508
89	0.8965586674	0.7570291125	0.8114285714	0.7592546592	0.7338356009
90	0.8920224773	0.7541860515	0.8114285714	0.7575155288	0.7321133787
91	0.8939141655	0.7525050539	0.8085714286	0.7534161498	0.7306553288
92	0.8944490467	0.7471897568	0.8085714286	0.7469565225	0.7318922902
93	0.8947147819	0.7491583403	0.8028571429	0.7486956528	0.7287324263
94	0.8975673168	0.7531536819	0.8	0.7539130445	0.7258730159
95	0.8977659239	0.753089872	0.7971428571	0.7532919263	0.7244852608
96	0.8992300533	0.755288283	0.7971428571	0.754285715	0.7266326531
97	0.89752262	0.7525870551	0.8	0.7526708082	0.7263922902
98	0.8976290414	0.7513383409	0.8028571429	0.7501863362	0.728685941
99	0.898671909	0.754760197	0.8028571429	0.7530434789	0.7321020408
