iter	ERR:top=10	NDCG:top=5;type=Exp	PrecisionAt:top=10	AverageGain:top=5	MAP:top=10
0	0.8058885349	0.6450102164	0.6833333333	0.6535024161	0.5653317901
1	0.8626293257	0.7116953968	0.7222222222	0.7112318856	0.6333333333
2	0.8849533191	0.7264654859	0.7444444444	0.713164253	0.6648115079
3	0.8762110601	0.7436705928	0.75	0.7342995171	0.6754420194
4	0.8791219892	0.7468729213	0.7611111111	0.7365942041	0.6836618166
5	0.8846996341	0.7592985164	0.775	0.7451690828	0.7080632716
6	0.8741979736	0.7535224149	0.7777777778	0.7397343001	0.7020767196
7	0.8918951793	0.7620580814	0.775	0.7454106287	0.7045227072
8	0.885641553	0.7619889394	0.7861111111	0.7500000018	0.7139373898
9	0.8914480618	0.7628113346	0.7888888889	0.7478260877	0.7226829806
10	0.8947581416	0.7611511456	0.7888888889	0.7440821269	0.719736552
11	0.9084061102	0.7693110145	0.7833333333	0.7492753633	0.7163789683
12	0.9145048256	0.7681932603	0.7833333333	0.7437198077	0.7162180335
13	0.898459357	0.757793347	0.7888888889	0.7380434789	0.7193132716
14	0.9039534841	0.7673163518	0.7861111111	0.7445652185	0.7213007055
15	0.902549754	0.7620258545	0.7972222222	0.737801934	0.7255930335
16	0.9057522306	0.7734260933	0.7916666667	0.7536231903	0.7207782187
17	0.9048345421	0.7672342816	0.7944444444	0.7458937209	0.7245734127
18	0.9048303589	0.7762718453	0.8	0.7545893735	0.7347806437
19	0.9043207838	0.7751315042	0.8111111111	0.7539855086	0.7465884039
20	0.9044662872	0.7739757634	0.8222222222	0.7549516924	0.7568364198
21	0.9040786352	0.7791534829	0.8194444444	0.7607487937	0.7563492063
22	0.8965906694	0.778217605	0.8055555556	0.7606280206	0.7454398148
23	0.8965653382	0.784709525	0.8027777778	0.7684782622	0.743795194
24	0.8935847748	0.7811488709	0.8055555556	0.7648550733	0.7465652557
25	0.9161458676	0.7947036154	0.8027777778	0.7745169094	0.7477965168
26	0.9117547493	0.7931877621	0.8	0.7750000012	0.7422354497
27	0.9198767387	0.7943131998	0.8055555556	0.7736714989	0.7512742504
28	0.9277825322	0.797156709	0.8027777778	0.7723429968	0.7493805115
29	0.9267125456	0.7990614923	0.8055555556	0.7733091805	0.7554089506
30	0.9243210227	0.7974199264	0.8111111111	0.7746376831	0.7591247795
31	0.9294643082	0.8017022784	0.8027777778	0.7791062823	0.7501840829
32	0.9269386418	0.7959340782	0.8027777778	0.7708937217	0.7495249118
33	0.9253688041	0.7998573841	0.8055555556	0.7788647354	0.7513679453
34	0.9253264486	0.79657985	0.8083333333	0.7735507258	0.7528196649
35	0.9252983734	0.7931089741	0.8055555556	0.7710144942	0.7501873898
36	0.9253594519	0.795666848	0.8083333333	0.7737922722	0.7552876984
37	0.9270371457	0.7973295327	0.8138888889	0.774154591	0.7601080247
38	0.9206388965	0.7965113551	0.8166666667	0.7757246392	0.7603769841
39	0.9206463264	0.7949892541	0.8083333333	0.7735507257	0.7534755291
40	0.9209905614	0.7945427781	0.8166666667	0.7743961365	0.7590575397
41	0.9209110087	0.7890211172	0.8138888889	0.7689613538	0.754111552
42	0.9112173248	0.786166751	0.8166666667	0.7692029	0.755327381
43	0.9335570939	0.7946409774	0.8138888889	0.7712560401	0.7580864198
44	0.9381551262	0.7962630205	0.8222222222	0.7710144943	0.7648026896
45	0.9327927555	0.7947387615	0.8222222222	0.7705314026	0.7666313933
46	0.9320364748	0.7946652102	0.8138888889	0.7705314023	0.7585295414
47	0.9264523684	0.7953109622	0.8138888889	0.7734299531	0.7588503086
48	0.9310309454	0.7998043562	0.8111111111	0.7765700497	0.7584678131
49	0.9280518682	0.7920159842	0.8222222222	0.7665458949	0.7672453704
50	0.925249946	0.7940804163	0.8194444444	0.7689613539	0.7655368166
51	0.9299969876	0.797043485	0.8222222222	0.7714975862	0.7658454586
52	0.927540899	0.7969104332	0.8194444444	0.7731884075	0.7639693563
53	0.9268575351	0.7958705004	0.8166666667	0.7736714991	0.7593000441
54	0.9314772818	0.798457622	0.8111111111	0.7739130446	0.7585218254
55	0.9326569133	0.7976777308	0.8111111111	0.7712560399	0.7559898589
56	0.9198689993	0.7916091799	0.8166666667	0.7671497597	0.7611441799
57	0.9160279472	0.797562559	0.8138888889	0.7771739144	0.757962963
58	0.9159426219	0.7983153273	0.8138888889	0.7793478276	0.7568099647
59	0.9156505967	0.7981489676	0.8138888889	0.7800724655	0.7539539242
60	0.9156904094	0.8006797828	0.8138888889	0.7820048325	0.7581294092
61	0.9041340678	0.7936811354	0.8111111111	0.7771739148	0.7521671076
62	0.904186017	0.7972560142	0.8111111111	0.7814009676	0.7532627866
63	0.9125624762	0.7984582132	0.8111111111	0.7806763301	0.7520392416
64	0.9009703855	0.792018209	0.8111111111	0.7774154603	0.7501598325
65	0.901103346	0.7909852044	0.8111111111	0.775845412	0.7490068342
66	0.9022349429	0.7926240246	0.8083333333	0.777898552	0.7479486332
67	0.9023304329	0.7859593698	0.8111111111	0.7672705326	0.7492526455
68	0.9011539458	0.7870971283	0.8111111111	0.77004831	0.7486651235
69	0.9011032663	0.788347539	0.8111111111	0.7713768128	0.750561067
70	0.9126168902	0.7900907586	0.8083333333	0.7702898564	0.7486970899
71	0.9125208982	0.7899747748	0.8083333333	0.7708937211	0.7491820988
72	0.9195206709	0.7920523509	0.8055555556	0.7693236722	0.7505169753
73	0.9194632546	0.7909159921	0.8083333333	0.7701690831	0.7525198413
74	0.918328101	0.7944319329	0.8055555556	0.7740338175	0.7508641975
75	0.9183185419	0.7946537533	0.8111111111	0.7736714984	0.7569080688
76	0.9182872002	0.7965951964	0.8138888889	0.7770531414	0.759258157
77	0.9137423671	0.7941190145	0.8166666667	0.7764492765	0.7604012346
78	0.9137507095	0.7941272568	0.8222222222	0.7760869576	0.7633796296
79	0.9195068249	0.7969877768	0.8166666667	0.7760869576	0.7614285714
80	0.9194173026	0.795808666	0.8194444444	0.7759661847	0.7640906085
81	0.9194047246	0.7962129018	0.8138888889	0.7774154601	0.7582352293
82	0.9194686244	0.7949801507	0.8111111111	0.7754830924	0.754672619
83	0.9194245418	0.7905417149	0.8138888889	0.769806764	0.7557660935
84	0.9321710821	0.7976613983	0.8083333333	0.7737922713	0.7535063933
85	0.9194939763	0.7941075305	0.8111111111	0.7730676334	0.7547916667
86	0.9264602205	0.798729671	0.8138888889	0.7781400972	0.7586441799
87	0.9276704489	0.7994218096	0.8166666667	0.7781400972	0.7620976631
88	0.9218764986	0.7978165327	0.8138888889	0.7781400972	0.7590233686
89	0.9218770913	0.7991029535	0.8111111111	0.7804347833	0.7569742063
90	0.926368602	0.7973656405	0.8138888889	0.7747584545	0.7595447531
91	0.9263557984	0.8011286574	0.8194444444	0.7791062805	0.7660515873
92	0.9136738063	0.7971340815	0.8194444444	0.778381643	0.7657738095
93	0.9154985282	0.7975940092	0.8166666667	0.7791062805	0.763162478
94	0.9154997647	0.7990904295	0.8166666667	0.7807971017	0.7617537478
95	0.9138063724	0.7977876906	0.8166666667	0.7787439618	0.760734127
96	0.9092656004	0.7965775015	0.8138888889	0.7791062806	0.7586507937
97	0.9092636026	0.7969883937	0.8166666667	0.7797101452	0.7620623898
98	0.9091706464	0.8001281304	0.8194444444	0.7850241555	0.7647332451
99	0.9087594949	0.7977261855	0.8166666667	0.7800724643	0.7626962081
100	0.9086757431	0.7970960277	0.8138888889	0.7800724643	0.7599184303
101	0.9093761561	0.7964876452	0.8138888889	0.7787439622	0.7584722222
102	0.9132540636	0.7966945938	0.8194444444	0.7787439622	0.7631790123
103	0.9132823562	0.7955482535	0.8166666667	0.777053141	0.7599029982
